"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호1703","품목보고번호19800415004445","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일부터 (Can) 2년","제품명일화 애플진저","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","설탕","과.채가공품","기타가공품","구연산","구연산삼나트륨","수크랄로스","향료","향료","향료제제","카라멜색소","정제수","","사과농축액","생강농축액","함수","","","사과향1","사과향2","스위트진저향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1702","품목보고번호19730380010392","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명일화 청포도에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","과.채가공품","구연산","수크랄로스","식용색소황색제4호","식용색소청색제1호","합성향료","합성향료",NA,NA,"","","청포도농축액, 68Brix, 칠레산","함수","감미료","착색료","착색료","청포도향1","청포도향2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1701","품목보고번호2016049203865","업소명주식회사 고려인삼제조","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명일화 헛개꿀물","분류식품","업체명","주식회사 고려인삼제조","소재지","전라북도 남원시 광치산업2길 15(용정동)","1","2","3","4","5","6","7","8","9","10","11","설탕","사양벌꿀","안식향산나트륨","구연산","당류가공품","헛개나무열매추출농축액","수크랄로스","아세설팜칼륨","벌꿀향","헛개향","정제수","","","","","당시럽DS","고형분함량 55%, 중국산","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1700","품목보고번호19730380010511","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명일화 헛개꿀물","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","사양벌꿀","안식향산나트륨","당류가공품","구연산","기타가공품","수크랄로스","아세설팜칼륨","합성향료","합성향료","","국산/수입","","보존료","당시럽 DS","함수","헛개나무열매추출농축액","감미료","감미료","벌꿀향","헛개향",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1699","품목보고번호19800415004357","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한Can 2년","제품명일화 홍삼대추","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10",NA,"설탕","액상과당","대추농축액","구연산","카라멜색소","구연산삼나트륨","홍삼농축액","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1698","품목보고번호19730380010512","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명일화 홍삼대추","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","설탕","과.채가공품","구연산","카라멜색소","구연산삼나트륨","홍삼농축액","합성향료","합성향료",NA,NA,"","국산/수입","대추농축액, 32 Brix","함수","","","홍삼농축액, 고형분 60%, 홍삼성분함량 70mg/g","대추향","홍삼향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1697","품목보고번호2016049203863","업소명주식회사 고려인삼제조","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명일화 홍삼대추","분류식품","업체명","주식회사 고려인삼제조","소재지","전라북도 남원시 광치산업2길 15(용정동)","1","2","3","4","5","6","7","8","9",NA,NA,"설탕","대추농축액","구연산","카라멜색소","홍삼농축액","구연산삼나트륨","대추향","홍삼향","정제수",NA,NA,"","배합함량100%, 국산","","","고형분60%, 홍삼성분함량 70mg/g, 국산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1696","품목보고번호19970464172295","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명일화 홍삼디","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","대추농축액","계피농축액","참당귀농축액","기타과당","난소화성말토덱스트린분말(고시형)","카라멜색소","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","","","","당귀농축액","액상과당","말토덱스트린","","","","","","12","13","14","홍삼향","허브향","정제수","","",""
"9","번호1695","품목보고번호1980041500494","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 24 개월","제품명일화꿀물","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9",NA,NA,"벌꿀","액상과당","백설탕","당시럽","비타민C","L-아스파라긴","합성향료","합성향료","정제수",NA,NA,"","","","","","","벌꿀향1","벌꿀향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1694","품목보고번호20040445073247","업소명(주)대일","품목유형혼합음료","유통/소비기한24개월","제품명일화꿀물","분류식품","업체명","(주)대일","소재지","충청북도 음성군 금율로 220-35","1","2","3","4","5","6","7","8",NA,NA,NA,"사양벌꿀","액상과당","백설탕","대추농축액","비타민C","L-아스파라진","벌꿀향","정제수",NA,NA,NA,"80Brix","","","32Brix","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
