"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호1383","품목보고번호19970464172358","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명조아비타","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","기타과당","비타민C","염화마그네슘","구연산","드링크향","타우린","구연산삼나트륨","수크랄로스","비타민B2인산에스테르나트륨","비타민B6염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1382","품목보고번호19970617062132","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명조아엉겅퀴골드","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","정제수","과당","기타 농산가공품","농축사과과즙","젖산칼슘","베타인","구연산(무수)","합성향료","황산마그네슘","주석산수소콜린","안식향산나트륨","","결정과당","아티초크건조엑스, 솜엉겅퀴추출물","72 Brix","","","","애플향","","","보존료","12","13","14","15","16","17","18","생강추출분말","수크랄로스","타우린","프로폴리스액","L-라이신염산염","비타민B2","비타민B12","","감미료","","","","",""
"3","번호1381","품목보고번호19970617062197","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명조아엘레강스 콜라겐","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","정제수","생선콜라겐펩타이드","말티톨시럽","히알루론산혼합제제","구연산","L-아르지닌","석류농축액","복분자딸기과즙분말","효소처리스테비아","기타 농산가공품","석류향","실 배합비율 : 41.214475%","","","","","","","","","드래곤헤드추출물","합성향료","12","13","14","15","16","17","18","대두배아추출물","비타민C","자몽종자추출물","비오틴","비타민B1염산염","비타민B6염산염","비타민B2","","","","","","","실 배합비율 : 0.000025%"
"4","번호1380","품목보고번호19970617062201","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명조아우먼뷰티","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","오렌지농축과즙","정제수","화분추출물분말","벌꿀","밀배아유","녹용추출액","동결건조로얄젤리","두류가공품","글루콘산마그네슘","비타민E혼합제제분말","기타가공품","","","","","","녹용추출물","동결건조로열젤리","대두배아추출물","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1379","품목보고번호201101820853","업소명나노라이프","품목유형혼합음료","유통/소비기한1년(실온)","제품명조으미","분류식품","업체명","나노라이프","소재지","대구광역시 달서구 비슬로542길 46(1층 대곡동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","자죽염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1378","품목보고번호1971061800199","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명조은 단호박식혜","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","서양호박","쌀","엿기름","설탕",NA,NA,NA,NA,NA,NA,"","[단호박]","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1377","품목보고번호2007062004765","업소명주식회사 일백","품목유형혼합음료","유통/소비기한24개월","제품명조은가 알로에콜라겐젤리스틱","분류식품","업체명","주식회사 일백","소재지","경상남도 남해군 고현면 화방로 51","1","2","3","4","5","6","7","8","9","10",NA,"알로에혼합추출물","프락토올리고당","생선콜라겐","청포도농축액","덱스트린","검 베이스 혼합제제","사과농축액","청포도향","구연산","효소처리스테비아",NA,"고형분1%이상/100%남해산","","","","말토덱스트린(국산)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1376","품목보고번호2001046403862","업소명주식회사 하이세븐","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명조이세븐 레드","분류식품","업체명","주식회사 하이세븐","소재지","충청남도 논산시 광석면 사계로 594-4","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","포도농축액","주정","구연산","포도향","포도색소","안식향산나트륨","카라멜색소",NA,NA,"","","포도과즙으로 9%","에틸알콜","","","포도색색소","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1375","품목보고번호20010464038104","업소명주식회사 하이세븐","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명조이세븐 화이트","분류식품","업체명","주식회사 하이세븐","소재지","충청남도 논산시 광석면 사계로 594-4","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","백설탕","포도농축액","구연산","포도향","안식향산나트륨","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1374","품목보고번호19740344001251","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명조지아 맥스 커피 원제 제2A부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"프로필렌글리콜","정제수","합성착","향료(커피향)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
