"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호3560","품목보고번호20010383923103","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명뽀로로밀크맛(수출용)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","젖산칼슘","대두다당류","탈지분유","구연산","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","시트러스믹스향","시트러스믹스향","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3559","품목보고번호20010383923102","업소명코웰식품주식회사","품목유형혼합음료","유통/소비기한12개월","제품명뽀로로열대과일맛(수출용)","분류식품","업체명","코웰식품주식회사","소재지","강원도 원주시 문막읍 법후로 862(,917)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","열대과일농축액","젖산칼슘","대두다당류","탈지분유","구연산","구연산삼나트륨","식품첨가물혼합제제분말","비타민D3","열대과일향","시트러스믹스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3558","품목보고번호19730380010527","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     2  년","제품명뽕나무상황버섯 추출 액상스틱","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"물엿","기타가공품","기타가공품","기타 농산가공품","사양벌꿀","정제수",NA,NA,NA,NA,NA,NA,"저당","둥글레농축액","뽕나무상황버섯추출분말","참대보농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3557","품목보고번호19890445014325","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명뽕잎오디세이","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","뽕잎혼합추출액","액상과당","농축사과과즙","이소말토올리고당","구연산","허브향","패션후르츠향","안식향산나트륨","글리신","정제염","스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3556","품목보고번호2020042406532","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뽕파워스틱","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","액상과당","타우린","파인애플농축액","과라나추출물분말","비타민C","파인애플향","구연산칼륨","주석산수소콜린","글루콘산마그네슘","아미노산혼합제제","효소처리스테비아","","","","","","","","","","","혼합아미노산BCAA","","13","14","15","16","17","18","19","20","21","22","23","24","25","구연산(무수)","잔탄검","니코틴산아미드","기타가공품","구연산삼나트륨","맥아추출액","L-카르니틴","비타민B1염산염","비타민B6염산염","비타민B2","비타민 B12 혼합제제분말","테아닌","기타가공품","","","","복합황금추출물","","맥아추출물","","","","","","L-테아닌","오디농축분말"
"6","번호3555","품목보고번호2008033218030","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명뿅가식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)5%,정제수95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3554","품목보고번호19860443015453","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뿅티","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","프락토올리고당","정제수","과.채가공품","덱스트린","서양자두농축액","구연산(무수)","기타가공품","수산화마그네슘","염화마그네슘","황산마그네슘","구연산삼나트륨","구기자농축액","","","돌미나리추출액","화이바솔-2L(난소화성말토덱스트린)","푸룬주스농축액","","서트푸드","","","","","","13","14","15","16","17",NA,NA,NA,NA,NA,NA,NA,NA,"황금혼합추출물","천연향료","잔탄검","효소처리스테비아","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,"복합황금추출물","블루베리향","","","열처리 유산균 (EF-2001 유산균 사균체 분말)",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3553","품목보고번호20010515081375","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쁘띠첼Ade 스트로베리자스민","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","구연산(무수)","스테비올배당체","프락토올리고당","딸기농축액","자스민추출액","발효식초","비타민C","자스민향","스트로베리향",NA,NA,"","","","","","자스민차농축액","과일발효식초","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3552","품목보고번호20010515081379","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쁘띠첼Ade 애플카모마일","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","정제수","구연산(무수)","스테비올배당체","프락토올리고당","사과농축액","캐모마일추출물","발효식초","비타민C","사과향","사과향","사과향","혼합제제","","","","","청사과농축액","","과일발효식초","","","","","카모마일향(합성향료)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3551","품목보고번호19920624042798","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명사각사각 수박","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","과.채가공품","혼합분유","과.채가공품","구연산","합성향료","합성향료","두류가공품","합성향료","과.채가공품","비타민C","","","수박과육(베트남산)","SMP8812","수박혼탁농축액(베트남산)","결정","수박향","수박향","수용성대두다당류","레몬향","당근추출액(이탈리아산)","","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"효소처리루틴","락색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","300피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
