"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호2643","품목보고번호200805432326","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년(냉동)","제품명안동찹쌀식혜","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","5","6","정제수","엿기름추출액","백설탕","찹쌀","맵쌀","생강가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2642","품목보고번호1986044301570","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명안칭고려","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","AN-1000","액상프락토올리고당","구연산","액상과당","감초분말","식물혼합추출분말",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","백설탕","연잎혼합추출물","나한과추출물분말","인삼농축액","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2641","품목보고번호19860443015123","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월,실온","제품명알로베베 알로에 베라 오리지널 플레이버(ALOBEBE Aloe Vera Original Flavor)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","알로에 베라","소나무잎농축액","프락토올리고당","잔탄검","구연산","소르빈산칼륨",NA,NA,NA,NA,NA,NA,"7","8",NA,NA,NA,NA,"안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2640","품목보고번호19860443015124","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월,실온","제품명알로베베 알로에 베라 위드 망고 플레이버(ALOBEBE Aloe Vera with Mango Flavor)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","알로에 베라","망고농축액","프락토올리고당 10","잔탄검","구연산","소르빈산칼륨",NA,NA,NA,NA,NA,NA,"7","8","9",NA,NA,NA,"안식향산나트륨","천연피치망고향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2639","품목보고번호1986044301595","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월","제품명알로애골드(Aloe Gold)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","정제수","카라겔","썬올리고","소르빈산칼륨","안식향산나트륨","구연산",NA,NA,NA,NA,NA,NA,"7","8","9",NA,NA,NA,"알로에베라겔분말","소나무잎농축액","녹차추출물분말(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2638","품목보고번호20030473071298","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에 生","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","알로에겔분말","과.채가공품","기타과당","설탕","난소화성말토덱스트린(고시형)","구연산","알로에 겔 파우더","알로에 베라겔","액상과당","백설탕","화이바졸2","","7","8","9","10","11","12","구연산삼나트륨","덱스트린","젖산칼슘","비타민C","효소처리스테비아","젤란검","","말토덱스트린(글루시덱스12)","","","스테비텐후레쉬","","13","14","15","16","17","18","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","정제수","SY GREEN COLOR","화이트그레이프후레바 KEY-093249","백포도향 902003","화이트그레프향 2907209","화이트그레이프후레바 K-0805049",""
"7","번호2637","품목보고번호1992056202370","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한PET제품: 제조일로부터 12개월, CAN제품 : 제조일로부터 24개월","제품명알로에 生","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","알로에베라잎(껍질제외)","알로에겔파우더","액상과당","백설탕","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,"7","8","9","10","11","12","젖산칼슘","비타민C","젤란검","화이바졸(고시형)","말토덱스트린","효소처리스테비아",NA,NA,NA,NA,NA,NA,"13","14","15","16","17","18","SY GREEN COLOR","화이트 그레이프 후레바 K-0805049","청포도향 2907209","백포도향 902003","화이트그레이프후레바 KEY-093249","정제수",NA,NA,NA,NA,NA,NA
"8","번호2636","품목보고번호2014060761430","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명알로에 골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","알로에베라분말","농축사과과즙","과당","구연산","니코틴산아미드","알로에향",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,"안식향산나트륨","사카린나트륨","스테비안45에스","식염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2635","품목보고번호20070464094468","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명알로에 베라","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","알로에베라겔크러쉬","백설탕","액상과당","구연산(무수)","구연산삼나트륨","젖산칼슘",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,"젤란검","알로에향","알로에향","정제수","난소화성말토덱스트린(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2634","품목보고번호2022068312520","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에 베라","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","알로에베라겔크러쉬","설탕","액상과당","구연산","구연산삼나트륨","젖산칼슘",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,"젤란검","혼합제제","합성향료","난소화성말토덱스트린(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
