"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호5432","품목보고번호19800375002218","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관 또는 병 포장제품 : 6개월, 합성수지제 포장제품 : 6개월","제품명글라소 비타민 multi-v 수출용","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","백설탕","소","비타민워터","멀티-브이","부","비타민＆미네랄","프리믹스","FT","레몬향키",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5431","품목보고번호19800375002143","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한9개월","제품명글라소 비타민워터 XXX","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","당시럽","과당","식품첨가물혼합제제","식품첨가물혼합제제","과.채가공품","식품첨가물혼합제제",NA,NA,NA,NA,"","(67% 고형분)","(결정)","글라소 비타민워터 XXX 트리플엑스 원제 제1A부 (의왕시청품목보고)","비타민&미네랄 프리믹스 FT071075 (수입식품)","엑스베리쉐이드 후르트펀치(흑색당근농축액, 전화당, 구연산, 블랙커런트농축액, 블루베리농축액, 정제수)","블루라스베리향키 (발효주정, 프로필렌글리콜, 천연향료(산딸기농축물))",NA,NA,NA,NA,NA,NA,NA
"3","번호5430","품목보고번호20100543066351","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET 355ml : 제조일로부터 6개월, PET 0.5L,1L : 제조일로부터 9개월","제품명글라소 비타민워터 XXX","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","결정과당","7.143BDD","구연산","비타민C","L-글루타니만산나트륨","전화당","구연산","블랙커런트농축액","블루베리농축액","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","혼합제제",NA
"4","번호5429","품목보고번호19800375002153","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한7개월","제품명글라소 비타민워터 XXX(Glaceau Vitaminwater XXX) - 수출용","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9","10",NA,"정제수","결정과당","백설탕","소","비타민","정제수","미네랄비타민프리믹스","엑스베리쉐이드","우르트펀치","블루라스베리향키",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5428","품목보고번호1997061408373","업소명코카콜라음료주식회사","품목유형혼합음료","유통/소비기한합성수지제 포장제품: 제조일로부터 9개월","제품명글라소 비타민워터 energy","분류식품","업체명","코카콜라음료주식회사","소재지","경상남도 양산시 충렬로 269(유산동)","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","결정과당","백설탕","글라소 비타민워터 에너지 원제 제1A부","비타민&미네랄 프리믹스 FT072114AP","과라나추출물","베타카로틴 에멀전","에너지에멀젼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5427","품목보고번호19800375002146","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한합성수지제(PET):9개월, 관포장제품(CAN):12개월","제품명글라소 비타민워터 energy","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7",NA,NA,NA,NA,"정제수","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","과당",NA,NA,NA,NA,"","(67% 고형분)","글라소 비타민워터 에너지 원제 제1A부 (의왕시청 품목보고)","비타민&미네랄프리믹스FT072114AP(L-젖산마그네슘,젖산칼슘분말,니코틴산아미드,제일인산칼륨,판토텐산칼슘,비타민B6염산염,트리트온만니톨)","베타카로틴 에멀전(정제수,아라비아검,프로필렌글리콜,자당초산이소낙산에스테르,식염,베타카로틴,트리글리세리드,비타민C,인산,천연향료,비타민E)","에너지에멀전(정제수,아라비아검,천연향료,에스테르검,구연산,가공유지,옥수수유,비타민C,베타카로틴,분말비타민A,d-토코페롤,안식향산나트륨)","(결정)",NA,NA,NA,NA,NA,NA,NA
"7","번호5426","품목보고번호20100543066352","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 9개월, CAN : 제조일로부터 12개월","제품명글라소 비타민워터 energy","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","당시럽","과당","구연산","비타민C","혼합제제","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5425","품목보고번호20020492106550","업소명주식회사 한국음료","품목유형혼합음료","유통/소비기한9개월","제품명글라소 비타민워터 energy","분류식품","업체명","주식회사 한국음료","소재지","전라북도 남원시 덕과면 덕과남길 115","1","2","3","4","5","6","7",NA,NA,NA,NA,"결정과당","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","정제수",NA,NA,NA,NA,"","","글라소 비타민워터 에너지 원제 제1A부(구연산,비타민C)","비타민&미네랄 프리믹스(L-젖산마그네슘,젖산칼슘분말,니코틴산아미드,제일인산칼륨,판토텐산칼슘,비타미B6염산염,만니톨,비타민B12)","베타카로틴 에멀전(정제수,아라비아검,프로필렌글리콜,자당초산이소낙산에스테르,식염,착색료,트리글리세리드,비타민C,인산,오렌지오일,비타민E)","에너지에멀젼[정제수, 아라비아검, 합성향료, 에스테르검, 구연산, 가공유지, 비타민C,  β-카로틴, 안식향산나트륨, 분말비타민A, d-토코페롤","",NA,NA,NA,NA,NA,NA,NA
"9","번호5424","품목보고번호19980449002695","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 9개월까지","제품명글라소 비타민워터 energy","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7",NA,NA,NA,NA,"과당","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","정제수",NA,NA,NA,NA,"","","글라소 비타민워터 에너지 원제 제1A부","비타민&미네랄 프리믹스FT071887AP","베타카로틴 에멀전","에너지 에멀젼","",NA,NA,NA,NA,NA,NA,NA
"10","번호5423","품목보고번호19800375002155","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명글라소 비타민워터 energy(Glaceau Vitaminwater energy) - 수출용","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","결정과당","백설탕","글라소 비타민워터 에너지 원제 제1A부","비타민&미네랄 프리믹스 FT072114AP","과라나추출물","베타카로틴(고시형)","에멀젼","에너지에멀젼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
