"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10"
"1","번호4274","품목보고번호20140395066245","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이반한 곤약젤리(복숭아맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","정제수","복숭아농축액","사과농축액","기타과당","혼합제제","구연산삼나트륨","구연산","곤약분말","복숭아향","수크랄로스","","","","(포도당액100%)","","","","","",""
"2","번호4273","품목보고번호20140395066246","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명몸이반한 곤약젤리(사과맛)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,"정제수","기타과당","사과농축액","혼합제제","구연산삼나트륨","구연산","곤약분말","사과향","수크랄로스",NA,"","(포도당액100%)","","","","","","","",NA
"3","번호4272","품목보고번호20050355533208","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한36개월","제품명몽모랑시 타르제리 진액골드","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3","4","5",NA,NA,NA,NA,NA,"신양벚나무열매","아로니아농축액","설탕","구연산","정제수",NA,NA,NA,NA,NA,"몽모랑시 타트제리(터키산)","","","","",NA,NA,NA,NA,NA
"4","번호4271","품목보고번호20110149027264","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명몽모랑시 타트체리 저분자 콜라겐스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,"체리농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,"타트체리농축액, 터키산","베트남산","","","","","","","",NA
"5","번호4270","품목보고번호20110149027206","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명몽모랑시 타트체리 콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,"체리과즙","생선콜라겐펩타이드분말","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,"타트체리농축액, 터키산","","","","","","","","",NA
"6","번호4269","품목보고번호20170614111286","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명몽모랑시 타트체리 콜라겐스틱","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7","8",NA,NA,"체리농축액","체리주스","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,"타트체리농축액(고형분50%)","타트체리NFC(고형분12%)","","","","","","",NA,NA
"7","번호4268","품목보고번호201804103171","업소명무건이네식혜","품목유형혼합음료","유통/소비기한6개월","제품명무건이네 단호박식혜","분류식품","업체명","무건이네식혜","소재지","강원도 속초시 농공단지길 90(A동 대포동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"설탕","서양호박","엿기름","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4267","품목보고번호201804103172","업소명무건이네식혜","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명무건이네 식혜","분류식품","업체명","무건이네식혜","소재지","강원도 속초시 농공단지길 90(A동 대포동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4266","품목보고번호201804103173","업소명무건이네식혜","품목유형혼합음료","유통/소비기한6개월","제품명무건이네 오미자식혜","분류식품","업체명","무건이네식혜","소재지","강원도 속초시 농공단지길 90(A동 대포동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"설탕","오미자추출액","엿기름","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4265","품목보고번호20030554150245","업소명피지바이오헬스영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명무궁화동충하초","분류식품","업체명","피지바이오헬스영농조합법인","소재지","경상북도 영주시 풍기읍 기주로170번길 46(외2필지)","1","2","3","4","5","6","7","8","9","10","눈꽃동충하초복합추출액","과당","덱스트린","이소말토올리고당","비타민C","액상차","구연산","비타민B1염산염","비타민B2","비타민B6염산염","고형분 2.0%이상","","","","","홍삼정차","","","",""
