"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","성분 및 원료3","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호4852","품목보고번호19950622022149","업소명농업회사법인 동의바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명동진맥수 시그니쳐 미네랄 워터","분류식품","업체명","농업회사법인 동의바이오 주식회사","소재지","경상남도 산청군 단성면 동방실로 80-22","1","2","정제수","글루콘산아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4851","품목보고번호19950622022152","업소명농업회사법인 동의바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명동진맥수O2","분류식품","업체명","농업회사법인 동의바이오 주식회사","소재지","경상남도 산청군 단성면 동방실로 80-22","1","2","정제수","셀레늄(고시형)","","셀레늄혼합제제(아셀렌산나트륨, 옥수수 말토덱스트린)/(주)빅솔","3","산화아연","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4850","품목보고번호20030563012100","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명동충하초","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","액상과당","구연산",NA,NA,"3","구연산소다",NA,"4","5","6","7","8","9","10","11","12","스테비아","안식향산나트륨","카라멜","천궁농축액","대추농축액","동충농축액","삭카린나트륨","동충향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4849","품목보고번호19990555093306","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명동충하초","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","과당","구연산",NA,NA,"3","안식향산나트륨",NA,"4","5","6","7","8","9","10","11","12","비타민C","비타민B2","니코틴산아미드(고시형)","카라멜색소","잔탄검","눈꽃동충하초농축액","천궁농축액","당귀농축액","계피농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4848","품목보고번호1989044501498","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동충하초골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","눈꽃동충하초균사체","영지추출액",NA,NA,"3","천궁추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4847","품목보고번호20030563012110","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명동충하초골드100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","대추농축액","액상과당","국산, 72Brix","","3","구연산","함수","4","5","6","7","8","9","10","11","12","구연산삼나트륨","효소처리스테비아","삭카린나트륨","안식향산나트륨","카라멜색소","천궁농축액","허브향","누에동충하초농축액","정제수","","","합성감미료","합성보존료","","65brix, 중국산","동충,합성착향료","45Brix, 중국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4846","품목보고번호20100528066185","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 12개월","제품명돼지감자식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","뚱딴지농축액","엿기름당화액","돼지감자즙","","3","쌀","","4","5",NA,NA,NA,NA,NA,NA,NA,"효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4845","품목보고번호200402945013","업소명미산식품","품목유형혼합음료","유통/소비기한제조일부터 14일(냉장보관), 30일(실온보관), 6개월(냉동보관)","제품명두루메","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","엿기름","백설탕",NA,NA,"3","멥쌀",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4844","품목보고번호200402945019","업소명미산식품","품목유형혼합음료","유통/소비기한6개월(냉동보관)","제품명두루메","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","엿기름","백설탕",NA,NA,"3","멥쌀",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4843","품목보고번호20070443110707","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명두링크초코","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","유함유가공품","유함유가공품","분리유단백분말 MC","농축우유단백","3","탈지분유","","4","5","6","7","8","9","10","11","12","두류가공품","난소화성말토덱스트린(고시형)","올리고당","코코아분말","혼합제제","혼합제제","혼합제제","향료","자당지방산에스테르","수프로 XT55","","말토올리고당","코코아파우더 D","영양강화제 프리믹스-Ⅰ","초코향 JW","초코향 SK","초코향 F","S-","13","탄산수소나트륨","","14","15","16","17","18","19","20","정제소금","젤란검","혼합제제","혼합제제","아세설팜칼륨","수크랄로스","정제수","","H","비타민 E 혼합제제","비타민 D2 혼합제제","","",""
