"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15","번호...57","성분 및 원료","비고"
"1","번호3727","품목보고번호19810227007158","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한4개월(실온)","제품명블루베리라떼","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","블루베리라떼Mix","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3726","품목보고번호19970464172278","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블루베리미","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","기타과당","폴리덱스트로스(고시형)","","","3","4","5","6","7","8","9","10","11","12","블루베리농축액","구연산","블루베리향","구연산삼나트륨","비타민C","블루베리향","감귤추출물","포도향","수크랄로스","정제수","","","1609295","","","1606622","","EM-16B171","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3725","품목보고번호19830242017107","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블루베리믹스","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","기타과당","발효식초","","현미식초","3","4","5","6","7","8","9","10","11","12","올리고당","백설탕","블루베리농축액","구연산","포도농축액","사과농축액","스테비오사이드혼합분말","블루베리향","레드색소","DL-사과산","","","","","","","","","HI-RED1","","13","14","15","비타민C","자몽종자추출물","정제수","","","",NA,NA,NA
"4","번호3724","품목보고번호2007037202243","업소명숭인내추럴팜 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명블루베리사랑","분류식품","업체명","숭인내추럴팜 주식회사","소재지","경기도 포천시 일동면 영일로764번길 57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","블루베리농축액",NA
"5","번호3723","품목보고번호20080358277246","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명블루베리식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","정제수","백설탕",NA,NA,"3","4","5",NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","블루베리농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3722","품목보고번호20110493072148","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명블루베리아이스티","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","정제수","백설탕","","","3","4","5","6","7","8","9",NA,NA,NA,"블루베리주스농축액","구연산","홍차분말","블루베리향","비타민 C(고시형)","홍차향","수크랄로스",NA,NA,NA,"미국산, 65Brix","산도조절제","","#1 혼합제제","영양강화제","#2 혼합제제","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3721","품목보고번호20160518117102","업소명녹차원(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블루베리아이스티","분류식품","업체명","녹차원(주)","소재지","전라남도 고흥군 동강면 청정식품단지길 25-9","1","2","설탕","구연산(무수)",NA,NA,"3","4","5","6","7","8","9","10",NA,NA,"정제수","블루베리농축액","포도농축액","블루베리향","자몽종자추출물","비타민C","수크랄로스","카르복시메틸셀룰로오스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3720","품목보고번호2019048889138","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한18개월","제품명블루베리에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","블루베리농축액","포도농축액","67brix , 미국산","칠레산","3","4","5","6","7","8","9","10","11",NA,"설탕","구연산","구연산삼나트륨","수크랄로스","식용색소적색제40호","식용색소청색제1호","합성향료","합성향료","정제수",NA,"","산도조절제","산도조절제","감미료","착색료","착색료","블루베리향#4","포도향#3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3719","품목보고번호2014049317123","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명블루베리에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","정제수","설탕","","설탕","3","4","5","6","7","8","9","10","11",NA,"과.채가공품","구연산","합성향료","구연산삼나트륨","수크랄로스","사양벌꿀","아세설팜칼륨","식용색소적색제40호","식용색소청색제1호",NA,"블루베리농축액","","블루베리향","","감미료","","감미료","착색료","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3718","품목보고번호20110493072204","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명블루베리에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","정제수","백설탕","","","3","4","5","6","7","8","9","10","11",NA,"블루베리농축액","포도농축액","구연산","구연산삼나트륨","수크랄로스","식용색소적색제40호","식용색소청색제1호","블루베리향","포도향",NA,"67Brix, 미국산","68Brix, 칠레산 적포도 농축액","산도조절제","산도조절제","감미료","착색제","착색제","합성향료","합성향료, 적포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
