"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17","번호...63","성분 및 원료","비고","번호18","번호19","번호20","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고18","비고19","비고20"
"1","번호501","품목보고번호19920562023237","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 알로에가든 오리지날","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라겔크러쉬","기타과당","덱스트린","설탕","젤란검","구연산삼나트륨","구연산","벌꿀","젖산칼슘","비타민C","효소처리스테비아","카로틴","알로에향","정제수","","","말토덱스트린","","","","","","","","레바텐프리미엄","카로틴V","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호500","품목보고번호19920562023236","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 알로에베라 드링크 석류","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","알로에베라잎(껍질제외)","즙액절편","액상과당","석류농축액","말토덱스트린","알로에베라잎(껍질제외)","백설탕","젤란검","구연산삼나트륨","구연산","벌꿀","젖산칼슘","비타민C","카로틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","16","17","적양배추색소","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호499","품목보고번호19860443015630","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 어린콜라겐 플러스 글루타치온","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"정제수","프락토올리고당","복숭아농축액","생선콜라겐","에리스리톨","복숭아향","엘라스틴가수분해물","구연산","황금혼합추출물","효모","발효돈태반추출액","히알루론산혼합제제","비타민B6염산염",NA,"","","","피쉬콜라겐펩타이드","","","","무수구연산","복합황금추출물","효모분말(글루타치온50%)","발효돈태반추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호498","품목보고번호20040275056443","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 오미자차","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"오미자추출액","프락토올리고당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호497","품목보고번호20190391582156","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 원기 진","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","혼합음료","동의혼합액",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호496","품목보고번호20060392223123","업소명네오팜","품목유형혼합음료","유통/소비기한제조일부터 24월","제품명프리미엄 유쾌통쾌내안의 변신","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"식물혼합추출물","락툴로즈","스킴밀크파우더","요구르트혼합분말","D-소르비톨액","만니톨","구연산","글루코만난","폴리덱스트로스","요구르트향","정제수",NA,NA,NA,"고형분 7%","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호495","품목보고번호19860443015293","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프리미엄 저분자콜라겐 플러스 태반","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"정제수","돈태반 혼합","엘라스틴가수분해물","히알루론산혼합제제","생선콜라겐","석류추출물분말","올리고당","자일리톨","석류농축액","합성향료","구연산","황금혼합추출물","비타민B6염산염",NA,"","발효돈태반추출물","","히알루론산-KD","피쉬콜라겐, 피쉬콜라겐펩타이드, GT콜라겐","","프락토올리고당액상","","","석류향","무수구연산","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호494","품목보고번호19860443015232","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 콜라겐 3200","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","생선콜라겐펩타이드분말","자일리톨","천연요구르트향","구연산","구연산삼나트륨","레몬향","황금복합추출물","비타민 C(고시형)","천연파인애플향","효소처리스테비아","히알루론산혼합제제","비오틴 혼합분말","병풀잎추출물분말","","GT콜라겐","","","무수구연산","","천연레몬향","복합황금추출물","","천연향료","","덱스트린 90%, 히알루론산 10%","제이인산칼슘 99%, 비오틴1%","","15",NA,NA,"엘라스틴가수분해물",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호493","품목보고번호19860443015462","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 콜라겐 앰플 4000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","생선콜라겐펩타이드","프락토올리고당","사과농축액","사과향","기타 농산가공품","DL-사과산","구연산(무수)","황금혼합추출물","효소처리스테비아","엘라스틴가수분해물","히알루론산혼합제제","비타민C","병풀추출","","피쉬 콜라겐펩타이드","프락토올리고당액상","사과농축과즙액","","센텔라(병풀)추출복합물C","","구연산","복합황금추출물","","","히알루론산-KD, 히알루론산","","병풀추출분말","15","16","17","비타민 D3 혼합제제분말","비타민 E 혼합제제분말","비오틴 혼합분말","","","비오틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호492","품목보고번호19860443015608","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명프리미엄 콜라겐 앰플 4000 Plus","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","생선콜라겐펩타이드","프락토올리고당","사과농축액","사과향","기타 농산가공품","DL-사과산","구연산(무수)","황금혼합추출물","효소처리스테비아","비타민 D3 혼합제제분말","비오틴 혼합분말","엘라스틴가수분해물","히알루론산혼합제제","","피쉬 콜라겐펩타이드","프락토올리고당액상","사과농축과즙액","","센텔라(병풀)추출복합물C","","","복합황금추출물","","","비오틴, 비오틴 1%","","히알루론산-KD, 히알루론산","15","16","17","비타민C","건조효모","우유단백질","","Engevita GSH","밀크 세라마이드, 우유단백질농축",NA,NA,NA,"18","19","20","토마토추출물분말","오르니틴염산염","건조효모","화이트토마토추출분말","","엑스셀렌, 건조효모(셀렌 0.2%)"
