"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29"
"1","번호2064","품목보고번호20120567001299","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명요쿠와의 워터젤리 포도","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","발효식초","에리스리톨","적포도농축액","팽이버섯추출물","폴리덱스트로스","혼합제제","홍삼농축액","청포도향","구연산","젖산칼슘","비타민C","수크랄로스","","청포도발효식초","","","팽이버섯유산발효액","","검분말(카라기난, 구연산삼나트륨, 곤약분말, 잔탄검, 덱스트린)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2063","품목보고번호20020623009998","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명용감한 몽키헌터 사과맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","사과농축액","백설탕","혼합분유","대두식이섬유","요거트분말","구연산","구연산삼나트륨","펙틴","아미노산혼합제제","젖산칼슘","수크랄로스","정제소금","자당지방산에스테르","사과농축과즙","","혼합탈지분유","대두화이바","","산도조절제","산도조절제","","아미노믹스","영양강화제","합성감미료","","모노에스터-P","14","15","16","합성향료","합성향료","정제수","사과향","애플소다향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2062","품목보고번호201406076144","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명용삼 천하","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13","식물혼합추출액","상황버섯","사철쑥","차가버섯","영지버섯","작약","칡뿌리","참당귀","지황포제가공한뿌리","천궁","계피가지","계피","쇠무릅",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","배초향지상부","감초","오가피",NA,NA,NA,"17","18","19","20","21","22","23","24","25","26","27","28","29","헛개나무열매","산삼배양근","감국분말","녹용","홍삼","정제수","철갑상어추출액","액상과당","키토올리고당(고시형)","잔탄검","비타민B1 라우릴황산염","황산마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2061","품목보고번호19970464172534","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명우루액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","밀크씨슬추출물","헛개나무열매농축액","사과농축액","타우린","잔탄검","구연산","구연산삼나트륨","분말결정포도당","정제수","시클로덱스트린시럽","감농축액","과라나추출물분말","기타과당","수용성밀크씨슬추출물","","","","","","","","","","","","","14","15",NA,"사과향","레몬향",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2060","품목보고번호1997046417285","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명우루에스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","액상과당","마카추출물","수용성커큐민","타우린","구기자농축액","비타민C","L-아스파라긴","L-아스파르트산","비타민B1염산염","비타민B2","비타민B6염산염","재제소금(재제조소금)","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","과라나추출물분말","구연산삼나트륨","이노시톨",NA,NA,NA,"17","18","19","20","21",NA,NA,NA,NA,NA,NA,NA,NA,"레몬향","사과향(2403)","허브향(6300)","정제수","밀크씨슬추출물(기능성원료인정제2009-23호)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2059","품목보고번호19990555093420","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명우루에이스","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","기타과당","헛개나무열매농축액","밀크씨슬","마카추출분말","울금추출물분말","타우린","비타민C","L-아스파라진","비타민B1염산염","비타민B2","비타민B6염산염","식염","","고과당","","수용성","마카분말(뿌리)","","","","","","","","","14","15","16","혼합허브추출물","구연산","과라나추출물분말","복합허브추출물","","","17","18","19","20","21","22","23",NA,NA,NA,NA,NA,NA,"구연산삼나트륨","향료","향료","향료","비수리농축액","L-아르지닌","기타가공품",NA,NA,NA,NA,NA,NA,"","사과향","레몬향","허브향","","","아미노믹스",NA,NA,NA,NA,NA,NA
"7","번호2058","품목보고번호20020623009987","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명우루에이스","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","헛개나무열매농축액","울금추출물분말","밀크씨슬추출물분말","복분자농축액","산수유농축액","과라나추출물분말","마카추출분말","기타 농산가공품","기타과당","에리스리톨","구연산","L-아스파라진","기타가공품","","","밀크씨슬추출물에스","","","","마카엑스-피엔","야관문농축액","","","","","효소처리아르기닌분말CD","14","15","16","효소처리스테비아","타우린","혼합제제","","","","17","18","19","20","21","22","23",NA,NA,NA,NA,NA,NA,"비타민C","비타민B1염산염","비타민B2","비타민B6염산염","혼합제제","합성향료","정제수",NA,NA,NA,NA,NA,NA,"","","","","혼합과일향","후르츠믹스향","",NA,NA,NA,NA,NA,NA
"8","번호2057","품목보고번호2008056020045","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명우리 대추로 만든 발효촌 대추초","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"대추농축액","올리고당","기타과당","사과농축액","구연산","비타민C","효소처리스테비아","정제수",NA,NA,NA,NA,NA,"10Brix 국산","","고과당","72Brix 국산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2056","품목보고번호19940543023174","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로 부터18개월","제품명우리 블루베리","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"블루베리농축액","사과농축액","아로니아농축액","기타과당","이소말토올리고당","덱스트린","구연산","혼합제제","혼합제제","정제수",NA,NA,NA,"","","","","","","","(덱스트린90%.라우릴황산염.비타민B1)","합성향료(블루베리향)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2055","품목보고번호20070440079193","업소명(주)다원","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명우리곡물참끼","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12",NA,"흑미","검정콩","검정깨(흑임자)","현미","현미보리","귀리","볶은율무","포도당","당류가공품","비타민믹스혼합제제","젖산칼슘","정제수",NA,"","","","","","","","","비정제사탕수수원당","비타프로CAF","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
