"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17","번호18","번호19","번호20","번호21","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고18","비고19","비고20","비고21"
"1","번호1303","품목보고번호198904450141012","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명진하게 내린  십전진쌍화","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","쌍화추출액","이소말토올리고당","수크랄로스","아세설팜칼륨","구연산(결정)","카라멜색소","타우린","비타민B2","카복시메틸셀룰로스나트륨","안식향산나트륨","허브향","정제수","십전쌍화혼합추출액(고형분 2.0%)","","감미료","감미료","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1302","품목보고번호20030614307961","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명진한 초코","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","액상과당","백설탕","혼합분유","코코아분말","식품첨가물혼합제제","식품첨가물혼합제제","정제소금","탄산수소나트륨",NA,NA,NA,"","","","스킴밀크프리퍼레이션에스엠피 8515","코코아파우더 D-11-MR","검믹스 MIE-71100","초콜렛향  엠에프-190822","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1301","품목보고번호20030614307938","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명진한 핫초코","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","액상과당","백설탕","혼합분유","코코아분말","식품첨가물혼합제제","식품첨가물혼합제제","정제소금","탄산수소나트륨",NA,NA,NA,"","","","스킴밀크프리퍼레이션에스엠피 8515","코코아파우더 D-11-MR","검믹스 MIE-71100","쵸콜렛향 엠에프-050972","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1300","품목보고번호20110441029131","업소명명성제약식품","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명진헛개골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12","헛개나무열매농축액","대추엑기스","감초엑기스","액상과당","스테비올배당체","구연산","구연산삼나트륨","니코틴산아미드","DL-사과산","식염","카라멜색소","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","16","허브향","체리향","비타민 B1염산염(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1299","품목보고번호1997046417244","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진헛개골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","헛개나무엑기스","대추엑기스","칡꽃엑기스","감초엑기스","로얄젤리추출물","액상과당","효소처리스테비아","구연산","구연산삼나트륨","니코틴산아미드","정제염","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","16","비타민 B1(고시형)","카라멜색소","안식향산나트륨","허브향",NA,NA,NA,NA,"17","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1298","품목보고번호19890445014311","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명진홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"홍미삼혼합추출액","스테비올배당체","구연산","카라멜","안식향산나트륨","인삼향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1297","품목보고번호19970464172475","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진홍삼골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","홍삼농축액","대추농축액","계피농축액","참당귀농축액","액상과당","말토덱스트린혼합제제","카라멜색소","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","홍삼향","","","","당귀농축액","","말토덱스트린","","","","","","","13","14",NA,NA,"허브향","정제수",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1296","품목보고번호19970464172502","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진홍삼프리미엄","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","홍삼농축액","대추농축액","계피농축액","천궁농축액","참당귀농축액","기타과당","말토덱스트린혼합제제","카라멜색소","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","","","","","당귀농축액","","말토덱스트린","","","","","","13","14","15",NA,"홍삼향","허브향","정제수",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1295","품목보고번호1997046417290","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진황","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","홍삼농축액","복분자농축액","구기자농축액","당귀농축액","사상자농축액","마늘엑기스분말","토사자농축액","오미자농축액","천궁농축액","액상과당","구연산","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","16","황금복합추출물","효소처리스테비아","카라멜색소","잔탄검",NA,NA,NA,NA,"17","구연산삼나트륨",NA,"18","19","20","21","니코틴산아미드","L-아르기닌","허브향","정제수",NA,NA,NA,NA
"10","번호1294","품목보고번호20120543109100","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명짜먹는 목캔디 내모겐","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"도라지추출액","모과농축액","프락토올리고당","민트향","박하향","벌꿀",NA,NA,NA,NA,NA,NA,"통째로갈아넣은도라지추출물","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
