"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호...24","성분 및 원료","비고","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13"
"1","번호4672","품목보고번호20110214381477","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 1년 이내","제품명로봇은 시크혜","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4","정제수","설탕","쌀","엿기름","","","","엿기름추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4671","품목보고번호199304450202","업소명경원엔터프라이즈(주)","품목유형혼합음료","유통/소비기한6개월","제품명로비스베이비워터","분류식품","업체명","경원엔터프라이즈(주)","소재지","충청북도 음성군 대덕로 288","1","2","3",NA,"정제수","타우린","글루콘산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4670","품목보고번호199304450201","업소명경원엔터프라이즈(주)","품목유형혼합음료","유통/소비기한12개월","제품명로비스워터","분류식품","업체명","경원엔터프라이즈(주)","소재지","충청북도 음성군 대덕로 288","1","2",NA,NA,"정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4669","품목보고번호199304450204","업소명경원엔터프라이즈(주)","품목유형혼합음료","유통/소비기한6개월","제품명로비스칼슘플러스","분류식품","업체명","경원엔터프라이즈(주)","소재지","충청북도 음성군 대덕로 288","1","2","3",NA,"정제수","글루콘산칼슘","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4668","품목보고번호199304450203","업소명경원엔터프라이즈(주)","품목유형혼합음료","유통/소비기한6개월","제품명로비스패밀리워터","분류식품","업체명","경원엔터프라이즈(주)","소재지","충청북도 음성군 대덕로 288","1","2",NA,NA,"정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4667","품목보고번호2020039511221","업소명(주)마음","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명로씨오(동 공정 제품명만 상이)","분류식품","업체명","(주)마음","소재지","경기도 가평군 상면 비룡로 2217-17(가, 나동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4666","품목보고번호2018050402513","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명로얄 프로폴리스 1000","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","프로폴리스추출액","아로니아농축액","타우린","도라지농축액","총플라보이드 10mg/1g이상","고형분65%","","고형분65%",NA,NA,NA,"5","6","7","8","9","10","감초농축액","참당귀농축액","비타민C","벌꿀","드링크향","정제수","고형분65%","(당귀농축액)고형분65%","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4665","품목보고번호199906111936","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명로얄골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","생로얄젤리","액상과당","구연산","삭카린나트륨",NA,NA,NA,NA,NA,NA,NA,"5","6","7","8",NA,NA,"허니향","안식향산나트륨","카라멜","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4664","품목보고번호2014060761412","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명로얄골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","대추엑기스","액상과당","영지엑기스","스테비텐",NA,NA,NA,NA,NA,NA,NA,"5","6","7","8","9","10","구연산","구연산삼나트륨","합성착향료","안식향산나트륨","벌꿀","사카린산나트륨",NA,NA,NA,NA,NA,NA,"11","12","13","소금","카라멜색소","정제수",NA,NA,NA
"10","번호4663","품목보고번호19890445014275","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명로얄골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","생로얄젤리","액상과당","주정","구연산",NA,NA,NA,NA,NA,NA,NA,"5","6","7",NA,NA,NA,"드링크향","벌꿀","글리신",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
