"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","번호23","성분 및 원료23","비고23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호51","품목보고번호198604350131140","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명훌훌라라","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","L-아르지닌","구연산","과당","청포도농축액","타우린","헛개나무과병추출분말","청포도향","비오틴 혼합","효소처리스테비아","맥아추출액","아셀렌산나트륨","D-알파-토코페릴초산염혼합제제","니코틴산아미드","수크랄로스","산화아연","비타민D3혼합제제","비타민B6염산염","비타민B2","L-아스파트산","아미노산혼합제제","아미노산혼합제제","","","","","(고형분 66%)","","","(합성향료)","비오틴혼합제제(비오틴 1% 함유)","","맥아추출물(고형분 40%)","아셀렌산나트륨혼합제제{셀렌 0.2%)","(비타민E 50% 함유)","","","(아연 80%)","(비타민D 0.25%)","(비타민B6 82%)","","","아미노산혼합제제1","아미노산혼합제제2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호50","품목보고번호20070443110437","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명휘오 피치 워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","과당","식품첨가물혼합제제","구연산삼나트륨","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","휘오 피치 워터 원제 제1A부","","휘오 피치 워터 원제 제1D부","휘오 피치 워터 원제 제2부",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호49","품목보고번호20060445110793","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명휘티 부스터 데일리 엑스퍼트 앰플","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","프락토올리고당","오렌지농축액","레몬농축액","오렌지향","석류농축액","판토텐산칼슘","DL-사과산","녹차추출물(고시형)","블랙엘더베리농축액","비수리추출분말","효소처리스테비아","포도종자추출물","로커스트콩검","비타민E혼합제제","글루콘산아연","석류향","건조효모(셀렌함유)","구연산삼나트륨","비타민C","니코틴산아미드","L-시스틴","","","","","","","","","","엘더베리농축액","","","포도종자추출분말","","비타민E혼합제제분말","","","(셀렌)","","","","","23","비타민D3혼합제제","비타민D3혼합제제분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호48","품목보고번호20180491044195","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명휴럼 마시는 프로틴","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","우유","당류가공품","분리대두단백","카제인칼슘","유채유","말토덱스트린혼합제제","프락토올리고당","제삼인산칼슘","탄산칼슘","L-로이신","혼합제제","생선콜라겐","수산화마그네슘","글리세린지방산에스테르","글리세린디아세틸주석산지방산에스테르","제이인산칼륨","정제소금","인산철","분말비타민A혼합제제","비타민D3혼합제제","비타민E혼합제제","비타민B1염산염","","유기농 마스코바도","","","카놀라유","","","","","","수용성비타민프리믹스ID2","","","Almax-1000","파노단165","","","","","","","","23","비타민B6염산염","","24","25","26","27","28","29","30","31","비타민C","두류가공품","혼합제제","혼합제제","땅콩향","바닐라향","산화아연","정제수","","검은콩농축액-J","아미노믹스","폼크린200","#8(FC-128809)","#7(FC_80707)","",""
"5","번호47","품목보고번호200500771312","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명휴먼라이프","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHP태반추출액","액상과당","올리고당","베타사이클로덱스트린","대두추출물분말","감초엑기스","석류농축액","구연산","잔탄검","과일향","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호46","품목보고번호20090440068131","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 365일","제품명휴식한모금 매실나무","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,"정제수","과당","나타드코코","매실추출액","포도당","혼합제제류","합성착향료","DL-사과산","젖산칼슘","구연산","글루코만난","비타민C","효소처리스테비아","타우린","인산철","비타민D3","베타카로틴(고시형)","비타민B2","엽산",NA,NA,NA,"","","베트남","","","소프트겔","","합성산미료","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호45","품목보고번호19890445014262","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명흑녹천","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,"두충추출액","산약추출액","당귀추출액","녹용추출액","액상과당","농축사과과즙","카라멜","구연산","허브향","구연산삼나트륨","안식향산나트륨","비타민C","DL-사과산","비타민 B6(고시형)","니코닌산아미드","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호44","품목보고번호19890445014812","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명흑당 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","당류가공품","유크림","당시럽류","합성향료","자당지방산에스테르","맥아추출액","합성향료","카복시메틸셀룰로스나트륨","탄산수소나트륨","수크랄로스","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","흑당","","당밀","흑당향","","","달고나향","","","","밀크향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호43","품목보고번호1971061800186","업소명동일식품","품목유형혼합음료","유통/소비기한12개월","제품명흑당 통계피 수정과","분류식품","업체명","동일식품","소재지","경상남도 창녕군 남지읍 용산본동길 14","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"통계피","생강","당류가공품","설탕","정제수","태움용융소금",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","[흑당시럽]","","","[천일염]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호42","품목보고번호19890445014811","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명흑당라떼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,"정제수","혼합분유","당류가공품","가공유크림","당시럽류","합성향료","자당지방산에스테르","맥아추출액","합성향료","타마린드검","합성향료","자당지방산에스테르","카라멜색소","카제인나트륨","수크랄로스",NA,NA,NA,NA,NA,NA,NA,"","혼합탈지분유","흑당","캔 락티아","당밀","흑당향","자당지방산에스테르P","","커피향","","달고나향","자당지방산에스테르S","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
