"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17"
"1","번호5957","품목보고번호20100543066234","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한36개월","제품명OKF쌕 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","복숭아다이스","복숭아농축액","액상과당","구연산","비타민C","수크랄로스","잔탄검","화이트크라우디","식용색소황색제4호","합성착","향료(복숭아향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5956","품목보고번호20100543066288","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한36개월","제품명OKF쌕포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"포도과립","백포도농축액","백설탕","구연산","L-주석산","비타민C","착향료(포도향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5955","품목보고번호19890445014106","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명OK굿모닝","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"오리나무추출액","당귀추출액","영지추출액","숙지추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5954","품목보고번호20080395120281","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명ONBLUE 온블루 프로틴워터 액티브 썬","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","유청단백분말","자일리톨","사과농축액","DL-사과산","구연산","효소처리스테비아","혼합제제","수크랄로스","혼합제제",NA,NA,"","분리유청단백(미국산)","","국산","","함수구연산","","(규소수지, 소르비탄지방산에스테르, 폴리소르베이트60, 카르복시메틸셀룰로오스나트륨, 자몽종자추출물, 정제수)","","(프로필렌글리콜, 정제수, 주정, 합성향료)(사과향)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5953","품목보고번호20080395120293","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일부터 20개월","제품명ONBLUE 온블루 프로틴워터 액티브 웨이브","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"정제수","유청단백분말","자일리톨","혼합제제","DL-사과산","구연산","효소처리스테비아","혼합제제",NA,NA,NA,NA,"","분리유청단백(미국산)","","(주정, 정제수, 프로필렌글리콜, 합성향료, 천연향료, 빙초산)(요구르트향)","","","","규소수지, 소르비탄지방산에스테르, 폴리소르베이트60, 카르복시메틸셀룰로오스나트륨, 자몽종자추출물,정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5952","품목보고번호1996051900637","업소명주식회사 보성녹차인 1공장","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명OSHA ALOE(수출용)","분류식품","업체명","주식회사 보성녹차인 1공장","소재지","전라남도 보성군 미력면 농공길 28-20","1","2","3","4","5","6","7","8","9","10","11",NA,"알로에 베라","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤라검","알로에향","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5951","품목보고번호20020623009353","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명OSHA SUGAR FREE ALOE","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9",NA,NA,NA,"알로에베라겔즙함유절편","구연산","수크랄로스","비타민C","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5950","품목보고번호20020623009321","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명OSHA 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,"알로에베라겔즙","함유절편","액상과당","백설탕","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5949","품목보고번호19980308080328","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Ofmom Vlatte 패밀리","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12","귀리분말","귀리분말","고올레산해바라기유","이눌린/치커리추출물(고시형)","정제소금","탄산칼슘","혼합제제","혼합제제","염화마그네슘","혼합제제","젤란검","글리세린지방산에스테르","효소처리귀리분말","","","","","","피로인산제이철 혼합제제","산화아연 혼합제제","","미결정셀룰로오스","","모노글리세라이드","13","14","천연향료","정제수","천연바닐라추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5948","품목보고번호20000614238323","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명PEKO 딸기에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","설탕","딸기퓌레","바나나퓌레농축액","과.채가공품","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","딸기향","딸기향","식용색소황색제4호","","딸기퓨레","바나나농축퓨레","나타드코코","","","","","","","","","13","14","식용색소적색제40호","안식향산나트륨","","","15","16","17","혼합제제","정제수","합성향료","폼크린200","","밀키스향"
