"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고19","비고20","비고21","비고22","번호23","번호24","번호25","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고23","비고24","비고25"
"1","번호701","품목보고번호2013055814443","업소명농업회사법인 문경미소 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명파이브 워터젤리 오미자","분류식품","업체명","농업회사법인 문경미소 주식회사","소재지","경상북도 문경시 산양면 산동로 597","1","2","3","4","5","6","7","8","9","오미자추출액","혼합제제","자일리톨","수크랄로스","생선콜라겐펩타이드분말","에리스리톨","비타민C","구연산삼나트륨","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호700","품목보고번호19860443015341","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파이토블락","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6",NA,NA,NA,"정제수","배농축액","삼백초추출액","식물혼합추출물","황금혼합추출물","클로렐라분말",NA,NA,NA,"","","삼백초추출물(LHF618)","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호699","품목보고번호20060415215262","업소명주식회사 노바렉스 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파이토블락","분류식품","업체명","주식회사 노바렉스 2공장","소재지","충청북도 청주시 청원구 오창읍 각리1길 60(64)","1","2","3","4","5","6",NA,NA,NA,"정제수","배농축액","기타가공품","식물혼합농축액","황금혼합추출물","클로렐라추출물",NA,NA,NA,"","","삼백초추출물(LHF618)","식물혼합추출물","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호698","품목보고번호20190473161269","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명파인 히비스커스","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","정제수","액상차","프락토올리고당","파인애플농축액","난소화성말토덱스트린(고시형)","효소처리스테비아","오렌지농축액","구연산(무수)","효소식품","","파인 히비스커스 베이스","","파인애플 쥬스 농축액, 배합 함량 파인애플 100%","화이바솔-2L","스테비텐 후레쉬(STECITEN FRESH)","모로 블러드 오렌지 농축액, 고형분 60%","","파인애플추출분말","10","11","12","13","레몬농축액","기타가공품","향료","고형차","배합 함량 레몬 100%","저분자 피쉬콜라겐","파인애플향25","메리로트추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호697","품목보고번호20000614238313","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파인&패션후르츠","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","파인애플퓌레","과.채가공품","액상과당","과.채가공품","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","파인애플퓨레","HPP패션후르츠주스","기타과당","나타드코코","","","","","","10","11","12","13","구연산삼나트륨","패션후르츠향","패션후르츠향","파인애플향","","","","","14","15","16","17","18","식용색소황색제5호","식용색소황색제4호","안식향산나트륨","식품첨가물혼합제제","정제수","","","","소포제, 혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호696","품목보고번호2010054306611","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한품질유지기한 : 제조일로부터 24개월","제품명파인애플맛알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","알로에베라겔절편","알로에분말","액상과당","구연산","겔코겔","젖산칼슘","구연산삼나트륨","비타민C","탄산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13","SY GREEN","SY YELLOW","파인애플향(HF-302579)","파인애플향",NA,NA,NA,NA,"14",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호695","품목보고번호2007046409481","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명파인애플알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","알로에베라겔즙함유절편","알로에베라겔분말","백설탕","액상과당","구연산","젖산칼슘","젤란검","구연산삼나트륨","파인애플농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11",NA,NA,"향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호694","품목보고번호2021055909222","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명파인애플액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,"파인애플농축액","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호693","품목보고번호20060415215256","업소명주식회사 노바렉스 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파인플로우 샷 액상 퓨얼(FINEFLOW SHOT LIQUID FUEL)","분류식품","업체명","주식회사 노바렉스 2공장","소재지","충청북도 청주시 청원구 오창읍 각리1길 60(64)","1","2","3","4","5","6","7","8","9","정제수","L-아르지닌","프락토올리고당","구연산(무수)","타우린","자일리톨혼합제제","파인애플향","파인애플과즙분말","황금혼합추출물","","","","","","","","","복합황금추출물","10","11","12","13","수크랄로스","L-로이신","마카추출분말","L-이소로이신","","","수용성마카추출분말","","14","15","16","17","18","L-발린","건조효모복합","L-글루타민","베타인","L-카르니틴","","","","","","19","20","21","22","L-아스파트산","비타민 E(고시형)","비타민 C(고시형)","비타민 D3(고시형)","","비타민E혼합제제","","비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호692","품목보고번호20060415215264","업소명주식회사 노바렉스 2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파인플로우 샷 위마일드","분류식품","업체명","주식회사 노바렉스 2공장","소재지","충청북도 청주시 청원구 오창읍 각리1길 60(64)","1","2","3","4","5","6","7","8","9","정제수","프락토올리고당","자일리톨혼합제제","양배추농축액","덱스트린","요구르트 혼합","요구르트향","구연산(무수)","효소처리스테비아","","","","","난소화성말토덱스트린","요구르트분말","","","","10","11","12","13","잔탄검","혼합올리브유","황금혼합추출물","제이인산칼륨","","올리브오일혼합액","복합황금추출물","","14","15","16","17","18","과일혼합분말","세븐베리농축분말","혼합야채분말","대두분말","서양호박농축분말","","","","","단호박농축분말","19","20","21","22","비타민 C(고시형)","비타민 D3(고시형)","L-카르니틴","L-로이신","","비타민D3혼합제제","","","23","24","25","마카추출분말","건조효모복합","비타민 E(고시형)","수용성마카추출분말","","비타민E혼합제제"
