"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2304","품목보고번호20080395120668","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명여에스더 식물성 프로틴 드링크","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","분리대두단백","귀리페이스트","아몬드페이스트","곡류가공품","채종유(유채유 또는 카놀라유)","곡류가공품","땅콩 또는 견과류가공품","향료","탄산수소나트륨","글리세린지방산에스테르","탄산칼슘","정제소금","L-카르니틴","향료","효소처리스테비아","카라기난","비타민B6염산염","엽산","","","","","21곡혼합분말","","5곡농축액","아몬드 단백분말","","","","","","","","","","",""
"2","번호2303","품목보고번호20190391582170","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명여에스더 아르기닌 액티브싸이클","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"정제수","L-아르지닌","오렌지농축액","인산","시클로덱스트린시럽","타우린","L-아스파트산","올리고당","기타가공품","혼합제제","아스파탐","효소처리스테비아","기타가공품","수크랄로스",NA,NA,NA,NA,NA,"","","","","","","","","복합황금추출물","오렌지향","","","복합허브추출물C","",NA,NA,NA,NA,NA
"3","번호2302","품목보고번호20190391582175","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명여에스더 아르기닌 액티브싸이클","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","오렌지농축액","인산","시클로덱스트린시럽","타우린","L-아스파트산","올리고당","기타가공품","향료","아스파탐","효소처리스테비아","수크랄로스",NA,NA,NA,NA,NA,NA,"","","","","","","","","복합황금추출물","오렌지향","","","",NA,NA,NA,NA,NA,NA
"4","번호2301","품목보고번호20130415052228","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명여에스더 콜라겐 부스터 3X","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"정제수","프락토올리고당","망고농축액","생선콜라겐","열대과일혼합농축액","비타민C","자일리톨","토마토추출물분말","천연망고향","기타가공품","엘라스틴가수분해물","천연오렌지향","엘라스틴","히알루론산혼합제제","잔탄검","황금혼합추출물","효소처리스테비아","식용달팽이추출물분말",NA,"","","","저분자피쉬콜라겐300D","","","","토마토종자추출분말","","복합브로콜리추출물 2.0","엘라스틴, PROLASTIN","천연오렌지향 엠에프-110002","말 엘라스틴","","","복합황금추출물-2","","",NA
"5","번호2300","품목보고번호2008039512067","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한12개월","제품명여자의 아침","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"푸룬농축액","홍삼농축액","더덕농축액","복분자농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2299","품목보고번호2016049217211","업소명주식회사 네츄럴그린","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명여주 동충하초","분류식품","업체명","주식회사 네츄럴그린","소재지","전라북도 남원시 시묘길 89-17(노암동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"눈꽃동충하초복합추출액","프락토올리고당","구연산","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"동충하초여주혼합추출액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2298","품목보고번호2009061600559","업소명연호전통식품","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명여주와 수수음료","분류식품","업체명","연호전통식품","소재지","경상남도 의령군 부림면 미타로1길 26-1","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수수","엿기름","정제수","여주","새송이버섯","양파",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2297","품목보고번호202208601643","업소명사천당","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명연단호박식혜","분류식품","업체명","사천당","소재지","경상남도 사천시 사남면 진삼로 1222(102호)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀","서양호박","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2296","품목보고번호20130368349454","업소명주식회사소울네이처푸드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명연세 글루타치온 골드","분류식품","업체명","주식회사소울네이처푸드","소재지","충청남도 천안시 동남구 성남면 석곡2길 80(1동, 2동, 3동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"혼합음료","정제수","아로니아농축액","프락토올리고당","식품첨가물","블루베리주스농축액","카복시메틸셀룰로스나트륨","기타가공품","생선콜라겐","L-시스틴","산화아연","혼합제제",NA,NA,NA,NA,NA,NA,NA,"글루타치온 혼합액","","","","쎌덱스 SL-20(씨클로 덱스트린 SL-20)","","텍스처셀 삼만 피에이","복합황금추출물","","","","D-비오틴1%",NA,NA,NA,NA,NA,NA,NA
"10","번호2295","품목보고번호19860443015627","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명연세 글루타치온 프리미엄 골드","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"기타가공품","아로니아농축액","프락토올리고당","시클로덱스트린시럽","블루베리주스농축액","카복시메틸셀룰로스나트륨","황금혼합추출물","L-시스틴","생선콜라겐","산화아연","비오틴 혼합분말","정제수",NA,NA,NA,NA,NA,NA,NA,"엘-글루타치온 효모추출물 혼합액","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
