"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고19","비고20","비고21","번호22","성분 및 원료22","비고22"
"1","번호2534","품목보고번호20000614238325","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명애플망고&바나나","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","과.채가공품","바나나농축퓨레","과.채가공품","설탕","액상과당","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","잔탄검","망고향","바나나향","식용색소황색제4호","식용색소황색제5호","안식향산나트륨","혼합제제","정제수","애플망고퓨레","","나타드코코","","","","","","","","","","","","","","폼크린200","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2533","품목보고번호2014049317140","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명애플망고ADE","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","과.채가공품","식품첨가물혼합제제","구연산","구연산삼나트륨","비타민C","펙틴","수크랄로스","카로틴","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,"","","애플망고퓨레","혼합제제(프로필렌글리콜,정제수,주정,합성향료,글리세린,트리아세틴)","","","","","감미료","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2532","품목보고번호2018049104448","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명애플망고에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","과.채가공품","구연산","합성향료","합성향료","구연산삼나트륨","비타민C","혼합제제","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,"","","애플망고퓨레,14Brix,인도산","산도조절제","망고향","망고향","","","베타카로틴-엘","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2531","품목보고번호20000614238497","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명애플망고에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품","설탕","구연산","구연산삼나트륨","비타민C","혼합제제","수크랄로스","혼합제제","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"애플망고퓨레","","","","","베타카로틴","","프로필렌글리콜,주정,정제수,합성향료","정제수, 프로필렌글리콜, 트리아세틴, 주정, 글리세린, 비타민C, 비타민E, 합성향료, 천연향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2530","품목보고번호200306143071385","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명애플망고에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","과.채가공품","구연산","향료","향료","구연산삼나트륨","비타민C","식품첨가물혼합제제","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,"","","애플망고퓨레","","망고향","망고향","","","베타카로틴-엘 #170417","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2529","품목보고번호20130415052204","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명애플사이더톡톡","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"정제수","발효식초","프락토올리고당","난소화성말토덱스트린(고시형)","갈락토올리고당","사과농축액","레몬농축액","레드자몽농축액","레드비트농축액","유산균배양건조물","천연향료","구연산","효소처리스테비아","비타민C","천연향료",NA,NA,NA,"","사과발효식초, 애플사이더비니거","","","","","","","","3종유산균배양건조물","천연사과향","","","","천연레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2528","품목보고번호2019056213161","업소명엠케이2바이오(MK2BIO)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명애플진저뱅쇼","분류식품","업체명","엠케이2바이오(MK2BIO)","소재지","경상북도 문경시 신기산단2길 39(신기동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","포도원액","정제수","백설탕","사과착즙액","프락토올리고당","생강농축액","천연향료(Pepper, white)","팔각향잎","천연 클로브향","천연향료(Cardamom seed(Cardamon))","천연계피향","천연향료(Ginger)","구연산","DL-사과산","카라멜색소 I","정제소금","와인향","사과향","","","","","","","","","","","","","","","","","","1601450","19","20","21","천연향료(Cork, oak)","사과향","황금추출물분말","","DR6015-2","",NA,NA,NA
"8","번호2527","품목보고번호20000614238330","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명애플체리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"사과농축액","과.채가공품","과.채가공품","포도당","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","사과향","체리향","체리향","식용색소적색제40호","식용색소청색제1호","안식향산나트륨","정제수",NA,NA,"사과주스농축액","레드스위트체리농축액","나타드코코","함수결정포도당","","","","함수구연산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2526","품목보고번호20130415052222","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명애플톡스","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,"발효식초","프락토올리고당","정제수","사과향","사과농축액","레몬농축액","레드자몽농축액","구연산","효소처리스테비아","레몬향","비타민C",NA,NA,NA,NA,NA,NA,NA,"사과발효식초,  APPLE CIDER VINEGAR","F-250","","천연사과향 FB1816-1237","","","적자몽농축액","","","천연레몬향 LFY-021409","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2525","품목보고번호19860443015110","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한2년","제품명액스트라컨샌트래이트(Xtra concentrate)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","크랜베리농축쥬스","체리농축쥬스","포도농축쥬스","블루베리농축쥬스","솔비톨70","아쉬와간다","녹차추출물-내수용","유니베스틴","은행잎추출물분말","수크랄로스","구연산","비타민b3","VitaminB","니토킨산아미드","비타민 B6(고시형)","안식향산나트륨","소르빈산칼륨","알파리포익에시드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","20","21","홍사탕무농축쥬스","가시오갈피추출물","인삼추출물",NA,NA,NA,"22","정제수",NA
