"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","성분 및 원료8","비고8","번호9","번호10","번호11","번호12","번호13","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고9","비고10","비고11","비고12","비고13"
"1","번호1653","품목보고번호2021055909223","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명자몽액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","자몽농축액","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수","레드자몽농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1652","품목보고번호20020623009649","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽에이드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","자몽농축액","백설탕","구연산","수크랄로스","혼합제제류","효소처리루틴","자몽향","58brix","","함수","합성감미료","혼합제제식품첨가물(레드파우다)","","","8","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1651","품목보고번호20000614238352","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자몽에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","자몽농축액","과.채가공품","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","","라임농축액","","","","","","8","아세설팜칼륨","","9","10","11","12","13","혼합제제","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","주정,천연향료,합성향료","주정,천연향료,합성향료","","",""
"4","번호1650","품목보고번호2019048889140","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한18개월","제품명자몽에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","자몽농축액","설탕","구연산","구연산삼나트륨","덱스트린","수크랄로스","식용색소적색제40호","58brix, 이스라엘산","","산도조절제","산도조절제","말토덱스트린","감미료","착색료","8","합성향료","자몽향#7","9",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"5","번호1649","품목보고번호198506140552266","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽에이드","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","적자몽농축액","백설탕","말토덱스트린","구연산","레드파우다-엘씨","수크랄로스","자몽향",NA,NA,NA,NA,NA,NA,NA,"8","자몽향 W1118519",NA,"9",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1648","품목보고번호20110493072202","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월.","제품명자몽에이드","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","정제수","백설탕","자몽농축액","덱스트린","구연산","구연산삼나트륨","수크랄로스","","","58Brix, 이스라엘산","","산도조절제","산도조절제","감미료","8","식용색소적색제40호","착색제","9",NA,NA,NA,NA,"자몽향",NA,NA,NA,NA,"합성향료",NA,NA,NA,NA
"7","번호1647","품목보고번호2014049317120","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명자몽에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","과.채가공품","백설탕","구연산","효소처리루틴","수크랄로스","시트러스향","홍자몽펄프","적자몽주스농축액","","(함수) 산도조절제","영양강화제","감미료","합성향료","","8","자몽향","합성향료","9","10","11","12",NA,"정제수","나린진","락색소","베리류색소",NA,"","향미증진제","","쉐이드체리레드",NA
"8","번호1646","품목보고번호202307321142","업소명청 나라","품목유형혼합음료","유통/소비기한해당없음.","제품명자몽에이드","분류식품","업체명","청 나라","소재지","전라남도 나주시 우정로 72(더클래스빌딩 7층 B호 빛가람동)","1","2",NA,NA,NA,NA,NA,"자몽농축액","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1645","품목보고번호20000614238462","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자몽에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","과.채가공품","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","적자몽주스농축액","","","","","","","8","혼합제제","주정,천연향료,합성향료","9","10","11","12",NA,"혼합제제","식용색소적색제40호","식용색소황색제4호","정제수",NA,"주정,천연향료,합성향료","","","",NA
"10","번호1644","품목보고번호19780614001385","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명자몽워터","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","자몽농축액","액상과당","구연산","구연산삼나트륨","비타민C","효소처리루틴","수크랄로스","자몽청징농축액","","","","","","","8","히알루론산","","9","10","11",NA,NA,"자몽향","자몽향","정제수",NA,NA,"자몽향1","자몽향2","",NA,NA
