"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호751","품목보고번호2017014715536","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명파워골드프리미엄","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","L-아르지닌","타우린","비타민B2","판토텐산칼슘","아로니아추출물","생로얄젤리","대추야자농축액","구연산","효소처리스테비아","비타민B1라우릴황산염","허브향","레몬향","산화아연","마카과립","복분자농축액","구아검","정제수","과당","L-아르기닌","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호750","품목보고번호201103585303","업소명고려제약(주)","품목유형혼합음료","유통/소비기한24개월","제품명파워리셋","분류식품","업체명","고려제약(주)","소재지","경기도 이천시 신둔면 원적로 69-10(C동 2~3층, D동, H동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","밀크씨슬추출물","비타민B2","비타민B6염산염","비오틴","판토텐산칼슘","만니톨","스테아린산마그네슘","이산화규소","치자황색소","헛개나무열매농축액","L-아르지닌","테아닌","니코틴산아미드","글루콘산마그네슘","과라나추출물분말","비타민B1염산염","설탕","수크랄로스","","","","","","","","고결방지제로써 사용","","헛개나무 열매","","","","","과라나 열매","","","","19","20","21","22","23","24","구연산","구연산삼나트륨","자몽향","드링크향","안식향산나트륨","정제수","함수구연산","","","","안식향산으로서 0.05687",""
"3","번호749","품목보고번호20150375129215","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명파워메이커","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"식물혼합추출액","L-아르지닌","타우린","프락토올리고당","DL-사과산","구연산(무수)","효소처리스테비아","대보농축액","자몽종자추출물","마카추출분말","과라나추출물분말","생강추출분말","비타민C","비타민D3혼합제제","아미노산혼합제제",NA,NA,NA,"","","","","","","","","","","","","","","아미노산믹스(BCAA2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호748","품목보고번호19970464172168","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명파워비타씨","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"백설탕","농축사과과즙","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민B2","비타민B6염산염","타우린","파인애플향","사과향","정제수",NA,NA,NA,NA,NA,"","72brix","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호747","품목보고번호19890445014239","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명파워아미노텐","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d-솔비톨","백설탕","과당","사과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호746","품목보고번호2014060761424","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명파워업","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","과당옥수수시럽","벌꿀","타우린","과라나분말","DL-사과산","구연산","블루베리향","구연산삼나트륨","펙틴","파인애플향","가공소금","아세설팜칼륨","수크랄로스","L-페닐알라닌","판토텐산칼슘","비오틴","마카추출분말","비타민 B1라우릴황산염(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","20","21",NA,NA,NA,"니코틴산아미드","비타민B6염산염혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호745","품목보고번호20030415157508","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파워업 아르기닌 6000","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","정제수","L-아르지닌","구연산","프락토올리고당","블루베리농축액","블루베리향","잔탄검","황금혼합추출물","수크랄로스","L-로이신","L-이소로이신","L-발린","비타민 C(고시형)","타우린","마카추출분말","비타민 B1(고시형)","비타민 B6(고시형)","니코틴산아미드(고시형)","","","","","","","","복합황금추출물","","","","","","","수용성마카추출분말, 뿌리","비타민B1질산염","비타민B6염산염","","19","20","21","22","23",NA,"판토텐산칼슘(고시형)","비오틴(고시형)","셀레늄(고시형)","산화아연(고시형)","비타민 B2(고시형)",NA,"","비오틴혼합분말","건조효모(셀렌함유)","","",NA
"8","번호744","품목보고번호20020623009657","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에너지 레몬","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"레몬농축액","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","타우린","수크랄로스","식용색소청색제1호","시트러스향","혼합과일향","딸기향","정제수",NA,NA,"65brix, 7brix 기준 1.2%","","산도조절제","산도조절제","","","","영양강화제","","","합성감미료","","합성착향료","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호743","품목보고번호19960571018642","업소명우일음료","품목유형혼합음료","유통/소비기한합성수지재(PET) 포장 제품 : 제조일로부터 12개월","제품명파워에너지 블루레몬","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"정제수","설탕","혼합제제","혼합제제","혼합제제","구연산","레몬농축액","에리스리톨","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","타우린","염화마그네슘","수크랄로스","식용색소청색제1호",NA,NA,"","","시트러스향 KSB-1310","후르츠믹스향 SC-191141","딸기향 K-170450","","65Brix, 이탈리아","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호742","품목보고번호19960458039657","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명파워에너지 블루레몬","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"정제수","설탕","혼합제제","혼합제제","혼합제제","구연산","레몬농축액","에리스리톨","구연산삼나트륨","정제소금","염화칼륨","젖산칼슘","타우린","염화마그네슘","수크랄로스","식용색소청색제1호",NA,NA,"","","시트러스향 SKB-1310","후르츠믹스향 SC-191141","딸기향 K-170450","","고형분 65%","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
