"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호3867","품목보고번호20070464094431","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명복숭아우롱차","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","기타과당","설탕","우롱차추출물","복숭아농축액","구연산","구연산삼나트륨","스테비올배당체","혼합제제","복숭아향","정제수","","","","","함수구연산","","","우롱차향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3866","품목보고번호20000360372259","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명복숭아워터","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","10","복숭아농축액","기타과당","구연산","구연산삼나트륨","효소처리루틴","정제소금","염화칼륨","젖산칼슘","합성향료","정제수","복숭아청징농축액","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3865","품목보고번호19950433026581","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명복숭아초","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","에리스리톨","발효식초","복숭아농축액","구연산","수크랄로스","락색소","아세설팜칼륨","복숭아향","복숭아향","정제수","","현미식초","68Brix","함수구연산","","","아세설탐칼륨","MF-AF17459","HF-317565","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3864","품목보고번호20110493072360","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아향 가득 복숭아녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","덱스트린","구연산","구연산삼나트륨","복숭아농축액","녹차농축액","비타민 C(고시형)","수크랄로스","락색소","","","","산도조절제","산도조절제","이스라엘산, 68Brix","국내산","영양강화제","감미료","엘에이, 착색제","11","12","녹차향","복숭아향","#3, 합성향료","#1, 합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3863","품목보고번호20190413079127","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명복숭아향 가득 복숭아녹차","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","백설탕","복숭아농축액","녹차농축액","덱스트린","구연산","구연산삼나트륨","비타민C","수크랄로스","락색소","합성향료","","이스라엘산","국산","","산도조절제","산도조절제","영양강화제","감미료","엘에이","복숭아향","11","12","합성향료","정제수","녹차향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3862","품목보고번호19890445014417","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명복앤복","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","건조명태추출액","액상과당","벌꿀","헛개","농축액","매실농축액","복분자농축액","오미자농축액","칡뿌리","농추액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","시클로덱스트린","홍산농축액",NA,NA,"13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","구연산","황금복합추출물","글리신","흑마늘농축액","타우린","L-아스파라긴","수크랄로스","마카분말","울금","말","비타민B1염산염","비타민B2","드링크향","솔향","모과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3861","품목보고번호19890445014452","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명복앤복(수출용)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","액상과당","벌꿀","헛개나무열매농축액","매실농축액","복분자농축액","오미자농축액","칡뿌리농축액","시클로덱스트린","구연산","황금복합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","글리신","흑마늘농축액",NA,NA,"13","14","15","16","17","18","19","20","21","22","23",NA,NA,NA,NA,NA,"타우린","L-아스파라긴","수크랄로스","마카분말","울금추출분말","비타민B1염산염","비타민B2","드링크향","솔향","모과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3860","품목보고번호2014049317160","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명복자에이드","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","정제수","설탕","과.채가공품","구연산","과.채가공품","합성향료","합성향료","비타민C","식품첨가물혼합제제","수크랄로스","","","복숭아농축액","","자두농축액","복숭아향","자두향","","레드파우더","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3859","품목보고번호202102062653","업소명메이드푸드 주식회사","품목유형혼합음료","유통/소비기한2개월","제품명본디감주","분류식품","업체명","메이드푸드 주식회사","소재지","인천광역시 부평구 부평대로 337(부평 제이타워3차 지식산업센터 4층 429,430호 청천동)","1","2","3","4","5","6",NA,NA,NA,NA,"쌀","맥아","백설탕","기타설탕","혼합제제","정제수",NA,NA,NA,NA,"","","하얀설탕,씨제이제일제당","자일로스설탕,씨제이제일제당","설탕대신,바이오믹스테크","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3858","품목보고번호19890445014549","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명본칼슘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","젖산칼슘","농축사과과즙","액상과당","백설탕","효소처리스테비아","구연산","비타민 B1(고시형)","비타민B2","비타민C","비타민D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","글리신","합성착향료",NA,NA,"13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"카르복시메틸셀룰로오스나트륨","합성보존료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
