"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호1077","품목보고번호20050555180551","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용) / 제조일로부터 24개월까지(내수용)","제품명칸타빌레 블루베리에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","백설탕","블루베리농축액","구연산","Red grape농축액","블루베리향","치자청색소","블랙커런트색소","카복시메틸셀룰로스나트륨","효소처리스테비아","레드칼라","","","","배합함량 블루베리100%","","배합함량 적포도100%","","블루칼라 AF5","","CMC","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1076","품목보고번호2017055519568","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용), 제조일로부터 24개월까지(내수용)","제품명칸타빌레 청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","설탕","백포도농축액","구연산","말토덱스트린혼합제제","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,NA,"","","스페인산","함수구연산","말토덱스트린","혼합제제","구연산나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1075","품목보고번호20050555180739","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지(수출용) / 제조일로부터 24개월까지(내수용)","제품명칸타빌레 청포도에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","설탕","백포도농축액","구연산","덱스트린","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,NA,"","","스페인산","함수구연산","말토덱스트린","혼합제제","구연산나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1074","품목보고번호2017014715535","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명칸포스","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","녹용추출액","밀크씨슬","L-아르지닌","타우린","비타민B2","판토텐산칼슘","폴란드아로니아농축액","생로얄젤리","대추야자농축액","구연산","효소처리스테비아","허브향","","","L -아르기닌","","","","","","대추야자시럽","","","","13","14","15","16","17","18","19","레몬향","비타민B1라우릴황산염","마카과립","황산아연","복분자농축액","구아검","정제수","","","","","","",""
"5","번호1073","품목보고번호200306143071002","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명칼로-뷰티 콜라겐 3000","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","기타가공품","식품첨가물혼합제제","칼라만시농축액","구연산","식품첨가물혼합제제","구연산삼나트륨","천연향료","젖산칼슘","수크랄로스","홍화황색소","","","베리솔","검믹스 #26840","","","칼라만시향 엠에프-170218","","천연라임향 엠에프-110563","","","홍화황색소-200","13",NA,NA,NA,NA,NA,NA,"비타민C",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"6","번호1072","품목보고번호20130415052101","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명칼로-뷰티콜라겐2500","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","콜라겐","카라기난혼합제제","β-시클로덱스트린","구연산","칼라만시향","필리핀레몬열매과즙","칼라만시향","효소처리스테비아","황금혼합추출물","비타민C","","","VERISOL, 돈피콜라겐, 콜라겐가수분해물","수퍼겔KW","","","AF7332","칼라만시농축액","TF-35567","레바텐프리미엄","복합황금추출물-2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1071","품목보고번호20120567001245","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명칼로우 깔라만시","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10",NA,NA,"에리스리톨","칼라만시원액","혼합제제","유산균배양액","비타민C","치자황색소","수크랄로스","정제수","발효식초","구연산",NA,NA,"","깔라만시원액","검분말(카라기난, 구연산삼나트륨, 곤약분말, 잔탄검, 덱스트린)","","","","","","청포도발효식초","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1070","품목보고번호20120567001247","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명칼로우 와일드망고","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","에리스리톨","발효식초","망고분말","혼합제제","망고향","치자황색소","유산균배양액","비타민 C(고시형)","수크랄로스","구연산",NA,"","","청포도발효식초","와일드망고 분말","검분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1069","품목보고번호20120567001246","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명칼로우 풋사과","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11",NA,"에리스리톨","구연산","사과농축액","혼합제제","유산균배양액","비타민C","그린색소","수크랄로스","정제수","사과향","발효식초",NA,"","","풋사과농축액","검분말(카라기난, 구연산삼나트륨, 곤약분말, 잔탄검, 덱스트린)","","","","","","","청포도발효식초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1068","품목보고번호20040275056436","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명칼로젤리복숭아","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","에리스리톨","혼합제제","혼합제제","구연산(무수)","복숭아농축액","수크랄로스","비타민미네랄혼합분말","젖산칼슘",NA,NA,NA,"","","복숭아향 #16","검믹스#35450","","","","비타민미네랄믹스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
