"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호...42","성분 및 원료","비고","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13"
"1","번호3530","품목보고번호19890445014630","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명사조 증포진생베리","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","인삼열매농충액","홍삼혼합추출액","인삼열매농축액","증포 인삼열매","정제수","홍삼혼합추출액","홍삼","정제수","홍삼뿌리","홍미삼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3529","품목보고번호201906215279","업소명(주)더메리트","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명사포닌 수","분류식품","업체명","(주)더메리트","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19(용암해수2호관 A동 3층 303호)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"정제수","기타가공품","발효인삼추출물분말",NA,NA,NA,NA,NA,NA,NA,"용암해수 RO수","용암해수 미네랄수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3528","품목보고번호19890445014193","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명산동산수유","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","산수유추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3527","품목보고번호2017014715516","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명산삼골드프리미엄","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8",NA,NA,"산삼배양근추출액","홍삼엑기스","구연산","비타민 C(고시형)","비타민 B1라우릴황산염(고시형)","홍삼향","STEVIOSIDE 스테비오사이드","과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3526","품목보고번호2003055418884","업소명(주)비트로시스농업회사법인","품목유형혼합음료","유통/소비기한제조일부터 2년","제품명산삼배양근 삼력","분류식품","업체명","(주)비트로시스농업회사법인","소재지","경상북도 영주시 풍기읍 죽령로1371번길 17(외1필지)","1","2","3","4","5","6","7","8","9","10","산삼배양근엑기스","식물혼합농축액","프락토올리고당","액상과당","구연산","허브향","젖산칼슘","비타민C","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","산삼배양근","엑기스","식물혼합농축액",NA,NA,NA
"6","번호3525","품목보고번호19890445014785","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명산삼배양근골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","산삼배양근혼합추출물","액상과당","이소말토올리고당","구연산","카르복시메틸셀룰로오스","비타민B2혼합제제","카라멜색소비에이","안식향산나트륨","인삼향","정제수","(한태삼K혼합추출액고형분 1.8%기준)","","","","CMC","","","합성보존료","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3524","품목보고번호19980355336247","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명산삼배양근누에동충하초진액","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7",NA,NA,NA,"눈꽃동충하초추출액","식물혼합추출액","산삼배양근추출액","벌꿀","이소말토올리고당","정제염","정제수",NA,NA,NA,"고형분1%이상","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3523","품목보고번호202004471591","업소명주식회사 씨케이씨엔씨","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명산소랑","분류식품","업체명","주식회사 씨케이씨엔씨","소재지","충청북도 옥천군 청성면 청성로 127","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3522","품목보고번호2001043909845","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명산소통통","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3521","품목보고번호2003054113820","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명산수유골드","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4","5","6",NA,NA,NA,NA,"산수유","구기자나무열매","오미자","느릅나무껍질","복분자","사과",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
