"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17"
"1","번호1117","품목보고번호2006046711433","업소명주식회사 현가","품목유형혼합음료","유통/소비기한15일(냉장보관)","제품명친농우리식혜","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","6","무농액","엿기름","쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1116","품목보고번호201905710257","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터120일","제품명친정단호박식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,"엿기름","설탕","건조호박분말","멥쌀","정제수",NA,"맥아","","국산단호박분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1115","품목보고번호19950433026584","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명친친샤 요거트딸기","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","설탕","두류가공품","구연산","혼합분유","사과농축액","샤베트믹스","정백당","수용성대두다당류","함수구연산","혼합탈지분유","72Brix","요구르트베이스","7","8","9","10","11","12","수크랄로스","시트러스향","요구르트향","딸기향","밀크향","정제수","","","HF-AF15353","HF-AF14023","HF-317568","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1114","품목보고번호19950433026585","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명친친샤 요거트복숭아","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","설탕","두류가공품","구연산","혼합분유","복숭아농축액","샤베트믹스","정백당","수용성대두다당류","함수구연산","혼합탈지분유","68Brix","요구르트베이스","7","8","9","10","11","12","수크랄로스","시트러스향","요구르트향","복숭아향","밀크향","정제수","","","HF-AF15353","HF-317565","HF-317568","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1113","품목보고번호19950433026586","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명친친샤 요거트블루베리","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","설탕","두류가공품","구연산","사과농축액","혼합분유","샤베트믹스","정백당","수용성대두다당류","함수구연산","72Brix","혼합탈지분유","요구르트베이스","7","8","9","10","11","12","수크랄로스","시트러스향","요구르트향","블루베리향","밀크향","정제수","","SF-19188","HF-AF15353","HF-AF11930","HF-317568","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1112","품목보고번호19950433026583","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명친친샤 요거트오리지널","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","설탕","두류가공품","구연산","혼합분유","샤베트믹스","수크랄로스","정백당","수용성대두다당류","함수구연산","혼합탈지분유","요구르트베이스","","7","8","9","10","11",NA,"시트러스향","요구르트향","밀크향","청포도향","정제수",NA,"","HF-AF15353","HF-317568","HF-AG13301","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1111","품목보고번호19830242017231","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명침향녹용보","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","정제수","이소말토올리고당","침향나무수지가침착된수간목추출액","기타 농산가공품","참당귀농축액","기타 농산가공품","","","고형분 0.1% 이상","쌍화농축액","","식물혼합농축액","7","8","9","10","11","12","과.채가공품","기타가공품","합성향료","구연산","카라멜색소","카복시메틸셀룰로스나트륨","인진쑥농축액","녹용추출분말","쌍화향","","","","13","자몽종자추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1110","품목보고번호20140368660336","업소명(주)자임에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명침향녹용보","분류식품","업체명","(주)자임에프앤비","소재지","경기도 이천시 사음로 11(1동 사음동)","1","2","3","4","5","6","정제수","올리고당","침향나무수지가침착된수간목추출액","쌍화농축액","참당귀농축액","식물혼합농축액","","","침향추출액","","","","7","8","9","10","11","12","쑥농축액","녹용추출분말","혼합제제","구연산","카라멜색소 Ⅲ","카복시메틸셀룰로스나트륨","인진쑥농축액","","쌍화향","","","","13","자몽종자추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1109","품목보고번호19970464172460","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명침향보감","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","침향나무수지가침착된수간목추출액","녹용추출액","참당귀농축액","천궁농축액","산수유농축액","지황농축액","침향추출액(고형분0.1 %)","고형분0.5 %","당귀농축액","","","숙지황농축액","7","8","9","10","11","12","대추농축액","감초농축액","구연산","구연산삼나트륨","과라나추출물분말","타우린","","","","","","","13","잔탄검","","14","15","16","17","기타과당","카라멜색소","효소처리스테비아","정제수","","","",""
"10","번호1108","품목보고번호19890445014864","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명침향액","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,NA,NA,NA,"침향나무수지가침착된수간목추출액","대추농축액",NA,NA,NA,NA,"침향추출액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
