"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호2124","품목보고번호2013061247317","업소명주식회사 엔알바이오텍","품목유형혼합음료","유통/소비기한16개월","제품명온에프(On-F)","분류식품","업체명","주식회사 엔알바이오텍","소재지","경상남도 거제시 둔덕면 죽전길 310-1(1층)","1","2","3","4","5","정제수","발효식초","발효식초","자일리톨","구기자나무열매","","아로니아 발효식초","석류 발효식초","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2123","품목보고번호20080395120443","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명온통바름 저칼로리 통아몬드","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","혼합음료","정제소금","카라기난","젤란검","유화제","통아몬드액(고형분 2.2%)","","","","대두레시틴","6","7","8","9","10","탄산수소나트륨","칼슘혼합제제","비타민E혼합제제","합성향료","정제수","","액상칼슘","","아몬드향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2122","품목보고번호20080395120462","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명온통바름 통오트밀","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","원유","귀리페이스트","해바라기유","귀리식이섬유","곡물혼합분말","","오트페이스트","","","오곡미숫가루분말(현미56%, 보리41%, 찹쌀현미1%, 조1%, 수수1%)","6","7","8","9","10","분리대두단백","레시틴","정제소금","탄산수소나트륨","젤란검","","대두레시틴","","","","11","12","카라기난","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2121","품목보고번호19860443015178","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명올 이너 (ALL INNER)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","식물혼합발효농축액","석류농축액","회향농축액","쑥농축액","에리스리톨","","","","","","6","7","8","9","10","프락토올리고당","황금복합추출물","구연산","잔탄검","천연사과향","프락토올리고당액상","","무수구연산","산탄검","","11","12","사프란","정제수","사프란추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2120","품목보고번호20080181270185","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명올가니카 로그인 유어 데이","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","니코틴산아미드(고시형)","L-카르니틴","판토텐산칼슘","타우린","과라나추출물분말","","","","","과라나추출분말","6","7","8","9","10","분말비타민B12혼합제제","비타민B6염산염","비타민C","은행잎추출물분말","알로에베라겔동결건조분말","비타민B12 0.1%","","","은행잎추출물S","","11","12","열처리유산균","수산물가공품","nf1","후코이단","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","수크랄로스","시클로덱스트린시럽","기타설탕","프락토올리고당","레몬농축액","구연산(무수)","구연산삼나트륨","합성향료","합성향료","합성향료","염화콜린","혼합제제비타민D","혼합허브추출물","치자청색소","L-테아닌(고시형)","정제수","","싸이클로-P","자일로스슈가","","레몬농축액SR","","","머스켓","레몬","크림소다","","비타민D3","복합허브추출물E","","",""
"6","번호2119","품목보고번호20180604608111","업소명거제시농산물가공협동조합","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명올거제 식혜","분류식품","업체명","거제시농산물가공협동조합","소재지","경상남도 거제시 거제면 거제남서로 3577-1","1","2","3","4","5","정제수","쌀","설탕","엿기름","α-아밀라아제","상수도","백미","","","","6",NA,NA,NA,NA,"β-아밀라아제",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2118","품목보고번호202103374676","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명올굿동충하초식혜","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4","5","정제수","백설탕","엿기름","쌀","밀리타리스동충하초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2117","품목보고번호20020623009530","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명올그루 코코넛 오리지널","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","코코넛젤리","액상과당","구연산","구연산삼나트륨","젤란검",NA,NA,NA,NA,NA,"6","7","8",NA,NA,"코코넛향","젖산칼슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2116","품목보고번호202105370192","업소명농업회사법인 (주)들에푸드","품목유형혼합음료","유통/소비기한제조일부터 2년","제품명올담채산야초","분류식품","업체명","농업회사법인 (주)들에푸드","소재지","경상북도 포항시 북구 장량로114번길 17-5(1층 장성동)","1","2","3","4","5","기타발효음료","정제수","액상차","계피농축액","감초농축액","팔공산산야초감로이슬발효액","","솔잎농축액F(65Brix)","계피농축액F(65Brix)","감초농축액F(65Brix)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2115","품목보고번호20080395120612","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 80일","제품명올데이프룻 오렌지","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","정제수","기타과당","설탕","폴리덱스트로스","오렌지농축액","","","","","","6","7","8","9","10","구연산","비타민C","향료","향료","향료","","","오렌지향1","청귤향","오렌지향2","11","12","구연산삼나트륨","기타가공품","","스테비아추출물100(함수결정포도당, 스테비아추출물분말)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
