"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29"
"1","번호1243","품목보고번호20030563012103","업소명대승바이오주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명참매실100","분류식품","업체명","대승바이오주식회사","소재지","경상북도 의성군 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","액상과당","구연산","효소처리스테비아","안식향산나트륨","매실농축액","삭카린나트륨","구연산삼나트륨","카라멜색소","매실향","정제수","","함수","","합성보존료","68Brix, 국내산","합성감미료","","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1242","품목보고번호201406076147","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명참매실골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","매실농축액","액상과당","덱스트린","구연산","착향료(매실향","안식향산나트륨","합성보존료","구연산삼나트륨","카라멜색소","하이드롤",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","사카린산나트륨","스테비텐","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1241","품목보고번호20060512128366","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명참바늘버섯진액","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"프락토올리고당","과.채가공품",NA,NA,NA,NA,NA,NA,NA,NA,"","참바늘버섯분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1240","품목보고번호1999055518589","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명참심마니산삼배양근","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3","4","5","6","7","8","9","10","산삼배양근","귤나무열매껍질","칡뿌리","감초","참당귀","천궁","사철쑥","황기","용안육","오가피","고형분4%","진피","갈근","","","","인진","","","오가목","11","12","13","작약","헛개나무열매","계피","","지구자","","14","15","16","17","18","액상과당","올리고당","정제수","합성착향료","홍삼청","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1239","품목보고번호20130415052136","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명참인셀 플라센타 콜라겐","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","정제수","이소말토올리고당","자일리톨","생선콜라겐","프락토올리고당","라즈베리농축액","세븐베리농축액","엘라스틴가수분해물","타우린","돼지태반추출분말","","","","저분자피쉬콜라겐","","","","PROLASTIN","","돈태반추출분말","11","12","13","아로니아농축액","갈락토올리고당","β-시클로덱스트린","","","","14","15","16","17","18","라즈베리향","구연산","L-아르지닌","벌꿀","인삼열매","혼합제제","","","","농축액","19","20","21","22","23","24","25","26","27","28","29","블루베리향","효소처리스테비아","히알루론산혼합제제","비타민C","글루콘산아연","황금혼합추출물","니코틴산아미드","잔탄검","비타민미네랄혼합제제","비타민B6염산염","비타민B1질산염","혼합제제","","","","","","","","","",""
"6","번호1238","품목보고번호2011036207611","업소명명인힐링푸드","품목유형혼합음료","유통/소비기한2년","제품명참조은 청아 양파즙","분류식품","업체명","명인힐링푸드","소재지","경기도 김포시 하성면 월하로671번길 23-19(나동 2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"양파","인삼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1237","품목보고번호19860443015487","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명참존 톤업핏 콜라겐 6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","정제수","생선콜라겐","구연산","합성향료","히알루론산","토마토추출물","황금혼합추출물","효소처리스테비아","수크랄로스","비타민B6염산염","","어린 피쉬 콜라겐펩타이드, 피쉬콜라겐","무수구연산","타트체리향","","화이트토마토추출물","복합황금추출물","","수크랄로오스","","11","12","13","N-아세틸글루코사민","엘라스틴가수분해물","알로에겔분말","","","알로에베라겔 200:1 분말, 알로에겔","14","15","16","17","18","히비스커스추출물","야채혼합농축분말","신양벚나무열매농축과즙","병풀추출","비타민C","","","타트체리농축액","병풀추출물분말","","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"파인애플추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1236","품목보고번호19990555185123","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한제조일로부터 3년까지","제품명참포도","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3",NA,NA,NA,NA,NA,NA,NA,"포도과즙 혼합농축액","과당","올리고당",NA,NA,NA,NA,NA,NA,NA,"포도등혼합액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1235","품목보고번호19970464172387","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명참한송이","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","헛개나무열매농축액","칡꽃봉오리농축액","강황추출액","삽주뿌리줄기","귤껍질농축액","서양산사자열매","송이버섯추출물","찐건조도라지추출물","홍삼농축액","타우린","고형분 23%이상","갈화농축액","수용성커큐민(사용부위:뿌리줄기)","창출농축액","진피농축액","산사자농축액","송이","흑도라지","","","11","12","13","건조효모추출분말","배농축액","대추농축액","글루타치온 8%","","","14","15","16","17","18","사양벌꿀","감추출농축액","자일리톨","아미노산혼합제제","황산마그네슘","","","","","","19","20","21","22","23","24","25","26","27","28",NA,"염화칼륨","정제소금","젖산칼슘","구연산","구연산삼나트륨","비타민B1염산염","니코틴산아미드","송이향","효소처리스테비아","정제수",NA,"","","","","","","","","","",NA
"10","번호1234","품목보고번호1999055518556","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한제조일로부터 3년까지","제품명참홍삼녹용골드","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3","4","5","6","7","8","9","10","홍삼","녹용추출액","참당귀","황기","진피","칡뿌리","쑥","천궁","감초","헛개나무열매","고형분2%,국산","고형분1%, 국산","","","국산","","인진","","","지구자","11","12","13","계피","올리고당","작약","","","","14","15",NA,NA,NA,"정제수","합성착향료",NA,NA,NA,"","허브후레바G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
