"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호2354","품목보고번호2013061247329","업소명주식회사 엔알바이오텍","품목유형혼합음료","유통/소비기한1년 4개월","제품명엔알-엔(NR-N)","분류식품","업체명","주식회사 엔알바이오텍","소재지","경상남도 거제시 둔덕면 죽전길 310-1(1층)","1","2","3","4","5","6","7","지황추출물","백작약추출액","천궁추출액","참당귀뿌리추출물","자일리톨","화학적합성품","태움용융소금","정제수99.75%, 지황0.25%","정제수99.75%, 백작약0.25%","정제수99.75%, 천궁0.25%","정제수99.75%, 참당귀뿌리0.25%","","CT-CCP50(산호칼슘파우더)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2353","품목보고번호202307880301","업소명농업회사법인 에이치비바이오랜드 주식회사","품목유형혼합음료","유통/소비기한소비기한 2년","제품명엔오리바이브","분류식품","업체명","농업회사법인 에이치비바이오랜드 주식회사","소재지","경상북도 안동시 풍산읍 괴정2길 106-32(105동)","1","2",NA,NA,NA,NA,NA,"정제수","이눌린치커리추출물분말(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2352","품목보고번호2021035848181","업소명한국복덩이 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명엔케이워터(NK water)","분류식품","업체명","한국복덩이 주식회사","소재지","경기도 군포시 농심로 2(LT삼보 스카이비즈 4층 406호 당정동)","1","2",NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2351","품목보고번호20010515081291","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월 (실 온)","제품명엔터뉴트르","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","정제수","정제소금","황산제일철","합성향료","덱스트린","콩기름(대두유)","과.채가공품","","","","단호박향 0.1%","","","단호박분말","8","9","10","11","12","13","수크랄로스","가공유지","글리세린지방산에스테르","구연산칼륨","농축유단백","분리대두단백","","중쇄중성지방","","","",""
"5","번호2350","품목보고번호20110527046152","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명엔티거 쑥식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5","6","7","엿기름","효소처리스테비아","에리스리톨","난소화성말토덱스트린분말(고시형)","정제수","멥쌀","쑥가루","유기농엿기름분말,국산","","중국산","옥수수:외국산","","유기농(국산)","쑥분말(국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2349","품목보고번호20110527046151","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명엔티거 찰보리 식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5","6",NA,"엿기름","찰보리쌀","효소처리스테비아","에리스리톨","난소화성말토덱스트린분말(고시형)","정제수",NA,"유기농엿기름분말(국산)","제주산","","중국산","옥수수:외국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2348","품목보고번호20020623009494","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명엘 멕시카노 알로에 딸기맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12",NA,"수크랄로스","레드칼라","시트러스향","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA
"8","번호2347","품목보고번호20020623009492","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명엘 멕시카노 알로에 망고맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12",NA,"수크랄로스","β-카로틴","망고향","구아바향","정제수",NA,NA,NA,NA,NA,NA,NA
"9","번호2346","품목보고번호20020623009493","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명엘 멕시카노 알로에 석류맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11",NA,NA,"수크랄로스","레드칼라","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2345","품목보고번호20020623009491","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명엘 멕시카노 오리지널","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젤란검","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12",NA,"수크랄로스","그린칼라","치자황색소","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA
