"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","성분 및 원료14","비고14"
"1","번호1423","품목보고번호19780614001313","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월(실온)","제품명제주감귤","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","감귤농축액","액상과당","구연산","구연산삼나트륨","비타민C","향료","향료","정제수","Brix:60.0","","","","","향료1","향료2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1422","품목보고번호2017037259062","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명제주감귤비타톡톡","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","감귤농축액","액상과당","백설탕","자일리톨","식품첨가물혼합제제","사양벌꿀","수크랄로스","구연산","","","","","비타민복합분말","","","","9","10","11","구연산삼나트륨","합성향료","정제수","","합성착향료(감귤향)","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1421","품목보고번호201706283723","업소명(주)우영이앤티","품목유형혼합음료","유통/소비기한12개월","제품명제주감귤젤리","분류식품","업체명","(주)우영이앤티","소재지","제주특별자치도 제주시 임항로 270(건입동)","1","2","3","4","5","6","7",NA,"정제수","백설탕","감귤농축액","분말한천(고시형)","구연산","감귤향","비타민C",NA,"","","고형분60%이상","","","합성향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1420","품목보고번호2004046721342","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명제주도 민들레 쑥진액","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5",NA,NA,NA,"민들레추출액","사철쑥추출액","대추","감초","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1419","품목보고번호201306280194","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주라바","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1418","품목보고번호201306280193","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주라바8.8","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1417","품목보고번호20180491044186","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주말차 라떼","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","정제수","백설탕","전지분유","탈지분유","고형차","녹차향","자당지방산에스테르","정제소금","","","","","말차분말","#6","P-1670 (유화제)","","9","10","11","탄산수소나트륨","카라기난","식품첨가물혼합제제","중조(산도조절제)","K-100/유화제","소포제","12","13","식용색소황색제4호","식용색소청색제1호","착색료","착색료",NA,NA,NA
"8","번호1416","품목보고번호20000360372312","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명제주말차라떼","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","녹차가루","설탕","우유","탈지분유","유크림","글리세린지방산에스테르","자당지방산에스테르","젤란검","","","","","","","","","9","10","11","잔탄검","L-아스코브산나트륨","탄산수소나트륨","","","","12","13","합성향료","합성향료","밀크향","말차향","14","정제수",""
"9","번호1415","품목보고번호20070443110357","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명제주말차라떼","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","고형차","설탕","우유","탈지분유","유크림","글리세린지방산에스테르","자당지방산에스테르","젤란검","","","","","","Almax-2700","","","9","10","11","잔탄검","L-아스코브산나트륨","탄산수소나트륨","","","","12","13","혼합제제","밀크향","말차향","밀크향","14","정제수",""
"10","번호1414","품목보고번호201906218111","업소명메리앤제주","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명제주메리식혜","분류식품","업체명","메리앤제주","소재지","제주특별자치도 제주시 성신로2길 21(연동)","1","2","3","4","5",NA,NA,NA,"정제수","엿기름","설탕","멥쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
