"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29"
"1","번호4057","품목보고번호2020042406553","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명밤부스트포션","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","정제수","L-아르지닌","구연산(무수)","세븐베리농축액","블루베리농축액","타우린","블루베리향분말혼합제제","블랙엘더베리농축액","효소처리스테비아","마카추출분말","수박추출물","엘더베리향","글루콘산아연","혼합제제","아미노산혼합분말","기타가공품","잔탄검","니코틴산아미드","홍삼농축액(고시형)","헛개나무추출물분말","흑마늘추출물분말","비수리추출농축분말","복분자추출물분말","캐모마일추출물","크랜베리농축액분말","판토텐산칼슘","수크랄로스","비타민B1염산염","비타민B2","","L-아르기닌","","","","","","엘더베리농축액","","사용부위 : 뿌리","수박추출분말","엘더베리향혼합제제","","라즈베리향혼합제제","","복합황금추출물","","","홍삼농축액23","헛개나무열매추출물분말","발효흑마늘추출물분말","","복분자추출분말","캐모마일추출물분말","","","","",""
"2","번호4056","품목보고번호201805270592","업소명맛뜨락 영농조합법인","품목유형혼합음료","유통/소비기한100일","제품명밤호박식혜","분류식품","업체명","맛뜨락 영농조합법인","소재지","전라남도 해남군 옥천면 해강로 306","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","정제수","엿기름","설탕","호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","밤호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4055","품목보고번호1992044300340","업소명(주)팔도","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명밥알없는비락식혜","분류식품","업체명","(주)팔도","소재지","충청북도 진천군 광혜원면 광혜원산단길 88","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름추출액","백설탕","생강추출액","효소처리스테비아","시트러스추출분말","정제수","α-아밀라아제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","BAN 480L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4054","품목보고번호19950227050145","업소명(주)동원F&B","품목유형혼합음료","유통/소비기한2년(실온)","제품명밥알을걸러깔끔한정식혜","분류식품","업체명","(주)동원F&B","소재지","광주광역시 광산구 하남산단9번로 21(안청동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀페이스트","생강농축액","백설탕","스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4053","품목보고번호20010515081295","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밥알이 들어있는 식혜","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","곡류가공품","백설탕","쌀","생강농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","엿기름추출액 (고형분 3.0% 이상)","","유기농 쌀","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4052","품목보고번호19950611073132","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명밥알이 들어있는 식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","엿기름","백설탕","물엿","DL-사과산","안식향산나트륨","α-아밀라아제","셀룰라아제","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농멥쌀","겉보리엿기름","","맥아물엿","","보존료","효소제","효소제","가드엠53-(신)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4051","품목보고번호20110214381466","업소명달심F&B","품목유형혼합음료","유통/소비기한제조일로부터 12개월 이내","제품명밥이 맛있는 식혜","분류식품","업체명","달심F&B","소재지","광주광역시 북구 무등로 153(1,3층 신안동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4050","품목보고번호202004240653","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명방탄 수분가득채우는 히알탄탄","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","프락토올리고당","복숭아농축액","복숭아향","효모추출물","황금추출물","히알루론산","구연산삼나트륨","비타민C","효소처리스테비아","구연산","생선콜라겐","이노시톨","글리신","타우린","L-글루타민","L-아르지닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","프로솔이스트파우더","복합황금추출물","","","","","","","","","","글로타민","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4049","품목보고번호20070443110506","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명방탄카카오","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가공유크림","당류가공품","땅콩 또는 견과류가공품","코코아분말","카제인나트륨","혼합제제","혼합제제","기타소금","젤란검","스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"고형분함량 34% 이상","액상알룰로스","아몬드페이스트","코코아파우더","","초코향(SK-)","초코향(BJ-)","히말라야핑크소금","","P-","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4048","품목보고번호19780614001424","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한팩:6개월","제품명배","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"배농축액","백설탕","구연산","구연산삼나트륨","효소처리루틴","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"배농축액","","","","","배향1","배향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
