"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호1463","품목보고번호2022078026610","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제로 복숭아망고그린티","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","9","10","11","12","13","14","복숭아농축액","망고농축액","녹차농축액","에리스리톨","구연산","구연산삼나트륨","비타민C","수크랄로스","락색소","혼합제제","복숭아향","망고향","녹차향","정제수","","","","","","","","","","시트러스향","","","","",NA,NA,NA,NA,NA,NA
"2","번호1462","품목보고번호202207802669","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제로 핑크레몬에이드","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"레몬농축액","에리스리톨","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소적색제40호","혼합제제","레몬향","라임향","정제수",NA,NA,NA,"","","","","","","","시트러스향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1461","품목보고번호20070443110605","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명제로S워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","에리스리톨","구연산","그린커피빈주정추출물(기능성원료인정제2018-6호)","과.채가공품","음료베이스","DL-사과산","구연산삼나트륨","비타민C","아세설팜칼륨","수크랄로스","혼합제제","합성향료","혼합제제","정제수","","","","레드자몽농축액","콤비타 올리브잎추출액","","","","","","자몽향22-","자몽향C","자몽향21-","",NA,NA,NA,NA,NA,NA
"4","번호1460","품목보고번호20140415135114","업소명(주)에이원바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제로니카 누:클리어 사과 부스터(Zeronica Nu:clear Apple Booster)","분류식품","업체명","(주)에이원바이오","소재지","충청남도 아산시 음봉면 월암로 336-42(1동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","기타가공품","D-소비톨","규격외일반가공식품","사과농축액","난소화성말토덱스트린(고시형)","치커리식이섬유","프락토올리고당","구연산(무수)","합성향료","콜라겐","엘라스틴","김치유산균추출분말","히알루론산","엽산","셀룰로오스화이버(멍게껍질, 고형분 함량 5% 기준), 국내산","","락추로스 리퀴드(우유함유)","70bx이상, 사과 100%, 칠레산","외국산(옥수수: 세르비아, 러시아, 헝가리)","치커리뿌리추출물100%, 벨기에산","","","사과향","피쉬","","","","","15","16","비타민혼합제제","정제수","",""
"5","번호1459","품목보고번호20140415135115","업소명(주)에이원바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명제로니카 누:클리어 사과(Zeronica Nu:clear Apple)","분류식품","업체명","(주)에이원바이오","소재지","충청남도 아산시 음봉면 월암로 336-42(1동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","기타가공품","규격외일반가공식품","에리스리톨","사과농축액","난소화성말토덱스트린(고시형)","치커리식이섬유","프락토올리고당","구연산(무수)","합성향료","콜라겐","엘라스틴","히알루론산","김치유산균추출분말","엽산","셀룰로오스화이버(멍게껍질, 고형분 함량5% 기준), 국내산","락추로스 리퀴드(우유함유)","","사과100%, 70bx이상, 칠레산","외국산(옥수수: 세르비아, 러시아, 헝가리)","치커리뿌리추출물100%, 벨기에산","","","사과향","피쉬","","","","","15","16","비타민 혼합제제분말","정제수","",""
"6","번호1458","품목보고번호202105210652","업소명주식회사 상춘당","품목유형혼합음료","유통/소비기한9개월","제품명제부초","분류식품","업체명","주식회사 상춘당","소재지","전라남도 구례군 산동면 지리산온천로 266-12(101호)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","녹차나무잎추출물분말","호박가루","정제소금",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1457","품목보고번호20120567001330","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제시쥬시 미녀의 선택 워터젤리 복숭아","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"에리스리톨","발효식초","복숭아농축액","혼합제제","유산균배양액","비타민C","적양배추색소","수크랄로스","정제수","복숭아향","콜라겐",NA,NA,NA,"","청포도발효식초","","검분말","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1456","품목보고번호20120567001329","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제시쥬시 미녀의 선택 워터젤리 와일드망고","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","에리스리톨","발효식초","망고분말","혼합제제","망고향","치자황색소","유산균배양액","비타민 C(고시형)","수크랄로스",NA,NA,NA,NA,"","","청포도발효식초","와일드망고 분말","검분말","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1455","품목보고번호20120567001328","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제시쥬시 미녀의 선택 워터젤리 자몽","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","발효식초","유산균배양액","자몽농축액","혼합제제","에리스리톨","자몽향","수크랄로스","비타민C","코치닐추출색소",NA,NA,NA,NA,"","청포도발효식초","","","검분말","","","","","코치닐색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1454","품목보고번호20120567001327","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명제시쥬시 미녀의 선택 워터젤리 풋사과","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"에리스리톨","발효식초","사과농축액","혼합제제","유산균배양액","비타민C","그린색소","수크랄로스","정제수","사과향",NA,NA,NA,NA,"","청포도발효식초","풋사과농축액","검분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
