"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호1643","품목보고번호19950433026582","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명자몽초","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","에리스리톨","발효식초","자몽농축액","구연산","수크랄로스","아세설팜칼륨","혼합제제","자몽향","자몽향","정제수","","현미식초","64Brix","함수구연산","","아세설탐칼륨","레드파우다","MF-AG21671","MF-AF25587","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1642","품목보고번호2022068312521","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽허니 블랙티","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9",NA,"홍차추출분말","자몽농축액","사양벌꿀","설탕","구연산","비타민C","맥아추출액","정제수","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1641","품목보고번호19890445014843","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자색고구마라떼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","정제수","혼합분유","가공유크림","자색고구마페이스트","천연색소","수크랄로스","백설탕","자당지방산에스테르","자당지방산에스테르","안정제믹스","","혼합 탈지분유","캔 락티아","","레드칼라 디피","","","S-570","P-1670","811F","11","고구마향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1640","품목보고번호2017052511753","업소명더나음 협동조합","품목유형혼합음료","유통/소비기한12개월","제품명자색고구마음료","분류식품","업체명","더나음 협동조합","소재지","전라남도 무안군 청계면 청운로 358(농산물가공센터)","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","자색고구마","고구마","사카린나트륨","고구마",NA,NA,NA,NA,NA,"","무안산","달수고구마 무안산","","볶은고구마껍질 무안산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1639","품목보고번호201104410701","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명자연 한모금","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1638","품목보고번호19830242017189","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한24개월","제품명자연가득 런치타임 파인 앤 레몬","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","설탕","파인애플농축액","레몬농축액","구연산","파인애플향","DL-사과산","비타민C","구연산삼나트륨","","","","","","","합성향료","","","","11","스테비안45에스","","12","13","14","시트러스향","천연색소","자몽종자추출물","합성향료","옐로우색소",""
"7","번호1637","품목보고번호19830242017190","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한24개월","제품명자연가득 런치타임 패션후르츠","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","설탕","패션후르츠맛농축액","구연산","패션후르츠향","레드색소","스테비안45에스","DL-사과산","비타민C","","","","","","믹스후르츠향","HI-레드1","","","","11","시트러스향","","12",NA,NA,"자몽종자추출물",NA,NA,"",NA,NA
"8","번호1636","품목보고번호201600844327","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명자연담은 노니골드","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"노니열매","액상과당","사과농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1635","품목보고번호201600844324","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명자연담은아로니아","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"아로니아혼합액","액상과당","구연산(결정)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1634","품목보고번호2007051804153","업소명농업회사법인주식회사 고흥에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명자연만세 유자즙","분류식품","업체명","농업회사법인주식회사 고흥에프앤비","소재지","전라남도 고흥군 고흥읍 호산로 341-27","1","2","3","4","5","6",NA,NA,NA,NA,"정제수","백설탕","유자농축액","유자과즙","구연산","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
