"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호2264","품목보고번호201004334949","업소명예뜰영농조합","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명예뜰사과식혜","분류식품","업체명","예뜰영농조합","소재지","충청북도 충주시 살미면 용천길 32-13(다동)","1","2","3","4","5","6","7","찹쌀","쌀","엿기름","사과즙","설탕","정제수","생강","국산","국산","국산엿기름","예뜰생사과즙","백설탕","","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2263","품목보고번호19860443015346","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명예뻐져보라","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","정제수","콜라겐","석류농축액","기타과당","자일리톨","구연산(무수)","석류향","","피쉬콜라겐, GT콜라겐","","","","구연산","합성향료","8","9","10","11","12","13","14","15","황금혼합추출물","히알루론산","비오틴 혼합분말","L-아르지닌","복숭아향","엘라스틴가수분해물","혼합제제","건조효모","복합황금추출물","","","아르기닌. L-아르기닌","합성향료","","비타민혼합분말, 비타프로CEC","건조효모(글루타치온)",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2262","품목보고번호19990555093364","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터      24 개월(2년)","제품명예뻐지는 하루 UP","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","정제수","정제수","프락토올리고당","오디발효원액","아로니아농축액","깔라몬딘오렌지열매","레몬농축액","","탈염 해양암반수","","오디청","","깔라만시농축액","","8","9","10","11","12","13","14",NA,"라즈베리농축액","석류농축액","비타민 C(고시형)","블루베리농축액","칼라만시향","효소처리스테비아","혼합허브추출물",NA,"","","","","깔라만시향","","복합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2261","품목보고번호20100543066691","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명옐로우 스무디","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","정제수","기타과당","백설탕","망고퓌레","포도농축액","파인애플농축액","탈지분유","","","","인도산,망고과즙환원으로1.2%","백포도농축액(칠레산,백포도과즙환원기준으로7.9%)","베트남산,파인애플과즙환원으로5.9%","우유,네덜란드산","8","9","10","11","12","13","14","15","두류가공품","샤베트믹스","카복시메틸셀룰로스나트륨","혼합제제","구연산","구연산삼나트륨","정제소금","자당지방산에스테르","대두다당류","요구르트베이스","","비타민C,E,A,B3,B2,B6,B1,엽산","","","국내산","","16","17","18","식용색소황색제5호","식용색소황색제4호","합성향료","착색료","착색료","요구르트향,파인애플향"
"5","번호2260","품목보고번호200804782957","업소명가보자식품","품목유형혼합음료","유통/소비기한3개월","제품명옛날식혜","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5",NA,NA,"정제수","쌀","설탕","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2259","품목보고번호2017052811182","업소명농업법인 장성마을반찬(주)","품목유형혼합음료","유통/소비기한해당없음.","제품명옛날식혜","분류식품","업체명","농업법인 장성마을반찬(주)","소재지","전라남도 장성군 남면 마령리 538-18","1","2","3","4","5",NA,NA,"정제수","엿기름","찹쌀","생강","대추",NA,NA,"","국내산","국내산","국내산","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2258","품목보고번호202104913791","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한6개월","제품명옛날식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5",NA,NA,"정제수","쌀","백설탕","엿기름","생강",NA,NA,"","","정백당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2257","품목보고번호200804782955","업소명가보자식품","품목유형혼합음료","유통/소비기한1년","제품명옛날식혜냉동","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5",NA,NA,"정제수","쌀","설탕","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2256","품목보고번호202104913795","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한1년","제품명옛날식혜냉동","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5",NA,NA,"정제수","쌀","백설탕","엿기름","생강",NA,NA,"","","정백당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2255","품목보고번호2021049137912","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명옛날인삼식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","6",NA,"정제수","백설탕","쌀","인삼","엿기름","생강",NA,"","정백당","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
