"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","성분 및 원료6","성분 및 원료7","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호1363","품목보고번호2010050006124","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창 블루베리 이야기","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","블루베리","유기농 설탕","올리고당","자일리톨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1362","품목보고번호201005000612","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창복분자원액","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","복분자","설탕","올리고당","자일리톨","복분자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1361","품목보고번호201005000613","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창복분자이야기","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","복분자","정제수","설탕","올리고당","자일리톨",NA,NA,NA,NA,NA,"6","7","구연산","복분자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1360","품목보고번호201005000611","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창복분자즙","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","복분자","정제수","설탕","올리고당","자일리톨",NA,NA,NA,NA,NA,"6","7","구연산","복분자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1359","품목보고번호2010050006147","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창블루베리즙","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","블루베리","감식초배즙","설탕","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1358","품목보고번호201005000618","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창오디원액","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2",NA,NA,NA,"오디","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1357","품목보고번호201005000619","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃 고창오디이야기","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","오디","정제수","설탕","자일리톨","비타민C",NA,NA,NA,NA,NA,"6","7","감식초","배즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1356","품목보고번호2010050006111","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃고창뽕잎이야기","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","뽕나무잎","정제수","설탕","자일리톨","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1355","품목보고번호2010050006110","업소명좋은이웃 영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명좋은이웃고창오디즙","분류식품","업체명","좋은이웃 영농조합법인","소재지","전라북도 고창군 고창읍 호암길 16","1","2","3","4","5","오디","정제수","설탕","자일리톨","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1354","품목보고번호20100543066962","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명죠리퐁 라떼","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","정제수","우유","설탕","혼합분유","과자","","국산","","혼합탈지분유(네덜란드산)","죠리퐁{밀쌀(미국산), 팜올레인유(말레이시아산)}","6","7","곡류가공품","당류가공품","곡물분말(보리쌀:국산)","생카라멜시럽","8","9","10","11","12","13","14","15","16","17","곡류가공품","혼합제제","산도조절제","합성향료","유화제","가공소금","혼합제제","젤란검","혼합제제","혼합제제","맥아추출물","결정셀룰로스, 카복시메틸셀룰로스나트륨","","죠리퐁향","","","프로필렌글리콜, 주정, 합성향료, 트리아세틴, 정제수, 카라멜색소, 천연향료, 글리세린)","","프로필렌글리콜, 합성향료, 정제수, 카라멜색소, 천연향료, 주정","정제수, 규소수지, 글리세린지방산에스테르, 소르비탄지방산에스테르, 카복시메틸셀룰로스나트륨"
