"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호2274","품목보고번호2014060761411","업소명한보D&F","품목유형혼합음료","유통/소비기한2년","제품명영지골드","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","영지엑기스","액상과당","사과즙","구연산","카라멜색소","안식향산나트륨","스테비텐","사카린산나트륨","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2273","품목보고번호199906111933","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명영지골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8",NA,NA,"영지추출액","액상과당","구연산","영지버섯향","카라멜","삭카린나트륨","안식향상나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2272","품목보고번호1989044501489","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명영진 카렌디","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,"액상과당","젖산칼슘","DL-사과산","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2271","품목보고번호19890445014339","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명영진녹용원","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","녹용추출","천궁농축액","당귀농축액","대추농축액","감초농축액","액상과당","스테비올배당체","구연산","비타민B2","비타민 B6(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","니코틴산아미드","기타",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2270","품목보고번호1989044501492","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명영진매실골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,NA,"매실추출몰","사과농축액","시클로덱스트린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2269","품목보고번호2004048735214","업소명해태에이치티비(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명영진비타씨골드","분류식품","업체명","해태에이치티비(주)","소재지","전라북도 익산시 석암로7길 31-17(용제동)","1","2","3","4","5","6","7","8","9","10","비타민C","니코틴산아미드","비타민B2","염산피리독신","사과즙","액상과당","효소처리스테비아","DL-사과산","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","파인애플향 40406","애플엣센스",NA,NA,"13","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2268","품목보고번호19970464172286","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명영진비타포신","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","기타과당","백설탕","농축사과과즙","비타민 C(고시형)","구연산","구연산삼나트륨","정제소금","효소처리스테비아","비타민 B2(고시형)","과라나추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","비타민 B1염산염(고시형)","니코틴산아미드",NA,NA,"13","비타민B6염산염",NA,"14","15","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2267","품목보고번호19970464172289","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명영진포스포신액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","액상과당","백설탕","비타민B1염산염","비타민B2","니코틴산아미드(고시형)","판토텐산칼슘","비타민B6염산염","비타민C","시클로덱스트린시럽","녹차추출물분말가루","","","","","","","","","","","11","12","구연산","구연산삼나트륨","","","13","사과농축액","","14","15","파인애플향","블루베리향","","","16","17","정제수","황금","","복합황금추출물"
"9","번호2266","품목보고번호2021020626510","업소명메이드푸드 주식회사","품목유형혼합음료","유통/소비기한2개월","제품명예,감주","분류식품","업체명","메이드푸드 주식회사","소재지","인천광역시 부평구 부평대로 337(부평 제이타워3차 지식산업센터 4층 429,430호 청천동)","1","2","3","4","5","6",NA,NA,NA,NA,"쌀","맥아","기타설탕","혼합제제","퀴노아가루","정제수",NA,NA,NA,NA,"","","자일로스설탕,씨제이제일제당","설탕대신,바이오믹스테크","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2265","품목보고번호20020512164112","업소명(주)예다손 나주공장","품목유형혼합음료","유통/소비기한제조일로부터1년까지(냉동보관), 제조일로부터5일까지(냉장보관)","제품명예다손 맛있는 떡에 수정과한잔","분류식품","업체명","(주)예다손 나주공장","소재지","전라남도 나주시 세지면 동창로 37(113-1,3,4,5,  362-21,2층)","1","2","3","4",NA,NA,NA,NA,NA,NA,"정제수","계피","설탕","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
