"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호3380","품목보고번호201203781718","업소명에이앤지","품목유형혼합음료","유통/소비기한1년","제품명샤인","분류식품","업체명","에이앤지","소재지","경기도 양평군 강하면 전의3길 90","1","2","정제수","탄산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3379","품목보고번호2017055519548","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명샤인머스캣 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","정제수","기타과당","","","3","4","5","6","7","8","9","10","11","12","설탕","구연산","머스켓향","과.채가공품","비타민C","구연산삼나트륨","효소처리스테비아","머스켓향","식용색소황색제4호","식용색소청색제1호","","","샤인머스캣향","샤인머스캣혼합농축액","","","","천연샤인머스캣향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3378","품목보고번호20100543066776","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명샤인머스켓","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10","11","12","알로에베라겔즙","백포도농축액","구연산","합성향료","젖산칼슘","비타민C","천연향료","과.채가공품","구연산삼나트륨","젤란검","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","칠레산/배합함량 : 백포도100%, 백포도 과즙으로 환원기준5%","","샤인머스켓향","","","샤인머스켓향","국산/샤인머스켓추출분말","","","13","14","15","유화제","혼합제제","카로틴","","카라멜색소, 프로필렌글리콜","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3377","품목보고번호2014049317128","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명샤인머스켓","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10",NA,NA,"기타가공품","구연산","합성향료","펙틴","합성향료","비타민C","식품첨가물혼합제제","수크랄로스",NA,NA,"샤인머스켓농축액","","샤인머스켓향","","망고향","","치자그린","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3376","품목보고번호201005430661157","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월, CAN : 제조일로부터 36개월","제품명샤인머스켓 무가당","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","정제수","알로에베라겔즙","","태국산/알로에베라주스54.9%, 알로에베라45%, 구연산0.1%","3","4","5","6","7","8","9","10","11","12","백포도농축액","구연산","젖산칼슘","합성향료","합성향료","비타민C","과.채가공품","아세설팜칼륨","아스파탐","젤란검","칠레산/배합함량 : 백포도100%, 백포도 과즙으로 환원기준5%","","","청포도향","샤인머스켓향","","국산/샤인머스켓추출분말","감미료","감미료","","13","14","15","구연산삼나트륨","천연향료","유화제","","샤인머스켓향","","16","17","18","혼합제제","수크랄로스","카로틴","카라멜색소, 프로필렌글리콜","감미료",""
"6","번호3375","품목보고번호2014049317129","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명샤인머스켓ADE","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","정제수","설탕","","","3","4","5","6","7","8","9","10",NA,NA,"기타가공품","구연산","혼합제제","펙틴","혼합제제","비타민C","식품첨가물혼합제제","수크랄로스",NA,NA,"샤인머스켓농축액","","샤인머스캣향","","망고향","","치자그린","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3374","품목보고번호2021055909230","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명샤인머스켓액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","포도농축액","구연산","샤인머스켓농축액","","3","4","5","6","7",NA,NA,NA,NA,NA,"젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3373","품목보고번호20060445110625","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명샤인부스터","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","정제수","프락토올리고당","","","3","4","5","6","7","8","9","10","11","12","비타민C","효모추출물","파인애플농축액","에리스리톨","파인애플향","과.채가공품","치자청색소","효소처리스테비아","과.채가공품","스피루리나분말","","L-글루타치온 효모추출물","","","","패션후르츠농축액","","","감귤류추출물","블루스피루리나분말","13",NA,NA,"비타민E혼합제제분말",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3372","품목보고번호20060445110599","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명샤프라겐(Saffragen)","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","정제수","생선콜라겐","","피쉬콜라겐","3","4","5","6","7","8","9","10","11","12","자일리톨","대추야자농축액","포도농축액","청포도향","구연산","테아닌","효소처리스테비아","구연산삼나트륨","사프란암술머리추출물","쌀배아추출물","","","적포도농축액","","","","","","샤프란추출물","미배아추출물","13","14",NA,"비타민C","엘라스틴가수분해물",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3371","품목보고번호2011018161312","업소명한국홍삼제조공사","품목유형혼합음료","유통/소비기한1년(실온)","제품명서라이젠","분류식품","업체명","한국홍삼제조공사","소재지","대구광역시 달서구 앞산순환로49길 50(송현동,지상1층)","1","2","추출액","고형분",NA,NA,"3","4","5","6","7","8","9","10","11","12","정제수","비수리","참당귀","하수오","누에동충하초","누에","오디","꾸지뽕나무","목화씨앗","황정",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","감초","복분자","쌀겨",NA,NA,NA,"16","17","18","홍삼추출액","홍삼뿌리","미삼",NA,NA,NA
