"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17"
"1","번호3073","품목보고번호19970464172330","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스트롱비타씨","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","설탕","농축사과과즙","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민B2","비타민B6염산염","타우린","파인애플향","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3072","품목보고번호20020383603620","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명스팀팩","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","비타민B1염산염","비타민B2인산에스테르나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP-α","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3071","품목보고번호20020623009893","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스포츠 드링크 레몬맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","레몬농축액","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","비타민B6염산염","타우린","수크랄로스","식용색소청색제1호","65Brix","","","","","","","","","","","합성감미료","합성착색료","14","15","16","17","시트러스향","혼합과일향","딸기향","정제수","합성착향료","합성착향료","합성착향료",""
"4","번호3070","품목보고번호20020623009892","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스포츠 드링크 자몽맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","자몽농축액","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","비타민B6염산염","타우린","수크랄로스","시트러스향","64brix","","","","","","","","","","","합성감미료","합성착향료","14","15","16",NA,"자몽향","자몽향","정제수",NA,"합성착향료","합성착향료","",NA
"5","번호3069","품목보고번호20100543066971","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 24개월","제품명스포츠XR 바이크","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","구연산","결정과당","구연산삼나트륨","정제소금","합성향료","수크랄로스","구연산칼륨","염화마그네슘","판토텐산칼슘","니코틴산아미드","비타민B6염산염","","","","","","국산","시트러스향, 딸기향, 파인애플향, 패션후르츠향","감미료","","","","","","14","15","16","17","염화칼슘","식용색소청색제1호","혼합제제","아라비아검","","착색료","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소",""
"6","번호3068","품목보고번호20040275056722","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명스포츠마카","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","액상과당","L-아르지닌","덱스트린","구연산","포도당","타우린","쌍화농축액","기타가공품","배농축액","홍삼농축액","사과농축액","사양벌꿀","","고과당","L-아르기닌","말토덱스트린","함수구연산","함수포도당","","","블랙마카분말","","","","","14","15","16","17","홍삼향","효소처리스테비아","γ-시클로덱스트린","산화아연","혼합제제","","감마시클로덱스트린",""
"7","번호3067","품목보고번호2014060761423","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명스피드업헛개","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13","과당옥수수시럽","구연산","믹스후르츠향","타우린","비타민 B1라우릴황산염(고시형)","구연산삼나트륨","가공소금","글리신","니코틴산아미드","비타민 B2(고시형)","비타민B6염산염혼합제제","헛개나무열매추출액","칡꽃",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15",NA,NA,"오리나무농축액","정제수",NA,NA,NA,NA,NA,NA
"8","번호3066","품목보고번호20100182349206","업소명(주)일동플러스팜","품목유형혼합음료","유통/소비기한2년","제품명스피드업헛개","분류식품","업체명","(주)일동플러스팜","소재지","대구광역시 달서구 성서서로48길 6(지상1층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","액상과당","구연산","믹스후르츠향","타우린","비타민B1염산염","구연산삼나트륨","정제염수","글리신","비타민B2","비타민B6염산염혼합제제","헛개나무열매추출액","칡꽃봉오리농축액","오리나무농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA
"9","번호3065","품목보고번호20070440079191","업소명(주)다원","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스피루리나와 우리 농산물로 만든 농축액","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","기타가공품","땅콩싹분말","밀싹분말","보리순분말","브로콜리새싹분말","Red grape농축액","사양벌꿀","비타민C","구연산","기타가공품","한천",NA,"","스피루리나농축액","땅콩새싹분말","밀순분말","","","적포도농축액","","","","복합황금추출물","한천분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3064","품목보고번호2013037221931","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명스피리온","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"스피루리나추출물","칼슘(고시형)","스피루리나",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","스피루리나 유산균",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
