"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호3977","품목보고번호1986044301564","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명베리믹스(Berry-Mix)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","크렌베리농축주스","포도농축주스","블루베리농축","주스","체리농축주스","딸기농축주스","프락토올리고당 10","알로에","펙틴","황금추출물분말","식물혼합추출분말","비타민C","아가베시럽","스테비올배당체","비타민b3","사탕무농축","주스","비타민B1질산염","비타민B6염산염","VITAMIN A ACETATE","황금복합추출물","아슈와간다","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3976","품목보고번호2018050402567","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한12개월","제품명베리베리굿즙","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","블루베리과즙","양까막까치밥나무열매","석류농축액","Red grape농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","발효블루베리착즙액(국내산)","블랙커런트 추출물(국내산)","터키산","칠레산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3975","품목보고번호20000614238366","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명베리베리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"세븐베리농축액","설탕","구연산삼나트륨","구연산","비타민C","수크랄로스","아세설팜칼륨","블루베리향","블루베리향","청포도향","식용색소적색제40호","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3974","품목보고번호2006050005719","업소명선운산농업협동조합","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명베리웰복분자-본","분류식품","업체명","선운산농업협동조합","소재지","전라북도 고창군 아산면 인천강변로 318","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자착즙액","백설탕","액상과당","구연산","자일리톨","구연산삼나트륨","비타민C","시클로덱스트린","잔탄검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3973","품목보고번호2006050005720","업소명선운산농업협동조합","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명베리웰복분자-연","분류식품","업체명","선운산농업협동조합","소재지","전라북도 고창군 아산면 인천강변로 318","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자착즙액","백설탕","액상과당","구연산","자일리톨","구연산삼나트륨","비타민C","시클로덱스트린","DL-사과산","잔탄검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3972","품목보고번호2006050005718","업소명선운산농업협동조합","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명베리웰뷰티복분자","분류식품","업체명","선운산농업협동조합","소재지","전라북도 고창군 아산면 인천강변로 318","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자착즙액","백설탕","액상과당","구연산","자일리톨","구연산삼나트륨","비타민C","시클로덱스트린","잔탄검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3971","품목보고번호19970464172211","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명베아-큐","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,NA,"액상과당","생강농축액","귤껍질농축액","계피농축액","창출농축액","사철쑥농축액","감초농축액","대추농축액","프로테아제(식물성)","구연산","구연산삼나트륨","l-멘톨","주정","L-카르니틴","효소처리스테비아","멘톨향","레몬라임향","정제수","기타가공품",NA,NA,NA,NA,"","","진피농축액","","","인진쑥농축액","","","","","","L-멘톨","","","","","","","식물혼합추출물BG",NA,NA,NA,NA
"8","번호3970","품목보고번호2020042406539","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명베어포스 아르기닌 6000","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","L-아르지닌","구연산(무수)","과.채가공품","과.채가공품","효소처리스테비아","혼합제제","곡류가공품","혼합제제","혼합제제","기타가공품","기타 농산가공품","수크랄로스","비타민B1염산염","비타민B6염산염","비타민B2","니코틴산아미드","타우린","기타가공품","오르니틴염산염","흑마늘추출물분말","말태반추출물","혼합제제","","","","수박껍질추출물분말","세븐베리농축액","","라즈베리향혼합제제/라즈베리향13","맥아추출물/프루트맥스 브라운 900 더블유에스","포도향혼합제제/포도향SC-71050","레드자몽향혼합제제/레드자몽향1","복합황금추출물","씨트러스(감귤)추출물 분말","","","","","","","블랙마카추출물분말","","흑마늘추출농축액분말","말태반추출분말","아미노산혼합제제/아미노믹스"
"9","번호3969","품목보고번호20010445002731","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명베지더블","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","당근농축액","호박주스농축","유산균음료","사과농축액","양배추농축액","브로콜리농축액","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농당근농축액","유기농호박쥬스농축액","김치아이유산균배양액","유기농사과농축액","유기농양배추농축액","유기농브로콜리농축액","락토바실러스플란타룸MB01유산균체",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3968","품목보고번호20070464034202","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명베지포유","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","천일염","기타가공품","해바라기유","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합견과유","","해조분말","고올레산 해바라기유","유기농 밝은 갈색 설탕","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
