"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17"
"1","번호151","품목보고번호19920624042458","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명홍삼꿀D","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","홍삼농축액","사양벌꿀","사과농축액","백설탕","구연산","카라멜색소비에이","합성향료","합성향료","합성향료","정제수","","","","","","","허니후레바 SJ 2203198","허니후레바 SC 20372","홍삼후레바 SK-1497","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호150","품목보고번호19890445014855","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명홍삼꿀라떼 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","정제수","백설탕","가공유크림","자당지방산에스테르","카복시메틸셀룰로스나트륨","정제소금","홍삼농축액","자당지방산에스테르","수크랄로스","벌꿀","","","캔 락티아","S-570","CMC","","","P-1670","","잡화꿀","11","12","13","14","합성향료","합성향료","합성향료","안식향산나트륨","홍삼향","밀크향","벌꿀향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호149","품목보고번호2017047406395","업소명극동에치팜(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명홍삼녹용","분류식품","업체명","극동에치팜(주) 2공장","소재지","충청남도 예산군 삽교읍 산단1길 144(극동에치팜주 2공장 1동, 2동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"식물혼합추출액","액상과당","홍삼농축액","자몽종자추출물",NA,NA,NA,NA,NA,NA,"녹용식물혼합추출액[고형분 5% 이상]","","6년근 / 고형분 60% 이상, 사포닌 70mg/g 이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호148","품목보고번호2017047406367","업소명극동에치팜(주) 2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명홍삼녹용진액","분류식품","업체명","극동에치팜(주) 2공장","소재지","충청남도 예산군 삽교읍 산단1길 144(극동에치팜주 2공장 1동, 2동)","1","2","3","4","5",NA,NA,NA,NA,NA,"식물혼합추출액","액상과당","녹용추출액","홍삼농축액","자몽종자추출물",NA,NA,NA,NA,NA,"고형분 5% 이상","","고형분 0.15% 이상","6년근 / 고형분 60% 이상, 사포닌 70 mg/g 이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호147","품목보고번호20080358277209","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명홍삼느린식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5",NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀","홍삼분말",NA,NA,NA,NA,NA,"","","엿기름추출액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호146","품목보고번호19890445014532","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년(실온)","제품명홍삼대추","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","대추농축액","홍삼농축액","농축사과과즙","숙지황농축액","당귀농축액","액상과당","구연산","구연산삼나트륨","효소처리스테비아","정제염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","대추향","합성착향료","화인FAC-76651","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호145","품목보고번호19970464172196","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터30개월","제품명홍삼디","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","홍삼농축액","영지추출액","타우린","이노시톨","벌꿀","7.143BDD","흑설탕","폴리소르베이트(80)","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","DL-사과산","오렌지 플레버 91-1204-B","니코틴산아미드","L-페닐알라닌",NA,NA,NA,NA,"15","16","17","L-라이신염산염","L-글루타민산나트륨","정제수",NA,NA,NA
"8","번호144","품목보고번호2004052803046","업소명농업회사법인 예술자연농식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홍삼딸기","분류식품","업체명","농업회사법인 예술자연농식품(주)","소재지","전라남도 장성군 남면 마령리 538번지외9필지","1","2","3","4","5","6","7",NA,NA,NA,"정제수","딸기농축액","홍삼농축액","프락토올리고당","비타민C","천연향료","천연향료",NA,NA,NA,"","국산","국산","","","딸기향","딸기향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호143","품목보고번호2004052803045","업소명농업회사법인 예술자연농식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홍삼사과","분류식품","업체명","농업회사법인 예술자연농식품(주)","소재지","전라남도 장성군 남면 마령리 538번지외9필지","1","2","3","4","5","6","7","8","9",NA,"정제수","사과농축액","홍삼농축액","프락토올리고당","천연향료","비타민C","천연향료","구연산","구연산삼나트륨",NA,"","배합함량 사과 100%, 국산","국산","","사과향","","사과향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호142","품목보고번호19890445014587","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명홍삼상황","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","십장생혼합추출액","고형분","상황벗섯추출액","고형분","6년근홍삼농축액","액상과당","이소말토올리고당","벌꿀","카라멜색소","카르복시메틸셀룰로오스나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","14","구연산","안삭향산나트륨","합성보존료","인삼향",NA,NA,NA,NA,"15",NA,NA,"정제수",NA,NA,NA,NA,NA
