"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고5","비고6","비고7","비고8","비고9","비고10","비고11"
"1","번호2803","품목보고번호1985044900158","업소명삼육식품","품목유형혼합음료","유통/소비기한냉장 2일","제품명아몬드액","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2","3","4","백아몬드페이스트","잔탄검","젤란검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2802","품목보고번호19930461022113","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명아몬드액","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2",NA,NA,"아몬드페이스트","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2801","품목보고번호19810227007235","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 24시간 / 0~10℃ 냉장보관","제품명아몬드액","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2",NA,NA,"땅콩 또는 견과류가공품","정제수",NA,NA,"아몬드베이스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2800","품목보고번호20080395120633","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명아몬드액","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,NA,"땅콩 또는 견과류가공품","정제수",NA,NA,"아몬드페이스트","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2799","품목보고번호20080395120703","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조로부터 3시간","제품명아몬드액","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,NA,"땅콩 또는 견과류가공품","정제수",NA,NA,"아몬드페이스트","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2798","품목보고번호20000441043220","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 24시간 이내 사용","제품명아몬드액","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2",NA,NA,"땅콩 또는 견과류가공품","정제수",NA,NA,"아몬드베이스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2797","품목보고번호19850449001108","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6시간","제품명아몬드액1 (아몬드고형분 2.9%)","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2",NA,NA,"아몬드페이스트","정제수",NA,NA,"볶음백아몬드페이스트(아몬드 100%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2796","품목보고번호19850449001109","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6시간","제품명아몬드액2 (아몬드고형분 3.0%)","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2",NA,NA,"아몬드페이스트","정제수",NA,NA,"볶음백아몬드페이스트(아몬드 100%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2795","품목보고번호19840415001380","업소명(주)정.식품","품목유형혼합음료","유통/소비기한6개월","제품명아몬드유","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","아몬드페이스트","설탕","정제소금","자당지방산에스테르","","","","","5","6","7","8","9","10","11","구연산칼륨","탄산수소나트륨","아몬드향","젤란검","혼합제제","혼합제제","정제수","","","","","비타민E","비타민D3",""
"10","번호2794","품목보고번호19980308080367","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 2일","제품명아몬드유","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2",NA,NA,"볶은아몬드","정제수",NA,NA,"아몬드 고형분 2.1% 이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
