"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고14","비고15","비고16","비고17","번호18","번호19","번호20","번호21","번호22","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고18","비고19","비고20","비고21","비고22","번호23","번호24","성분 및 원료23","성분 및 원료24","비고23","비고24"
"1","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","석류착즙액","구연산","향료제제","향료","구연산삼나트륨","비타민C","아세설팜칼륨","수크랄로스","식용색소적색제40호","","","석류착즙주스","","프로필렌글리콜, 합성향료, 트리아세틴, 천연향료, 젖산","프로필렌글리콜, 주정, 정제수, 합성향료, 천연향료","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","수박농축액","설탕","수크랄로스","아세설팜칼륨","비타민C","혼합제제","혼합제제","식용색소황색제4호","DL-사과산","식용색소적색제40호","혼합제제","","","","","","주정,프로필렌글리콜,합성향료,트리아세틴","주정,정제수,합성향료","","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","12","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","축산물가공식품","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","식용색소황색제4호","식용색소황색제5호","요구르트베이스","","","","","","","프로필렌글리콜,글리세린,합성향료,트리아세틴,초산,천연향료,빙초산,주정,정제수","정제수,아라비아검,D-소르비톨액,지당지방산에스테르,글리세린,정제가공유지,주정","","","12","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","자두농축액","복숭아농축액","설탕","구연산","비타민C","구연산삼나트륨","수크랄로스","아세설팜칼륨","혼합제제","혼합제제","혼합제제","","","","","","","","","프로필렌글리콜, 글리세린, 주정, 합성향료, 트리아세틴, 산도조절제","주정, 프로필렌글리콜, 트리아세틴, 합성향료, 산도조절제","프로필렌글리콜, 트리아세틴, 합성향료, 산도조절제, 천연향료","12","식용색소적색제40호","","13","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","청포도농축액","라임농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","합성향료","식용색소황색제4호","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","고형차","레몬주스농축액","과.채가공품","과.채가공품","설탕","DL-사과산","비타민C","수크랄로스","아세설팜칼륨","혼합제제","천연리치향","캐모마일추출물분말","","리치농축액","타트체리농축액","","","","","","프로필렌글리콜,합성향료,천연향료,주정","","12","천연향료(Elder flowers)","","13","천연향료(Lemon grass)","","14","15","16","17","혼합제제","식용색소적색제40호","식용색소황색제4호","정제수","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","복숭아농축액","홍차추출분말","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","합성향료","혼합제제","천연향료","천연향료","","","","","","","","","주정, 합성향료, 천연향료","천연허브향","천연얼그레이향","12","혼합제제","정제수,규소수지,글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","13","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","백설탕","농축사과과즙","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민B2","비타민B6염산염","타우린","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","사과향",NA,"13","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","정제수","분말결정포도당","L-아르지닌","자일리톨","기타과당","구연산","멜론농축액","천연향료","정제소금","효소처리스테비아","과.채가공품","","무수분말결정포도당","아르기닌, L-아르기닌","","","","칸탈루프멜론농축액","천연메론향","","","몽모란시타트체리농축분말","12","황금혼합추출물","복합황금추출물","13","구연산칼륨","","14","15","16","17","글루콘산아연","비타민 B1염산염(고시형)","비타민 B2(고시형)","니코틴산아미드(고시형)","","","","","18","19","20","21","22","비타민B6염산염","산화마그네슘","수크랄로스","판토텐산칼슘","혼합제제","","","","","비타민B12 혼합제제",NA,NA,NA,NA,NA,NA
"10","업체명","동아오츠카(주)","소재지","경상남도 함안군 칠서면 공단서길 18","1","2","3","4","5","6","7","8","9","10","11","액상과당","백설탕","타우린","소르빈산칼륨","인삼엑기스","L-라이신염산염","이노시톨","니코틴산  아미드","비타민B1질산염","비타민B2인산에스테르나트륨","비타민 B6(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","염산염",NA,"13","카페인",NA,"14","15","16","17","염화나트륨","구연산","수크랄로스","농축사과과즙",NA,NA,NA,NA,"18","19","20","21","22","오렌지향 10404","오렌지향 TIF-16922","파인애플향 10402","파인애플향 TIF-16921","딸기향 10403",NA,NA,NA,NA,NA,"23","24","딸기향 TIF-16923","정제수",NA,NA
