"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호5672","품목보고번호19940474018419","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명개성인삼농협 홍삼필","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","홍삼엑기스","대추농축액","당귀농축액","계피농축액BRIX","액상과당","구연산","구연산삼나트륨","니코틴산아미드","정제염","카라멜색소","황금복합추출물","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5671","품목보고번호202206354951","업소명(주)삼본바이오텍","품목유형혼합음료","유통/소비기한2년","제품명개운","분류식품","업체명","(주)삼본바이오텍","소재지","충청남도 당진시 고대면 금암로 389","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","스피루리나추출물","흰목이버섯추출액","구아검가수분해물(고시형)","프락토올리고당","구연산삼나트륨","미네랄혼합제제","스테아린산마그네슘","안식향산나트륨","식초","결정과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5670","품목보고번호2007052007936","업소명농업회사법인(주)고려홍삼공사","품목유형혼합음료","유통/소비기한2년","제품명개운타","분류식품","업체명","농업회사법인(주)고려홍삼공사","소재지","전라남도 화순군 무리길 1","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"정제수","감식초","액상과당","홍삼추출액","당근추출액","대추추출액","감초추출액","구기자추출액","구연산",NA,NA,NA,NA,"","(초산농도2,6w/v%)","(50%)","(홍삼성분2.5mg/g)","(고형분1%)","(고형분1%)","(고형분1%)","(고형분1%)","",NA,NA,NA,NA
"4","번호5669","품목보고번호201802114381","업소명유성버펄워(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명거뜬해","분류식품","업체명","유성버펄워(주)","소재지","인천광역시 서구 원당대로 865(대산프라자 3층 305호 원당동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복령추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5668","품목보고번호20180504025159","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한24개월","제품명건강 앤 누에","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"누에추출액","Red grape농축액","유청단백분말","블루베리주스농축액","아로니아농축액","혼합제제비타민B",NA,NA,NA,NA,NA,NA,NA,"생누에 추출액(고형분 0.%이상, 국내산)","적포도 농축액(고형분 60%이상, 칠레산)","가수분해 유청단백분말(미국산)","고형분 60%이상, 미국산","고형분 60%이상 (오스트리아,폴란드)","비타민D3 100 S/D 혼합제제",NA,NA,NA,NA,NA,NA,NA
"6","번호5667","품목보고번호19840415001203","업소명(주)정.식품","품목유형혼합음료","유통/소비기한종이팩:6개월  병,캔PET:12개월","제품명건강담은 헛개 진한 꿀물","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"벌꿀","액상과당","타우린","L-아스파라긴","구연산","나트륨","효소처리스테비아","카라멜색소","합성착향료","헛개나무추출액","정제수",NA,NA,"","","","","","구연산나트륨","","","벌꿀향","","",NA,NA
"7","번호5666","품목보고번호20070464034180","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명건강이든 땅콩새싹(카카오)","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,"땅콩어린싹","설탕","코코아분말","기타가공품","천일염","정제수",NA,NA,NA,NA,NA,NA,NA,"새싹땅콩유","유기농 밝은 갈색 설탕","코코아파우더","해조분말","","",NA,NA,NA,NA,NA,NA,NA
"8","번호5665","품목보고번호202100845894","업소명(주)백담","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명건강한 수","분류식품","업체명","(주)백담","소재지","서울특별시 금천구 서부샛길 648(대륭테크노타운6차 5층 501호 가산동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","굴껍질분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5664","품목보고번호201904730287","업소명영농조합법인 더듬이(벅스푸드)","품목유형혼합음료","유통/소비기한24개월","제품명건강한 하루를 위해 홍삼벵이 진액","분류식품","업체명","영농조합법인 더듬이(벅스푸드)","소재지","충청남도 금산군 진산면 사갑길 147-2","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"흰점박이꽃무지유충추출물","홍삼추출액","가시오갈피농축분말","사과농축액","토마토농축액","계피농축액","생강농축액","감초농축액",NA,NA,NA,NA,NA,"고형분 1.0%","고형분 2.52%","60 brix","70 brix","60 brix","60 brix","65 brix","60brix",NA,NA,NA,NA,NA
"10","번호5663","품목보고번호19890445014760","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명건강한오늘 꼬르륵","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","칼라만시농축액","백설탕","덱스트린","레몬농축액","카라기난","구연산","젤란검","로커스트콩검","잔탄검","구연산삼나트륨","레몬향","효소처리스테비아","","원액100%, 베트남산","","말토덱스트린","65brix, 이탈리아산","","","","","","","합성착향료",""
