"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","성분 및 원료7","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","성분 및 원료19","성분 및 원료20","비고19","비고20"
"1","업체명","농업회사법인(주)개성상인-제2공장","소재지","경기도 양주시 은현면 검준2길 382-13(1층일부)","1","2","3","4","5","6","석류과즙","식물혼합추출액","프락토올리고당","카복시메틸셀룰로스나트륨","콜라겐","홍삼농축액","","고형분 2% 이상","","","저분자콜라겐","홍삼성분 70mg/g, 고형분 60% 이상",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","KHP태반추출물","대두추출물분말","올리고당","과일향","구연산","감초엑기스",NA,NA,NA,NA,NA,NA,"7","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","홍삼엑기스","계피농축액","액상과당","정제염","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,"7","대추엑시스",NA,"8","9","10","11","12","구기자농축액","구연산","폴리덱스트로스","카라멜색소","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","정제수","L-아르지닌","구연산","Red grape농축액","레몬농축액","효소처리스테비아","","","함수구연산","적포도주스농축액","","","7","블루베리주스농축액","","8","9","10","11","12","비타민C","타우린","레몬향","블루베리향","기타가공품","","","천연향료","혼합제제","복합황금추출물","13","14","15","16","17","18","글루콘산아연","비타민B1염산염","비타민B2","혼합제제","엽산","니코틴산아미드","","","","비타민B12혼합제제","","",NA,NA,NA,NA,NA,NA
"5","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","정제수","올리고당","L-아르지닌","자일리톨","구연산","블루베리농축액","","","","","무수구연산","","7","합성향료","블루베리향","8","9","10","11","12","수크랄로스","비타민혼합제제","글루콘산마그네슘","글루콘산아연","카페인","","","","","","13",NA,NA,NA,NA,NA,"아셀렌산나트륨",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","정제수","L-아르지닌","구연산","프락토올리고당","레몬농축액","효소처리스테비아","","","","","","","7","향료","콜라향","8","9","10","11","12","오르니틴염산염","석류농축액","블루베리농축액","콜라겐","레몬향","","","","저분자피쉬콜라겐","","13","14","15","16","17","18","자몽종자추출물","엘라스틴가수분해물","히알루론산혼합제제","비타민C","기타가공품","기타가공품","","","","","치커리뿌리추출물","옥수수수염추출분말","19","20","녹차추출물분말가루","비타민미네랄혼합제제","",""
"7","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","정제수","L-아르지닌","구연산","사과농축액","효소처리스테비아","블루베리농축액","","L-아르기닌","","","","","7","포도농축액","적포도농축액","8","9","10","11","12","벌꿀","비타민C","타우린","식품첨가물혼합제제","식품첨가물혼합제제","","","","사과향","포도향","13","14","15","16","17","18","펙틴","글루콘산아연","혼합제제","혼합제제","기타가공품","과.채가공품","","","비타민B복합물","아미노믹스","계피추출물분말","감귤추출물",NA,NA,NA,NA,NA,NA
"8","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","정제수","L-아르지닌","구연산(무수)","블루베리농축액","포도농축액","마카추출분말","","","","미국산","적포도","","7","비타민C","","8","9","10","11","12","효소처리스테비아","헛개나무열매추출분말","비수리추출분말","수크랄로스","글루콘산아연","","","","","","13","14","15","16",NA,NA,"구연산삼나트륨","분말비타민B","타우린","비타민B12, 혼합제제",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6","정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2",NA,NA,NA,NA,"정제수","해양심층수미네랄농축수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
