"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17"
"1","번호5857","품목보고번호20100543066732","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월(PET)","제품명Sunkist 허니유자","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","당시럽","유자청징농축액","사양벌꿀","비타민C","구연산삼나트륨","구연산","합성향료","홍화황색소","효소처리루틴","아세설팜칼륨","수크랄로스","카로틴베이스 35468","","","고형분 45%이상:유자(국산) 50%,설탕:50%","국산","","","","유자향","","","감미료","감미료","혼합제제(정제수,아라비아검,유화제,가공유지,베타카로틴(착색료),비타민C)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5856","품목보고번호20100543066653","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 제조일로부터 12개월","제품명Sunkist 후레쉬 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","당시럽","알로에베라겔즙","설탕","알로에베라겔분말","합성향료","구연산","젖산칼슘","구연산삼나트륨","젤란검","비타민C",NA,NA,"","","태국산,알로에절편45%,알로에즙액54.8%,구연산0.2%","","알로에베라겔파우더[미국산,알로에로환산시 22%{알로에베라겔파우더 50%(200:1), 덱스트린 50%}]","청포도향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5855","품목보고번호20030473071290","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 후레쉬 알로에","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라겔분말","당시럽","치자청색소","홍화황색소","비타민C","젤란검","설탕","구연산삼나트륨","젖산칼슘","구연산","청포도향","청포도향","청포도향","알로에베라겔파우더","","치자청색소-50","홍화황색소-250","","","","","","결정","592743 C","YH-C-801060","MF-061156","14","15","알로에베라겔주스","정제수","알로에베라겔","",NA,NA,NA,NA,NA,NA
"4","번호5854","품목보고번호19980449002681","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명Sunkist 후레쉬 알로에","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"알로에베라겔크러쉬","알로에베라겔건조분말","당시럽","비타민C","젤란검","설탕","구연산삼나트륨","젖산칼슘","구연산","합성향료","정제수",NA,NA,"알로에베라겔","알로에베라겔파우더","","","","","","","","포도향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5853","품목보고번호20020623009834","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명Sunkist 훼미리 매실","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"매실농축액","사과농축액","당시럽","구연산","덱스트린","카라멜색소","매실향","정제수","매실향",NA,NA,NA,NA,"매실과즙농축액","사과클리어농축액","","","말토덱스트린","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5852","품목보고번호20030473071279","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 훼미리 알로에","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라겔분말","당시럽","치자청색소","홍화황색소","비타민C","젤란검","설탕","구연산삼나트륨","젖산칼슘","구연산","청포도향","청포도향","청포도향","알로에베라겔파우더","","치자청색소-50","홍화황색소-250","","","","","","결정","592743 C","YH-C-801060","MF-061156","14","15","알로에베라겔주스","정제수","알로에베라겔","",NA,NA,NA,NA,NA,NA
"7","번호5851","품목보고번호20020623009832","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명Sunkist 훼미리 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라겔분말","당시럽","비타민C","젤란검","설탕","구연산삼나트륨","젖산칼슘","구연산","청포도향","청포도향","청포도향","정제수","알로에베라겔즙","알로에베라겔파우더","","","","","","","","","","","","알로에베라겔",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5850","품목보고번호20100543066917","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 12개월","제품명Sunkist 훼미리 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"정제수","당시럽","알로에베라겔즙","설탕","과.채가공품","합성향료","구연산","젖산칼슘","구연산삼나트륨","젤란검","비타민C",NA,NA,"","","태국산,알로에절편45%,알로에즙액54.8%,구연산0.2%","","알로에베라겔파우더[미국산,알로에로환산시 22%{알로에베라겔파우더 50%(200:1), 덱스트린 50%}]","청포도향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5849","품목보고번호20070443110614","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명THE PLAB 프로틴 플러스 초코맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","기타가공품","기타가공품","당류가공품","분유류","코코아분말","L-카르니틴","탄산수소나트륨","정제소금","자당지방산에스테르","자당지방산에스테르","젤란검","아세설팜칼륨","수크랄로스","분리유단백분말","농축유단백","액상알룰로스","탈지분유","코코아파우더 D-","","","","P-","S-","","","","14","15","혼합제제","혼합제제","초코향 F-","초코향 SK-","16","17","혼합제제","정제수","초코향 BJ-",""
"10","번호5848","품목보고번호2018062221576","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한24개월","제품명THE 당 밸런스","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","난소화성말토덱스트린(고시형)","발효홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"염지하수:용암해수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
