"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호5422","품목보고번호20100543066350","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET 355ml : 제조일로부터 6개월, PET 0.5L,1L : 제조일로부터 9개월","제품명글라소 비타민워터 essential","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","결정과당","백설탕","혼합제제","구연산","비타민C","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5421","품목보고번호20100543066349","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 6개월","제품명글라소 비타민워터 multi-v","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7",NA,"정제수","당시럽","과당","구연산","혼합제제","비타민C","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5420","품목보고번호19800375002182","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관 또는 병 포장제품 : 6개월, 합성수지제 포장제품 : 6개월","제품명글라소 비타민워터 multi-v","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6",NA,NA,"정제수","과당","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,"","결정과당","(67%고형분)","글라소 비타민워터 멀티-브이 원제 제1A부 (의왕시청 품목보고)","비타민&미네랄 프리믹스 FT101914AP (수입식품)","레몬향키(수입식품)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5419","품목보고번호20100543066353","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET : 제조일로부터 8개월, CAN : 제조일로부터 12개월","제품명글라소 비타민워터 power-c","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","당시럽","과당","합성향료","천연향료","비타민C","구연산","혼합제제","","","","","드래곤후르트향","","","자주색고구마색소, 정제수, 설탕, 당근추출물","9","10","혼합제제","타우린","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5418","품목보고번호19800375002149","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관 또는 병 포장제품 : 9개월, 합성수지제 포장제품 : 8개월","제품명글라소 비타민워터 power-c","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","정제수","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","타우린","식품첨가물혼합제제","식품첨가물혼합제제","과당","","당시럽(67% 고형분)","글라소 비타민워터 파워-씨 원제 제1A부(의왕시청 품목보고_비타민C,구연산)","비타민&미네랄 프리믹스FT071887AP(L-젖산마그네슘,젖산칼슘,니코틴산아미드,제일인산칼륨,판토텐산칼슘,비타민B6염산염,만니톨,비타민B12)","타우린","안토레드(자색고구마색소,정제수,설탕,당근추출물,프로필렌글리콜,구연산)","드래곤후르트향키[주정, 정제수, 천연향료(드래곤후르트향), 글리세린, 드래곤후르트추출물]","(결정)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5417","품목보고번호1997061408379","업소명코카콜라음료주식회사","품목유형혼합음료","유통/소비기한합성수지제 포장제품: 제조일로부터 8개월, 관 포장제품: 제조일로부터 12개월","제품명글라소 비타민워터 power-c","분류식품","업체명","코카콜라음료주식회사","소재지","경상남도 양산시 충렬로 269(유산동)","1","2","3","4","5","6","7","8","정제수","과당","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","타우린","식품첨가물혼합제제","식품첨가물혼합제제","","결정과당","","글라소 비타민워터 파워-씨 원제 제1A부(의왕시청 품목보고)","비타민&미네랄 프리믹스 FT071887AP(수입식품)","","안토레드(수입식품)","드래곤후르트향키(수입식품)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5416","품목보고번호19980449002696","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 8개월까지","제품명글라소 비타민워터 power-c","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","과당","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","타우린","식품첨가물혼합제제","식품첨가물혼합제제","정제수","","","글라소 비타민워터 파워-씨 원제 제1A부","비타민&미네랄 프리믹스 FT071887AP","","안토레드","드래곤후르트향키","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5415","품목보고번호20020492106551","업소명주식회사 한국음료","품목유형혼합음료","유통/소비기한8개월","제품명글라소 비타민워터 power-c","분류식품","업체명","주식회사 한국음료","소재지","전라북도 남원시 덕과면 덕과남길 115","1","2","3","4","5","6","7","8","결정과당","당시럽","식품첨가물혼합제제","식품첨가물혼합제제","식품첨가물혼합제제","타우린","식품첨가물","정제수","","","글라소 비타민워터 파워-씨 원제 제1A부(비타민C,구연산)","비타민&미네랄 프리믹스 [니코틴산아미드, 판토텐산칼슘, 비타민B6염산염, 젖산칼슘, L-젖산마그네슘, 제일인산칼륨, 만니톨, 비타민B12]","안토레드(자주색고구마색소, 정제수, 설탕, 당근추출물, 프로필렌글리콜, 구연산)","","드래곤후르트향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5414","품목보고번호19800375002154","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명글라소 비타민워터 power-c(Glaceau Vitaminwater power-c) - 수출용","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","6","7","8","정제수","결정과당","백설탕","소","비타민워터","파워-씨","미네랄비타민프리믹스","타우린",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","안토레드","드래곤후르트향키",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5413","품목보고번호19860443015359","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명글로시","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","정제수","콜라겐","자일리톨","에리스리톨","복숭아향","복숭아농축액","레몬농축액","구연산(무수)","","베리솔","","","합성향료","","","","9","10","황금혼합추출물","DL-사과산","복합황금추출물","사과산","11","12","13","14","15","16","17","18","19","20","21","효소처리스테비아","우유단백질","엘라스틴가수분해물","효모","병풀잎추출물분말","비타민E혼합제제","글루콘산아연","비타민C","돼지태반추출분말","알로에베라겔추출분말","비타민A혼합분말","","밀크세라마이드, 우유단백농축","","효모분말, 글루타치온","","","","","발효돈태반추출물","알로에베라겔200:1분말",""
