"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호4344","품목보고번호20080435168812","업소명(주)신영에이치에스","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명명작자몽","분류식품","업체명","(주)신영에이치에스","소재지","충청북도 제천시 바이오밸리로 67(왕암동)","1","2","3","4","5","6","7","정제수","액상과당","레드자몽농축액","백설탕","구연산","자몽향","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4343","품목보고번호19990555185128","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명명작흑염소 진액","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3",NA,NA,NA,NA,"흑염소혼합추출액","올리고당","과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4342","품목보고번호2010048103022","업소명주식회사제이크린베리너리","품목유형혼합음료","유통/소비기한1년6개월","제품명명장명품 황칠 파낙스","분류식품","업체명","주식회사제이크린베리너리","소재지","경기도 양평군 지평면 월산길 249-12","1","2","3","4","5","6","7","황칠추출물","기타","출물","겨우살이","구기자나무열매","오미자","마가목",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","산수유","복분자즙","각시둥굴레","계피","감초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4341","품목보고번호2008056020042","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명명품 감 발효초","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","감식초","이소말토올리고당","액상과당","사과농축액","구연산","비타민C","효소처리스테비아","국산","","고과당","72Brix 국산","","","","8",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4340","품목보고번호20110149027193","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명명품 석류콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","65 brix","","","","","","","8","9",NA,NA,NA,"염화칼륨","히알루론산",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4339","품목보고번호2004046707133","업소명주식회사 성윤에프엔지(F&G)","품목유형혼합음료","유통/소비기한2년","제품명명품장뇌산삼","분류식품","업체명","주식회사 성윤에프엔지(F&G)","소재지","충청남도 금산군 금산읍 진악로 909","1","2","3","4","5","6","7","장뇌산삼혼합추출액","액상과당","올리고당","안식향산나트륨","장뇌산삼혼합추출액","장뇌삼","참당귀",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","칡뿌리","천궁","사철쑥","귤나무열매껍질","대추",NA,NA,NA,NA,NA,"13","14","15","건지황","계피","영지버섯",NA,NA,NA
"7","번호4338","품목보고번호2002056303832","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터60일","제품명명품전통식혜","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","쌀","겉보리엿기름","설탕","DL-사과산","데스판-100","가드엠53-(신","정재수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4337","품목보고번호2004046707132","업소명주식회사 성윤에프엔지(F&G)","품목유형혼합음료","유통/소비기한2년","제품명명품천마골드","분류식품","업체명","주식회사 성윤에프엔지(F&G)","소재지","충청남도 금산군 금산읍 진악로 909","1","2","3","4","5","6","7","천마추출액","두지","귤나무열매껍질","칡뿌리","오가피","포공영","익모초",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","영지버섯","양파","감초","올리고당","정제수",NA,NA,NA,NA,NA,"13",NA,NA,"안식향산나트륨",NA,NA,NA,NA,NA
"9","번호4336","품목보고번호201304671122","업소명농업법인회사한국벤처영농(주)","품목유형혼합음료","유통/소비기한24개월","제품명명품헛개진액100","분류식품","업체명","농업법인회사한국벤처영농(주)","소재지","충청남도 금산군 제원면 구억리 194","1","2",NA,NA,NA,NA,NA,"헛개나무열매추출액","헛개나무추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4335","품목보고번호19890401002238","업소명주식회사백천바이오텍(Biotech)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명명품흑마늘진액","분류식품","업체명","주식회사백천바이오텍(Biotech)","소재지","강원도 양구군 양구읍 학안로 78-12","1","2","3","4","5","6","7","정제수","액상과당","혼합농축액","흑마늘농축액","혼합제제류","안식향산나트륨","구연산(무수)","","","고형분50%이상","흑마늘성분50mg/g이상,고형분60%이상)국산","흑마늘향G-15028-조은푸드텍","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
