"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호5512","품목보고번호201503329294","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한상온(45일), 냉장(12개월), 냉동(12개월)","제품명궁중 단호박식혜","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8","9","10","멥쌀","엿기름","단호박퓌레","생강","설탕","물엿","혼합제제","DL-사과산","황금복합추출물","정제수","국산","엿기름추출액(20%)국산","수입산","생강추출액(고형분01%이상)국산","","","가드엠-53(신)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5511","품목보고번호19890445014890","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명궁중 산삼배양근","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","산삼배양근추출액","정제수","기타과당","카복시메틸셀룰로스나트륨","구연산","식물혼합농축액","사양벌꿀","카라멜색소 Ⅳ","영지농축액","안식향산나트륨","산삼배양근혼합추출액 (고형분 2.0%이상","","","","","","","","","","11","12","효소처리스테비아","합성향료","","허브향",NA,NA,NA
"3","번호5510","품목보고번호2015033292917","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한냉장(12개월), 냉동(12개월)","제품명궁중 연잎식혜","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8","9",NA,"연잎추출액","백설탕","엿기름","멥쌀","혼합제제","기타가공품","비타민 C(고시형)","생강","정제수",NA,"국내산(고형분2%)","","국내산(엿기름추출액20%)","국내산","주정,글리세린,지방산에스테르,？-폴리리신,젖산","복합황금추출물","","생강추출액0.1%이상 (국산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5509","품목보고번호201503329299","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한냉장(6개월)","제품명궁중 전통식혜F","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8",NA,NA,"멥쌀","엿기름","설탕","비타민C","황금복합추출물","혼합제제","생강","정제수",NA,NA,"[유기농]","[국산]","[유기농]","","","[가드엠-53(신)]","[생강추출액(고형분0.1%이상)]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5508","품목보고번호201503329297","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한45일(상온),","제품명궁중 전통식혜N","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8",NA,NA,"멥쌀","백설탕","엿기름","DL-사과산","안식향산나트륨","정제수","혼합제제","생강추출액",NA,NA,"","","(엿기름추출액(20%))","","","","가드엠-53(신_","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5507","품목보고번호2002056303821","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명궁중가평식혜F","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7",NA,NA,NA,"멥쌀","겉보리엿기름","설탕","DL-사과산","데스판-100","가드엠53-(신","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5506","품목보고번호2002056303841","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명궁중단호박식혜","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7",NA,NA,NA,"호박퓌레","멥쌀","엿기름","설탕","자몽종자추출물","맥아물엿","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5505","품목보고번호2002056303826","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 PP,PS,PC 3개월, PET 1년","제품명궁중명가 수정과","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","8","9",NA,"계피추출액","흑당","백설탕","생강EX","곶감EX","카라멜색소","계피향","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5504","품목보고번호201503329293","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한상온(3개월), 냉장(12개월), 냉동(12개월)","제품명궁중명가 수정과","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8",NA,NA,"계피","갈색설탕","백설탕","생강","곶감","카라멜색소","계피향","정제수",NA,NA,"계피추출액(고형분0.1%이상)수입","","","생강추출액 (고형분0.1%이상)국산","곶감추출액 (고형분0.1%이상)국산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5503","품목보고번호19890445014825","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명궁중발효홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","홍삼혼합추출액","발효홍삼농축액","기타과당","이소말토올리고당","사양벌꿀","효소처리스테비아","카라멜색소 Ⅳ","카복시메틸셀룰로스나트륨","구연산","안식향산나트륨","","","고과당","헬스리고","","스테비텐 후레쉬","카라멜색소B.A","","","","11","12","합성향료","합성향료","인삼향 15249","인삼향 SK-20-15706","13","정제수",""
