"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호4922","품목보고번호1978061400136","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명델몬트파인애플드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11","12","파인애플농축액","기타과당","효소처리스테비아","구연산(함수)","펙틴","비타민C","구연산삼나트륨","혼합제제","혼합제제","향료1","향료2","정제수","Brix 60.6","","","","","","","산옐로우 No.2","베타카로텐-엘","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4921","품목보고번호19780614001438","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명델몬트포도드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"Red grape청징농축액","기타과당","수크랄로스","구연산","구연산삼나트륨","혼합제제","포도과피색소","합성향료","합성향료","정제수",NA,NA,"적포도청징농축액","","","","","","","포도향1","포도향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4920","품목보고번호19780368002596","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명델몬트포도드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10",NA,NA,"Red grape청징농축액","기타과당","수크랄로스","구연산","구연산삼나트륨","혼합제제","포도과피색소","합성향료","합성향료","정제수",NA,NA,"적포도청징농축액","","","","","","","포도향1","포도향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4919","품목보고번호2019057504283","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명델몬트허니레몬&배","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11",NA,"배농축액","레몬농축액","설탕","벌꿀","구연산","구연산삼나트륨","홍화황색소","효소처리루틴","레몬향","레몬향","정제수",NA,"","","","","","","","","레몬향1","레몬향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4918","품목보고번호20170614111276","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명델플레쉬 타트체리 콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"체리농축액","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,NA,NA,NA,"타트체리100%(고형분40%이상)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4917","품목보고번호19970464172529","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명도구리 파워 비타민","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","분말결정포도당","이노시톨","비타민C","비타민B2인산에스테르나트륨","비타민B6염산염","구연산","구연산삼나트륨","DL-사과산","타우린","L-주석산","정제소금","","","","","","","","","","","","","13","14","15","16","17","18","효소처리스테비아","탄산수소나트륨","합성향료","합성향료","합성향료","정제수","","","애플후레바","파인애플향","파인애플후레바",""
"7","번호4916","품목보고번호19880442004295","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한12개월","제품명도라지","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","10","11",NA,"약도라지농축액","더덕농축액","청도감추출농축액","프로폴리스","홍삼농축액","대추농축액","프락토올리고당 10","레몬즙","페퍼민트추출분말","잔탄검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4915","품목보고번호19990555093414","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명도라지 담은 생강쌍화","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","쌍화농축액","대추농축액","생강농축액","도라지농축액","향료","구연산","카라멜색소","구연산삼나트륨","잔탄검","생강추출분말","","고과당","","","","","생강향","","","","","","13",NA,NA,NA,NA,NA,"혼합허브추출물",NA,NA,NA,NA,NA,"복합허브추출물",NA,NA,NA,NA,NA
"9","번호4914","품목보고번호2013027530934","업소명주식회사 황초원","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명도라지 오미수","분류식품","업체명","주식회사 황초원","소재지","경기도 성남시 중원구 갈마치로 314(성남 센트럴비즈타워 1 922호 일부호 상대원동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"오미자청","도라지농축액","오미자열매","올리고당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4913","품목보고번호19970464172280","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명도라지담은쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,"도라지농축액","쌍화농축액","액상과당","갈색설탕","구연산","구연산삼나트륨","카라멜색소","잔탄검","홍삼농축액","도라지","정제수",NA,"고형분50%","고형분50%","","","","","","","6년근","도라지향(합성향료)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
