"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호...48","성분 및 원료","비고"
"1","번호4732","품목보고번호198506140552732","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명레드체리에이드","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","설탕","과.채가공품","구연산","식품첨가물혼합제제","구연산삼나트륨","식품첨가물혼합제제","수크랄로스","효소처리루틴","","","","체리농축액","","체리향 엠에프-070464","","레드파우다-엘씨","","효소처리루틴-엠",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4731","품목보고번호19860443015525","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레디맨 드링크","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7",NA,NA,NA,"정제수","기타가공품","배농축액","벌꿀","대추농축액","감초농축액","황금혼합추출물",NA,NA,NA,"","산수유오미자추출분말","","아카시아꿀","","","복？황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4730","품목보고번호2002043905026","업소명보은제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명레디조","분류식품","업체명","보은제약주식회사","소재지","충청북도 보은군 산외면 내북산외로 684","1","2","3","4","5","6","7","8","9","10","혼합추출물","액상과당","프락토올리고당","비타민 B₁염산염","비타민B6염산염","구연산","니코틴산아미드","스테비올배당체","박하에센스","콜라에센스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","안식향산나트륨","정제수",NA,NA,NA,NA,NA
"4","번호4729","품목보고번호2002043905028","업소명보은제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명레디조 골드","분류식품","업체명","보은제약주식회사","소재지","충청북도 보은군 산외면 내북산외로 684","1","2","3","4","5","6","7","8","9","10","혼합추출물","액상과당","프락토올리고당","비타민B1염산염","비타민B6염산염","구연산","니코틴산아미드","스테비올배당체","박하에센스","콜라에센스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","안식향산나트륨","정제수",NA,NA,NA,NA,NA
"5","번호4728","품목보고번호2002043905027","업소명보은제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명레디파워(Read power)","분류식품","업체명","보은제약주식회사","소재지","충청북도 보은군 산외면 내북산외로 684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","혼합추출물",NA
"6","번호4727","품목보고번호198804420041735","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한12개월","제품명레몬 콤부차","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","10","프락토올리고당","발효식초","기타가공품","결정과당","덱스트린","레몬농축액","석류농축액","천연향료(Lemon)","비타민C","효소처리스테비아","","자연발효 사과식초","콤부차발효즙","","난소화성말토덱스트린,화이바솔-2L","","","천연레몬라임향","","","11",NA,"정제수",NA,"",NA,NA,NA,NA
"7","번호4726","품목보고번호20130368349302","업소명주식회사소울네이처푸드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명레몬 혼합음료","분류식품","업체명","주식회사소울네이처푸드","소재지","충청남도 천안시 동남구 성남면 석곡2길 80(1동, 2동, 3동)","1","2","3","4","5","6","7","8","9",NA,"정제수","프락토올리고당","설탕","레몬농축액","레몬에센스","구연산","자몽종자추출물","기타가공품","아미노산혼합제제",NA,"","","","","","","","피쉬콜라겐","L-페닐알라닌,,L-로이신,L-라이신염산염,L-메티오닌,팔라티노스,L-히스티딘,L-이소로이신,L-발린,L-트레오닌,L-트립토판",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4725","품목보고번호19970570162308","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월 까지","제품명레몬1000C","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","레몬농축액","정제수","설탕","비타민 C(고시형)","사양벌꿀","레몬향","레몬향","구연산삼나트륨","홍화황색소","시트러스향","레몬청징농축액","","","","","NO 1","NO 2","","분말산옐로우NO 2","","11","12","구연산","효소처리루틴","함수","효소처리스테비아",NA,NA,NA
"9","번호4724","품목보고번호19930571069402","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명레몬그라스티","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","레몬그라스추출물분말","덱스트린","설탕","구연산","구연산삼나트륨","비타민C","맥아추출물분말","레몬향","식품첨가물혼합제제","정제수","","","","함수","","","","","레몬그라스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4723","품목보고번호201902802554","업소명(주)케이푸드코리아코퍼레이션","품목유형혼합음료","유통/소비기한제조일로부터 1개월","제품명레몬그라스티베이스","분류식품","업체명","(주)케이푸드코리아코퍼레이션","소재지","경기도 성남시 중원구 순환로 210(주이노트리 3층 304,305호 상대원동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"레몬그라스줄기","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
