"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고10","비고11","비고12","비고13","비고14"
"1","번호5352","품목보고번호20110084489117","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명꽃샘","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","정제수","국화추출액","프락토올리고당","사과농축액","국화발효추출액","레몬과즙","비타민C","구연산","국화향","","","","사과농축과즙액","국화추출발효액","","","함수구연산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5351","품목보고번호2015049405317","업소명조움농산","품목유형혼합음료","유통/소비기한1개월","제품명꽃피는산골 전통 얼음동동수정과","분류식품","업체명","조움농산","소재지","전라북도 완주군 소양면 송광수만로 227-1","1","2","3","4","5",NA,NA,NA,NA,"생강","기타설탕","건대추","계피","정제수",NA,NA,NA,NA,"국산","유기농","국산","베트남산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5350","품목보고번호2015049405310","업소명조움농산","품목유형혼합음료","유통/소비기한30일(냉동보관시 12개월)","제품명꽃피는산골전통얼음동동식헤","분류식품","업체명","조움농산","소재지","전라북도 완주군 소양면 송광수만로 227-1","1","2","3","4",NA,NA,NA,NA,NA,"맥아","쌀","정제수","설탕",NA,NA,NA,NA,NA,"엿기름(국내산)","국내산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5349","품목보고번호20090435035196","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명꽐라매직","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5",NA,NA,NA,NA,"필리핀레몬열매원액","레몬농축액","강황액","식물혼합추출액","수크랄로스",NA,NA,NA,NA,"깔라만시원액","","","식물혼합추출액ARI1000","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5348","품목보고번호2008033218042","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 6개월","제품명꾸이식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5347","품목보고번호20110618121289","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명꾸지뽕잎차","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6",NA,NA,NA,"정제수","현미향","꾸지뽕나무잎","혼합허브추출물","비타민C","탄산수소나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5346","품목보고번호19960458039487","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명꿀 먹은 초록매실","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","매실농축액","사과농축액","액상과당","사양벌꿀","글리신","덱스트린","구연산","비타민C","카라멜색소","66Brix","70Brix","","","","","","","","10","11","12","13","14","혼합제제","혼합제제","혼합제제","정제수","스테비올배당체","매실향 SC10-1125","매실향 K-141180","허니후레바 SJ-A","",""
"8","번호5345","품목보고번호19960458039488","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명꿀 먹은 헛개","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","백설탕","사양벌꿀","사과농축액","헛개나무열매추출농축액","혼합제제류","혼합제제류","혼합제제류","구연산","카라기난","","","70Brix, 칠레산","고형분 52%이상, 중국산","헛개향 SJ-A","허니후레바 SJ-A","허니후레바 SC-20372","","","10","11","12","13",NA,"카라멜색소","시클로덱스트린","스테비올배당체","정제수",NA,"","","","",NA
"9","번호5344","품목보고번호2021060692847","업소명주식회사 청담","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명꿀 배 도라지 콜라겐 스틱","분류식품","업체명","주식회사 청담","소재지","경상남도 양산시 어실로 353-3(어곡동)","1","2","3","4","5","6","7","8","9","배농축액","도라지농축액","사양벌꿀","생선콜라겐펩타이드분말","말토덱스트린혼합제제","구연산","비타민C","액상과당","기타가공품","(국내산)","(국내산)","(국내산)","(중국산)","","","","","푸드겔(로커스트콩검,잔탄검,포도당,한천,타마린드검)","10",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA
"10","번호5343","품목보고번호19840415001355","업소명(주)정.식품","품목유형혼합음료","유통/소비기한실온 12개월","제품명꿀담은 거제유자","분류식품","업체명","(주)정.식품","소재지","충청북도 청주시 흥덕구 산단로 124(송정동)","1","2","3","4","5","6","7","8","9","과.채가공품류","백설탕","덱스트린","사양벌꿀","비타민C","산도조절제","산도조절제","혼합제제","홍화황색소","유자청징농축액(51brix,유자5.3%)","","덱스트린(DE12)","","영양강화제","함수구연산","구연산삼나트륨","화이트클라우디","착색료","10","11",NA,NA,NA,"천연향료","정제수",NA,NA,NA,"천연유자향","",NA,NA,NA
