"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","기타과당","생선콜라겐","자일리톨","복숭아농축액","구연산","합성향료","합성향료","과.채가공품류","파인애플농축액","타우린","소르빈산칼륨","안식향산나트륨","알로에베라겔농축분말","녹차추출물분말가루","비타민혼합제제","글루콘산아연","","","","","","","복숭아향","파인애플향","베리주스","","","","","","","",""
"2","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"정제수","필리핀레몬열매과즙","기타과당","레몬농축액","난소화성말토덱스트린(고시형)","파인애플농축액","소르빈산칼륨","안식향산나트륨","녹차추출물분말가루","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,"정제수","기타과당","시클로덱스트린시럽","구연산","합성향료","타우린","과라나추출물분말","소르빈산칼륨","안식향산나트륨","녹차추출물분말가루","비타민B6염산염","비타민B1염산염","비타민B2","아미노산혼합제제","판토텐산칼슘",NA,NA,"","","","","드링크향","","","","","","","","","","",NA,NA
"4","업체명","(주)백담","소재지","서울특별시 금천구 서부샛길 648(대륭테크노타운6차 5층 501호 가산동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","패각분말","필리핀레몬열매과즙","비타민D3 분말","스테비아추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"알로에분말","알로에베라잎(껍질제외)","절편","설탕","알로에과즙","벌꿀","젖산칼슘","구연산","천연포도향(J041030)","구연산삼나트륨","젤란검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"복숭아다이스","망고농축퓌레","액상과당","구연산","비타민C","수크랄로스","잔탄검","화이트크라우디","식용색소황색제4호","식용색소황색제5호","착향료(망고향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"오렌지쌕","오렌지농축액","액상과당","구연산","비타민C","수크랄로스","잔탄검","정제수","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"파인애플다이스","파인애플농축액","액상과당","구연산","비타민C","수크랄로스","잔탄검","화이트크라우디","식용색소황색제4호","식용색소황색제5호","착향료(파인애플향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
