"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호5652","품목보고번호19950611073154","업소명동밀양농협가공사업소","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명게농식혜","분류식품","업체명","동밀양농협가공사업소","소재지","경상남도 밀양시 단장면 표충로 89-62","1","2","3","4","5","6","7","8","9","10","멥쌀","엿기름","백설탕","물엿","DL-사과산","안식향산나트륨","α-아밀라아제","셀룰라아제","혼합제제","정제수","","겉보리엿기름","","맥아물엿","","","","","가드엠53-(신)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5651","품목보고번호201304950331","업소명(주)피엘","품목유형혼합음료","유통/소비기한12개월","제품명게르마늄산소수","분류식품","업체명","(주)피엘","소재지","전라북도 진안군 동향면 진성로 2144","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"정수된물","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5650","품목보고번호20070443110188","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월 실온","제품명게토레이 레몬향","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","게토레이원액","Beverage Base 07037*18*01Q","7.143BDD","함수결정포도당","구연산","DL-사과산","비타민C","화이트클라우디","SK-31447","홍화황색소","","","","","","","","SK-31447","","KD","11","12","13","14","15","16","17","18","19","20","21","레몬향","IFF 73503198","SENSIENT 407968","FIRMENICH 583915T","정제수","천연색소(YJ-183 or Y","홍화색소","(PD-1538-F)","백설탕","레몬향","레몬향","레몬향1","","","","","","","","","레몬향2","레몬향3"
"4","번호5649","품목보고번호20000360372151","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월","제품명게토레이 레몬향","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","10","백설탕","DL-사과산","비타민C","정제수","혼합제제류","혼합제제류","분말결정포도당","합성착향료","홍화황색소","구연산(무수)","","","","","Beverage Base(07037*18*01Q)","화이트크라우디","함수결정포도당","레몬향1","","","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"합성착향료","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향2","레몬향3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5648","품목보고번호20070443110187","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월 실온","제품명게토레이 블루볼트","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9",NA,"게토레이원액A","게토레이원액B","게토레이원액C","게토레이원액D","백설탕","함수결정포도당","구연산","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5647","품목보고번호20070443110186","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월 실온","제품명게토레이 화이트스플래시","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8",NA,NA,"게토레이원액A","게토레이원액B","게토레이원액C","백설탕","함수결정포도당","구연산","인산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5646","품목보고번호19780614001383","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔 -12개월, 펫-12개월","제품명게토레이그린애플향","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","혼합제제","혼합제제","혼합제제","혼합제제","백설탕","분말결정포도당","구연산(무수)","DL-사과산","식용색소황색제4호","식용색소청색제1호","게토레이원액A","게토레이원액B","게토레이원액C","게토레이원액D","","","","","","","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5645","품목보고번호19780614001210","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔: 24개월, PET: 12개월","제품명게토레이레몬향","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","기타가공품","백설탕","함수결정포도당","구연산(무수)","DL-사과산","비타민C","화이트클라우디","홍화황색소KD","정제수","레몬향","게토레이원액","","","","","","","","","레몬향1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5644","품목보고번호19780368002206","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔-제조일로부터 24개월까지, 펫(PET)-제조일로부터 12개월까지","제품명게토레이레몬향","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","백설탕","함수결정포도당","구연산(무수)","DL-사과산","비타민C","화이트클라우디","홍화색소KD","정제수","기타가공품","레몬향","","","","","","","","","게토레이원액","레몬향1","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향","레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향2","레몬향3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5643","품목보고번호1993024205340","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔 : 제조일로부터 24개월, PET : 제조일로부터 12개월","제품명게토레이레몬향","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9","10","기타가공품","백설탕","분말결정포도당","구연산","DL-사과산","비타민C","혼합제제","홍화황색소","합성착향료","합성착향료","게토레이원액","","","","","","화이트크라우디","","레몬향1","레몬향2","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"레몬향3","",NA,NA,NA,NA,NA,NA,NA,NA,NA
