"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18"
"1","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","과.채가공품","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","자두향","자두향","자두향","식용색소황색제4호","식용색소적색제40호","안식향산나트륨","혼합제제","혼합제제","정제수","자두퓨레","나타드코코","","","","","","","","","","","","폼크린200","화이트크라우디제이 07005","",NA,NA,NA,NA,NA,NA
"2","업체명","포스퀘어 커피 컴퍼니","소재지","경기도 고양시 일산동구 사리현로 22(2층 전체호 식사동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상차","정제수","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"문경오미자 자일로스 청 프리미엄","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","업체명","(주)일동플러스팜","소재지","대구광역시 달서구 성서서로48길 6(지상1층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","액상과당","배과즙","벌꿀시럽","타우린","L-아스파라긴","니코틴산아미드","구연산","백작약추출액","숙지황등혼합농축액","황기농축액","감초엑기스","생강시럽","대추","타히보추출액","영지버섯추출농축액","헛개나무추출액","","","","","","","","","","","","","","저분자후코이단","영지버섯발효","헛개나무발효","17","18","헛개나무농축액","정제수","",""
"4","업체명","주식회사 프랍스","소재지","서울특별시 강남구 언주로85길 32(역삼역센트럴푸르지오 B115호 역삼동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","알로에베라겔분말","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"코코넛젤리","백설탕","알로에베라파우더","젤란검","구연산삼나트륨","구연산","비타민C","비타민B1염산염","젖산칼슘","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,"혼합음료","땅콩 또는 견과류가공품","글리세린지방산에스테르","고올레산해바라기유","탄산칼슘혼합제제","정제소금","셀룰로오스혼합제제","합성향료","합성향료","카라기난","정제수",NA,NA,NA,NA,NA,"혼합견과액","오트추출물","","","","","","너트향","너트믹스향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"혼합음료","백설탕","땅콩 또는 견과류가공품","글리세린지방산에스테르","고올레산해바라기유","탄산칼슘혼합제제","정제소금","셀룰로오스혼합제제","합성향료","합성향료","카라기난","정제수",NA,NA,NA,NA,"혼합견과액","","오트추출물","","","","","","너트향","너트믹스향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,"곡류가공품","백설탕","고올레산해바라기유","탄산칼슘혼합제제","레시틴","천일염","합성향료","셀룰로오스혼합제제","카라기난","정제수",NA,NA,NA,NA,NA,NA,"완두단백분말","","","","","","옥수수향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"곡류가공품","설탕","고올레산해바라기유","코코아분말","초콜릿","탄산칼슘혼합제제","레시틴","합성향료","천일염","합성향료","셀룰로오스혼합제제","카라기난","정제수",NA,NA,NA,"완두단백분말","","","네덜란드산","리얼 카카오 후레이크","","","초코렛향","","마카다미아향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
