"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17","번호18","번호19","번호20","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고18","비고19","비고20"
"1","번호5032","품목보고번호2004036419913","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명대고LCM","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","3","4","5","산화칼슘","아셀렌산나트륨","황산아연","황산마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5031","품목보고번호2008033218037","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명대단한 식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,"쌀","설탕","맥아농축액",NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5030","품목보고번호2013062801970","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명대명 제주용암수","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5029","품목보고번호19890445014485","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 가시오가피","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","가시오가피엑스","대추엑기스","천궁엑기스","감초엑기스","액상과당",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","13","14","15","효소처리스테비아","구연산","구연산삼나트륨","제재염","니코틴산아미드","카라멜색소","황금복합추출물","허벌에센스","허니향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5028","품목보고번호19890445014483","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 꿀복분자","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","복분자농축액","농축사과과즙","벌꿀","액상과당","구연산",NA,NA,NA,NA,NA,"6","7","8","9","10","11",NA,NA,NA,NA,"구연산삼나트륨","카라멜색소","레드색소","황금복합추출물","복분자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5027","품목보고번호19890445014476","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 넥스트","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","오리나무농축액","갈화엑스","액상과당","L-아스파라긴","타우린",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","13","14","15","효소처리스테비아","구연산","구연산나틈륨","비타민B1염산염","비타민B2","비타민B6염산염","카라멜색소","복합호아금추출물","오노솔","허벌엣센스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5026","품목보고번호19890445014471","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 녹용골드-에프(F)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","녹용혼합추출액","액상과당","대추엑기스","천궁엑스","감초엑스",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","13","14",NA,"구연산","구연산삼나트륨","제재염","카라멜색소","효소처리스테비아","허브향","황금복합추출물","모노솔","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5025","품목보고번호19890445014478","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 로얄골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","로얄젤리추출물","액상과당","농축사과과즙","구연산","벌꿀",NA,NA,NA,NA,NA,"6","7","8","9","10","11",NA,NA,NA,NA,"구연산삼나트륨","효소처리스테비아","카라멜색소","황금복합추출물","허니향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5024","품목보고번호19890445014468","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한1년","제품명대웅 비타C플러스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","비타민C","농축사과과즙","액상과당","구연산","파인애플향",NA,NA,NA,NA,NA,"6","7","8","9","10",NA,NA,NA,NA,NA,"효소처리스테비아","니코틴산아미드","구연산삼나트륨","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5023","품목보고번호19890445014500","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명대웅 송녹천골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","새송이버섯농축액","녹용추출","쌍화농축액","헛개나무열매농축액","천궁농축액",NA,NA,NA,NA,NA,"6","7","8","9","10","11","12","13","14","15","칡꽃농축액","영지농축액","액상과당","구연산(함수)","덱스트린","비타민B2","비타민B6염산염","L-아스파라긴","타우린","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17","황금복합추출물","허브향",NA,NA,"18","19","20","모노","술","정제수",NA,NA,NA
