"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","성분 및 원료5","성분 및 원료6","비고5","비고6","번호7","성분 및 원료7","비고7","번호8","번호9","번호10","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호5372","품목보고번호200805432323","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명김유조안동참마식혜","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","엿기름","설탕","마분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5371","품목보고번호200805432328","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명김유조안동찹쌀식혜","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","정제수","엿기름추출액","백설탕","찹쌀",NA,NA,NA,NA,"5","6","멥쌀","생강가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5370","품목보고번호1988044200461","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명깊은산귀한삼상황버섯","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","정제수","상황버섯","황금","두충",NA,NA,NA,NA,"5","6","지황포제가공한뿌리","구기자나무열매",NA,NA,"7","황기",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5369","품목보고번호19890445014324","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36월(실온)","제품명깊은산속장뇌산삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","장뇌산삼혼합추출액","이소말토올리고당","카복시메틸셀룰로스나트륨","카라멜색소","고형분1%이상","","","","5","6","구연산","합성향료","","인삼향","7","안식향산나트륨","보존료","8","9","10","비타민B2","정제수","액상과당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5368","품목보고번호20000449035435","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명까페리얼 복숭아아이스티","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","홍차분말","복숭아분말","백설탕","구연산","홍차분말[고형분95%이상,케냐산]","복숭아홍차분말[복숭아과즙(국산),홍차분말(독일산)]","","","5","6","복숭아농축액","정제수","과즙으로3.8%,이스라엘산","","7","합성착향료","","8",NA,NA,"혼합제제류",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5367","품목보고번호20070464094491","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명까페리얼 블루레몬에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","정제수","설탕","기타과당","레몬농축액","","수입","고과당","","5","6","구연산(무수)","비타민C","","","7","구연산삼나트륨","","8","9","10","수크랄로스","아세설팜칼륨","향료","중국산","","시트러스 향","11","12","13","14","향료","향료","향료","식용색소청색제1호","레몬향1","레몬향2","레몬향3",""
"7","번호5366","품목보고번호20000449035800","업소명(주)쟈뎅","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명까페리얼 블루레몬에이드","분류식품","업체명","(주)쟈뎅","소재지","충청남도 천안시 서북구 정자1길 166","1","2","3","4","설탕","기타과당","과.채가공품","구연산(무수)","","고과당","레몬농축액","","5","6","비타민C","구연산삼나트륨","","","7","수크랄로스","","8","9","10","아세설팜칼륨","혼합제제","향료","","시트러스향","레몬향1","11","12","13","14","향료","향료","식용색소청색제1호","정제수","레몬향2","레몬향3","",""
"8","번호5365","품목보고번호20110084489425","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명까페리얼 블루레몬에이드","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","정제수","설탕","기타과당","레몬농축액","","","고과당","","5","6","구연산(무수)","비타민C","","","7","구연산삼나트륨","","8","9","10","수크랄로스","아세설팜칼륨","혼합제제","","","시트러스향","11","12","13","14","향료","향료","향료","식용색소청색제1호","레몬향","레몬향","레몬향",""
"9","번호5364","품목보고번호19930571069214","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명깔끔&상큼한티 레몬녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","녹차농축액","레몬농축액","백설탕","구연산",NA,NA,NA,NA,"5","6","폴리덱스트로스","구연산삼나트륨",NA,NA,"7","비타민C",NA,"8","9","10","홍화황색소","수크랄로스","레몬향",NA,NA,NA,"11","12",NA,NA,"녹차향","정제수",NA,NA,NA,NA,NA,NA
"10","번호5363","품목보고번호2009039717847","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한18개월(0~10℃냉장보관, -18℃이하 냉동보관)","제품명깔끔한 메밀식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4","메밀","정제수","엿기름","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
