"","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","기타과당","농축사과과즙","비타민C","벌꿀","합성향료","구연산","로열젤리제품","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","프로폴리스추출물(고시형)","글루콘산아연","펙틴","타우린","DL-사과산","비타민B2","오렌지추출물","용성비타민P","배농축액","","","72Brix 이상","","","드링크향","결정","로열제리펩타이드","","","","","","","","","","","",""
"2","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,"정제수","기타과당","농축사과과즙","비타민C","벌꿀","합성향료","구연산","로열젤리제품","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","프로폴리스추출물(고시형)","펙틴","타우린","DL-사과산","오렌지추출물","비타민B2","용성비타민P","배농축액",NA,"","","당도 72Brix 이상","","","드링크향","","생로열제리60.6%,덱스트린39.4%]","","","","프로폴리스추출물,폴리소르베이트20 합계100%","","","","오렌지농축과즙액,시트로후레쉬농축액 합계100%","","","",NA
"3","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","기타과당","농축사과과즙","비타민C","벌꿀","합성향료","구연산","로열젤리제품","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","기타가공품","글루콘산아연","펙틴","타우린","DL-사과산","오렌지추출물","비타민B2","용성비타민P","배농축액","","","당도 72Brix°이상","","","드링크향","","생로열젤리60.6%, 덱스트린39.4%","","","","수용성프로폴리스추출물[프로폴리스추출물, 폴리소르베이트20 합계 100%]","","","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","","",""
"4","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","액상과당","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","스테비텐라이트","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라잎(껍질제외)","절편","백설탕","구연산","구연산삼나트륨","젤란검","비타민C","젖산칼슘","β-카로틴","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","수용성베타카로틴","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","알로에베라겔건조분말","석류농축액","백설탕","구연산","구연산삼나트륨","젖산칼슘","젤란검","식용색소적색제40호","석류향","석류향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액 함유절편","알로에베라겔 파우더","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙","알로에베라겔건조분말","백설탕","벌꿀","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","식용색소적색제40호","딸기향","딸기향","정제수",NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액 함유절편","알로에베라겔 파우더","","사양벌꿀","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"8","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,"코코넛젤리","구아바농축액","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","레드색소","옐로우컬러","구아바향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"코코넛젤리","백설탕","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","업체명","(주)우리물","소재지","전라남도 장성군 장성읍 단풍로 30","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
