"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","성분 및 원료4","비고4"
"1","번호5662","품목보고번호2017034410879","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 고구마 귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","고구마분말","설탕",NA,NA,NA,NA,NA,NA
"2","번호5661","품목보고번호2017034410877","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 단호박 귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","호박가루","기타설탕",NA,NA,NA,NA,NA,NA
"3","번호5660","품목보고번호2017034410881","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 대추고 귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","대추농축액","설탕",NA,NA,NA,NA,NA,NA
"4","번호5659","품목보고번호2017034410883","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 말차 귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","녹차가루","설탕",NA,NA,NA,NA,NA,NA
"5","번호5658","품목보고번호2017034410871","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 쑥인절미 귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","쑥가루","볶은콩가루",NA,NA,NA,"4","기타설탕",NA
"6","번호5657","품목보고번호2017034410875","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 허니마롱귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","밤가루","기타설탕",NA,NA,NA,NA,NA,NA
"7","번호5656","품목보고번호2017034410873","업소명미나티","품목유형혼합음료","유통/소비기한제조일로부터 냉장7일","제품명건전한 흑임자 귀리우유","분류식품","업체명","미나티","소재지","경기도 의왕시 갈미2로 30(미광프라자 202호 내손동)","1","2","3","귀리유","검정깨(흑임자)","기타설탕",NA,NA,NA,NA,NA,NA
"8","번호5655","품목보고번호19850449001114","업소명삼육식품","품목유형혼합음료","유통/소비기한제조일로부터 6시간","제품명검은콩추출액 (검은콩고형분 7%)","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2",NA,"검정콩추출액","정제수",NA,"고형분 50%","",NA,NA,NA,NA
"9","번호5654","품목보고번호2007049411932","업소명검태골식품","품목유형혼합음료","유통/소비기한제조일로부터 90일","제품명검태골전통식혜","분류식품","업체명","검태골식품","소재지","전라북도 완주군 검태운장산길 6","1","2","3","엿기름","멥쌀","백설탕",NA,NA,NA,NA,NA,NA
"10","번호5653","품목보고번호19890445014330","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한3개월","제품명게껍질추출액(키토산추출액)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,"게껍질","정제수",NA,NA,NA,NA,NA,NA,NA
