"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","번호28","번호29","성분 및 원료28","성분 및 원료29","비고28","비고29","번호30","번호31","번호32","번호33","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","비고30","비고31","비고32","비고33","번호34","번호35","성분 및 원료34","성분 및 원료35","비고34","비고35"
"1","번호4504","품목보고번호2020040143977","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 산양유 단백질","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","원유","설탕","두류가공품","기타가공품","덱스트린","옥수수기름(옥배유)","탈지분유","카제인칼슘","구연산칼륨","탄산칼슘","기타가공품","비타민D3혼합제제","비타민E","혼합제제","염화마그네슘","정제소금","염화칼륨","혼합제제","산양유분말","카라기난","혼합제제","탄산수소나트륨","산화아연","셀룰로오스혼합제제","젤란검","수크랄로스","정제수","","","분리대두단백","탈지유단백(우유) 100%","말토덱스트린","","","","","","치커리뿌리추출물","비타민D3 1.0혼합제제(비타민D3,비타민E,가공유지(팜유))","","비타민믹스DS2(L-아스코브산나트륨,덱스트린,니코틴산아미드,판토텐산칼슘,분말비타민A혼합제제,비타민B6염산염,비타민B1염산염,분말비타민B12혼합제","","","","밀크향(프로필렌글리콜,글리세린,주정,합성향료,정제수,트리아세틴,천연향료)","","","BCAA(L-로이신, L-이소로이신, L-발린)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4503","품목보고번호20080395120590","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 산양유 단백질","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","원유","설탕","두류가공품","기타가공품","덱스트린","옥수수기름(옥배유)","탈지분유","카제인칼슘","구연산칼륨","탄산칼슘","기타가공품","비타민D3혼합제제","비타민E","혼합제제","염화마그네슘","정제소금","염화칼륨","혼합제제","산양유분말","카라기난","혼합제제","탄산수소나트륨","산화아연","셀룰로오스혼합제제","젤란검","수크랄로스","정제수","","","분리대두단백","탈지유단백(우유) 100%","말토덱스트린","","","","","","치커리뿌리추출물","비타민D3 1.0혼합제제(비타민D3,비타민E,가공유지(팜유))","","비타민믹스DS2(L-아스코브산나트륨,덱스트린,니코틴산아미드,판토텐산칼슘,분말비타민A혼합제제,비타민B6염산염,비타민B1염산염,분말비타민B12혼합제","","","","밀크향(프로필렌글리콜,글리세린,주정,합성향료,정제수,트리아세틴,천연향료)","","","BCAA(L-로이신, L-이소로이신, L-발린)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4502","품목보고번호20080395120407","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 오리지널","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","원유","백설탕","분리대두단백","덱스트린","채종유(유채유 또는 카놀라유)","탈지분유","카제인칼슘","구연산칼륨","탄산칼슘","혼합제제","향료","염화마그네슘","염화칼륨","향료","정제소금","땅콩 또는 견과류가공품","곡류가공품","젤란검","탄산수소나트륨","카라기난","혼합제제","산화아연","비타민E","수크랄로스","혼합제제","비타민B2","정제수","","","","","","","","","","비타민믹스","","","","","","견과혼합페이스트(땅콩, 호두, 잣)","5곡농축액(보리, 현미, 귀리, 백미, 율무)","","","","BCAA(L-로이신, L-이소로이신, L-발린)","","","","가공유지(팜유), 비타민D3, 비타민E","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4501","품목보고번호2020040143919","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 오리지널","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","원유","백설탕","분리대두단백","덱스트린","채종유(유채유 또는 카놀라유)","탈지분유","카제인칼슘","구연산칼륨","탄산칼슘","혼합제제","향료","염화마그네슘","염화칼륨","향료","정제소금","땅콩 또는 견과류가공품","곡류가공품","젤란검","탄산수소나트륨","카라기난","혼합제제","산화아연","비타민E","수크랄로스","혼합제제","비타민B2","정제수","","","","","","","","","","비타민믹스","","","","","","견과혼합페이스트(땅콩, 호두, 잣)","5곡농축액(보리, 현미, 귀리, 백미, 율무)","","","","BCAA(L-로이신, L-이소로이신, L-발린, 글리세린에스테르)","","","","가공유지(팜유), 비타민D3, 비타민E","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4500","품목보고번호2021045702814","업소명대상웰라이프주식회사천안2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 오리지널","분류식품","업체명","대상웰라이프주식회사천안2공장","소재지","충청남도 천안시 서북구 2공단2로 112(1~3층 업성동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","백설탕","채종유(유채유 또는 카놀라유)","분리대두단백","덱스트린","탈지분유","카제인칼슘","전지분유","구연산칼륨","탄산칼슘","혼합제제","비타민혼합제제","땅콩향","염화마그네슘","향료","염화칼륨","정제소금","땅콩 또는 견과류가공품","곡류가공품","혼합제제","탄산수소나트륨","아미노산혼합제제","카라기난","카라기난혼합제제","산화아연","비타민E","비타민B2","","","","","말토덱스트린","","","","","","셀룰로스 혼합제제","","","","오트향","","","견과혼합페이스트","5곡농축액","젤란DS","","","","","","","","28","29","비타민D3혼합제제","수크랄로스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4499","품목보고번호2020040143956","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 요구르트맛","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","원유","카제인칼슘","덱스트린","설탕","옥수수기름(옥배유)","기타가공품","난소화성말토덱스트린(고시형)","탈지분유","두류가공품","기타가공품","구연산칼륨","기타가공품","혼합제제","프락토올리고당","혼합제제","채종유(유채유 또는 카놀라유)","발효유분말","탄산칼슘","염화마그네슘","탄산수소나트륨","염화칼륨","정제소금","젤란검","산화아연","수크랄로스","혼합제제","정제수","","","말토덱스트린","","","치커리식이섬유","","","분리대두단백","탈지유단백(우유) 100%","","식물성 유산균 분말","요쿠르트향(주정, 프로필렌글리콜, 합성향료, 글리세린, 정제수, 전화당, 천연향료, 트리아세틴)","","비타민믹스(L-아스코브산나트륨, 덱스트린, 분말비타민E혼합제제{dl-α-tocopheryl acetate, 변성전분, 이산화규소), 니코틴산아미","","","","","","","","","","","BCAA(L-로이신, L-이소로이신, L-발린)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4498","품목보고번호20080395120568","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 요구르트맛","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","원유","카제인칼슘","덱스트린","설탕","옥수수기름(옥배유)","기타가공품","난소화성말토덱스트린분말(고시형)","탈지분유","두류가공품","기타가공품","구연산칼륨","기타가공품","혼합제제","프락토올리고당","혼합제제","채종유(유채유 또는 카놀라유)","발효유분말","탄산칼슘","염화마그네슘","탄산수소나트륨","염화칼륨","정제소금","젤란검","산화아연","수크랄로스","혼합제제","정제수","","","말토덱스트린","","","치커리식이섬유","","","분리대두단백","탈지유단백(우유) 100%","","식물성 유산균 분말","요쿠르트향(주정, 프로필렌글리콜, 합성향료, 글리세린, 정제수, 전화당, 천연향료, 트리아세틴)","","비타민믹스(L-아스코브산나트륨, 덱스트린, 분말비타민E혼합제제{dl-α-tocopheryl acetate, 변성전분, 이산화규소), 니코틴산아미","","","","","","","","","","","BCAA(L-로이신, L-이소로이신, L-발린)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4497","품목보고번호2020040143928","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 뉴프로틴 틴업","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","혼합음료","백설탕","분리대두단백","코코아분말","현미유","레시틴","정제소금","산도조절제","젤란검","유화제","합성향료","수크랄로스","비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","귀리액/20080395120397","","","","","대두레시틴","","탄산수소나트륨","","카라기난","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4496","품목보고번호2018045601168","업소명대상웰라이프주식회사천안공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 마이키즈 딸기맛 150 mL","분류식품","업체명","대상웰라이프주식회사천안공장","소재지","충청남도 천안시 서북구 2공단5로 51(대상식품주 6.공장동 차암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","물엿","미강유(현미유)","설탕","카제인나트륨","카제인칼슘","비타민미네랄혼합제제","백설탕","프락토올리고당","결정셀룰로스","구연산칼륨","제3인산칼슘","분리대두단백","고올레산해바라기유","자일리톨","EPA 및 DHA 함유 유지(고시형)","스테비아추출물","염화콜린","L-아스코르브산나트륨","이노시톨","비타민E혼합제제","비타민D3혼합제제","L-카르니틴","탄산수소나트륨","딸기농축액","카라기난혼합제제","카라기난","","저감미당","","유기농설탕","","","","","","","","","","","","","","","","","","","","","","젤란DS","","28","29","카라기난혼합제제","건조효모","SD389","","30","31","32","33","변성전분","딸기향","딸기바나나향","요오드칼륨","","","","",NA,NA,NA,NA,NA,NA
"10","번호4495","품목보고번호2018045601186","업소명대상웰라이프주식회사천안공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마이밀 마이키즈 밀크맛","분류식품","업체명","대상웰라이프주식회사천안공장","소재지","충청남도 천안시 서북구 2공단5로 51(대상식품주 6.공장동 차암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","정제수","물엿","미강유(현미유)","설탕","카제인나트륨","카제인칼슘","치커리식이섬유","비타민미네랄혼합제제","프락토올리고당","밀크향","구연산칼륨","결정셀룰로스","제3인산칼슘","분리대두단백","향료","고올레산해바라기유","자일리톨","EPA 및 DHA 함유 유지(고시형)","염화콜린","L-아스코브산나트륨","염화칼륨","밀크향","카라기난","카라기난혼합제제","스테비아추출물","탈지분유","이노시톨","","저감미당","","유기농설탕","","","","","","2956","","","","","분유향","","","","","","","","","젤란DS","","","","28","29","비타민E혼합제제","비타민D3혼합제제","","","30","31","32","33","L-카르니틴","탄산수소나트륨","건조효모","황산망간","","","","","34","35","요오드칼륨","카라기난혼합제제","","SD389"
