"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호5987","품목보고번호20020623009965","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명ME콜라겐","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","석류농축액","설탕","시클로덱스트린시럽","구연산","덱스트린","기타 수산물가공품","비타민C","구연산삼나트륨","효소처리루틴","히알루론산","혼합제제","혼합제제","혼합제제","정제수","65Brix","","","","","저분자 피쉬콜라겐펩타이드G","","","","","레드파우더#1","석류향","히비스커스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5986","품목보고번호2019032610081","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명4000MG 레드 아르지닌(RED ARGININE)","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","과.채가공품","구연산","프락토올리고당","비타민C","체리향","효소처리스테비아","잔탄검","니코틴산아미드","산화아연","비타민B12혼합제제분말","비타민B1염산염","엽산","","","타트체리 농축액","","","","","","","","","비타민B12","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5985","품목보고번호2019032610082","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명5000MG 블루 아르지닌(BLUE ARGININE)","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","L-아르지닌","구연산","과.채가공품","프락토올리고당","비타민C","블루베리농축액","혼합제제","효소처리스테비아","잔탄검","니코틴산아미드","산화아연","비타민B12혼합분말","비타민B1염산염","","","","풋사과농축액","","","","풋사과향","","","","","비타민B12","","15","엽산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5984","품목보고번호20150375129205","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명5000MG 블루 아르지닌(BLUE ARGININE)","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","L-아르지닌","사과농축액","구연산(무수)","프락토올리고당","DL-사과산","비타민C","블루베리농축액","사과향","타우린","황금혼합추출물","효소처리스테비아","자몽종자추출물","잔탄검","마카추출분말","","풋사과농축액","","","","","","","","복합황금추출물","","","","마카젤라틴화분말","15","니코틴산아미드","","16","17","18","19","20","21","22","산화아연","아미노산혼합제제","수크랄로스","비타민B12혼합분말","비타민B1염산염","엽산","정제수","","아미노산믹스9종","","","","",""
"5","번호5983","품목보고번호2012057308044","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명MIRO700미로무산수","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5982","품목보고번호2012057308025","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명MIRO700미로유산수","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5981","품목보고번호2001043909850","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명MT513","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","이산화규소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5980","품목보고번호19890445014605","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명MTEO콜라겐8000매실","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"생선콜라겐","매실농축액","사과농축액","액상과당","폴리덱스트로스","DL-사과산","비타민C","L-시스틴","착향료(매실향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5979","품목보고번호20110149027392","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명MY 아르지닌 with 오르니틴 power 7000 jelly","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","L-아르지닌","청포도농축액","비타민C","정제수","구연산","마카추출분말","효소처리스테비아","헛개나무열매추출분말","비수리추출분말","수크랄로스","글루콘산아연","구연산삼나트륨","분말비타민B","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","비타민B12, 혼합제제",NA,"16","17","18","19","20","21",NA,"오르니틴염산염","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5978","품목보고번호2011044107014","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명Manyplus(마니플러스)","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
