"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","성분 및 원료8","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18"
"1","번호4484","품목보고번호20020623009648","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명마일드 워터","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","복숭아농축액","백설탕","구연산","구연산삼나트륨","히알루론산","복숭아향","정제수","68brix","","산도조절제","산도조절제","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4483","품목보고번호200102751342","업소명김용범박사 키토산","품목유형혼합음료","유통/소비기한제조일로부터 6개월(3도이하 냉장)","제품명마일드 키토-토닉","분류식품","업체명","김용범박사 키토산","소재지","경기도 성남시 중원구 갈마치로 302(상대원동, 우림라이온스밸리5차 1607호)","1","2","3","4","5","6","7","키토산분말","글루코사민","키토올리고당(고시형)","매실발효액","자일리톨","만니톨","현미식초",NA,NA,NA,NA,NA,NA,NA,"8","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4482","품목보고번호19980308080392","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 2일","제품명마카다미아액","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2",NA,NA,NA,NA,NA,"마카다미아","정제수",NA,NA,NA,NA,NA,"마카다미아고형분 4% 이상","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4481","품목보고번호19930461022319","업소명연세대학교 연세유업","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명마카다미아액","분류식품","업체명","연세대학교 연세유업","소재지","충청남도 아산시 음봉면 음봉로 829","1","2",NA,NA,NA,NA,NA,"땅콩 또는 견과류가공품","정제수",NA,NA,NA,NA,NA,"마카다미아페이스트","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4480","품목보고번호19730380010503","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     2 년","제품명마카롱 EX","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","프락토올리고당","마카농축액","배농축액","정제수","L-아르지닌","타우린","기타 농산가공품","","마카뿌리","","","","","제품명 : 대보식물혼합농축액보고번호 : 20180504061","8","구연산","함수구연산","9","10","11","12","13","14","15","16","비타민C","기타가공품","과라나추출물분말","글루콘산아연","옥타코사놀 함유 유지(고시형)","비타민B1염산염","비타민B2","비타민B6염산염","","헛개나무열매추출농축액보고번호 : 20180376644","","","성균옥타코사놀-에스1품목신고버호 : 2001001710117","","","",NA,NA,NA,NA,NA,NA
"6","번호4479","품목보고번호2011062755963","업소명(재)제주테크노파크 바이오융합센터","품목유형혼합음료","유통/소비기한12개월","제품명마콜5000","분류식품","업체명","(재)제주테크노파크 바이오융합센터","소재지","제주특별자치도 제주시 제주대학로 102(공장A동 B102호 아라일동, 바이오융합센터2호관 기업지원동)","1","2","3","4","5","6","7","에리스리톨","콜라겐분말","감귤농축액","당근농축액","구연산","효소처리스테비아","천연감귤향",NA,NA,NA,NA,NA,NA,NA,"8","갈매보리수나무분말",NA,"9","10",NA,NA,NA,NA,NA,NA,"카로틴","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4478","품목보고번호2018062221559","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한12개월","제품명마콜5000","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19","1","2","3","4","5","6","7","정제수","에리스리톨","콜라겐분말","감귤농축액","당근농축액","구연산","효소처리스테비아","","","","제주산","제주산","","","8","감귤향","천연향료","9","10",NA,NA,NA,NA,NA,NA,"갈매보리수나무분말","카로틴",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4477","품목보고번호20150375129182","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명마키베리 저분자피쉬콜라겐","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","세븐베리농축액","생선콜라겐","Maqui berry농축액","프락토올리고당","펙틴","비타민C","타우린","","저분자피쉬콜라겐","마키(마퀴)베리농축액","","","","","8","병풀잎추출물분말","병풀추출분말","9","10","11","12","13","14","15","16","우유단백질","아미노산혼합분말","황금혼합추출물","젖산칼슘","히알루론산혼합제제","엘라스틴가수분해물","비타민B1염산염","비타민B2","밀크세라마이드","아미노산믹스(9종)","복합황금추출물","","","엘라스틴(가수분해물)","","","17","18","비타민B6염산염","정제수","",""
"9","번호4476","품목보고번호1988044200443","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명막카막카 리플러스","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","마카추출분말","L-아르기닌","트리블러스","복분자농축액","산화아연","니코틴산아미드","액상과당",NA,NA,NA,NA,NA,NA,NA,"8","조직배양삼추출액",NA,"9","10","11","12","13","14",NA,NA,"칡즙","대추엑기스","자일리톨","잡화꿀","정제포도당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4475","품목보고번호201104921465","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명만나수","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139","1","2",NA,NA,NA,NA,NA,"지하수","미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
