"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호5732","품목보고번호20060392223325","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명가벼운 쾌감 즐거운 변화","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","서양자두주스","D-소비톨","정제수","석류과즙","프락토올리고당","알로에추출물","다시마추출물","참당귀추출액","지황추출물","지황추출물","귤껍질추출물","작약추출액","광귤나무추출물","황금추출물","대황뿌리줄기","감초추출액","난소화성말토덱스트린(고시형)","폴리덱스트로스","락툴로즈","만니톨","구연산(결정)","비타민C","푸룬과즙(13Bx)","","","석류과즙(12Bx)","","고형분 0.3%","고형분 0.1%","당귀추출물(고형분 1%)","숙지황추출물(고형분 1%)","생지황추출물(고형분 1%)","진피추출물(고형분 1%)","작약추출물(고형분 1%)","지각추출물(고형분 1%)","고형분 1%","대황추출물(고형분 1%)","감초추출물(고형분 1%)","","","","","",""
"2","번호5731","품목보고번호19890445014126","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명가벼운세상","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"건조효모","차전자피분말","대두단백",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5730","품목보고번호20130415052254","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명가벼워질 시간","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","자일리톨","유함유가공품","오렌지농축액","D-소비톨","만니톨","난소화성말토덱스트린(고시형)","오렌지향","구연산","석류농축액","서양자두농축액","기타가공품","탈지분유","황금혼합추출물",NA,NA,NA,NA,NA,NA,NA,NA,"","","락추로스 리퀴드","모로블러드오렌지농축액","","","화이바솔-2","모로오렌지향, 향료","","","푸룬농축액SR-26284","열처리 유산균 배양 분말 nF1-J8","남양 탈지분유","복합황금추출물-2",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5729","품목보고번호201805241731","업소명농업회사법인 주식회사 하나둘","품목유형혼합음료","유통/소비기한1년(냉장)","제품명가볍게 우슬래(우슬식혜)","분류식품","업체명","농업회사법인 주식회사 하나둘","소재지","전라남도 화순군 남면 개정지길 9(1층)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","올리고당","엿기름","현미","쇠무릅뿌리","돌콩씨앗",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5728","품목보고번호2022078026618","업소명(주)에이트리에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명가보 단백 음료","분류식품","업체명","(주)에이트리에프앤비","소재지","경상북도 안동시 풍산읍 산업단지길 87","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,"유함유가공품","탈지분유","이소말토올리고당","폴리덱스트로스","타우린","콜라겐","글루코사민","비타민B1염산염","비타민C","혼합제제비타민D","혼합제제","자당지방산에스테르","수크랄로스","카라기난","탄산수소나트륨","밀크향","정제수",NA,NA,NA,NA,NA,"WPI 분리유청단백질분말분리유청단백","","","","","","","","","","BCAA","P-1670","","카라기난GE","","","",NA,NA,NA,NA,NA
"6","번호5727","품목보고번호19890445014116","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명가시오가피골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가시오갈피추출액","사과즙액","숙지황추출액","영지추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5726","품목보고번호200305011101","업소명구름호수팜","품목유형혼합음료","유통/소비기한6월","제품명가시오가피엑기스","분류식품","업체명","구름호수팜","소재지","전라북도 부안군 진서면 운호길 61-24","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가시오갈피","칡뿌리","감초","대추",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5725","품목보고번호200004580703","업소명민속식품","품목유형혼합음료","유통/소비기한제조일로 6개월","제품명가시오가피추출액","분류식품","업체명","민속식품","소재지","충청남도 공주시 마티길 238-6","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가시오갈피","두충","대추","감초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5724","품목보고번호19960458039426","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명가야농장 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","백설탕","구연산","구연산삼나트륨","젤란검","비타민C","젖산칼슘","정제수","알로에베라겔농축분말","알로에베라겔즙","혼합제제","혼합제제","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","100:1(알로에베라겔로서 2%), 멕시코산","","드링크 후레바 K-0806081","화이트그레이프후레바","청포도후레바 FAC-04041","그린칼라 K-3526/C",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5723","품목보고번호19960458039412","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월(내수용) / 제조일로부터 24개월(수출용)","제품명가야농장 알로에농장","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","알로에베라겔즙","알로에베라겔농축분말","구연산","젖산칼슘","젤란검","비타민C","구연산삼나트륨","혼합제제","혼합제제","혼합제제","혼합제제","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,NA,"","","","100:1(알로에베라겔로서 32%)","","","","","","그린칼라 K-3526/C","드링크 후레바 K-0806081","화이트그레이프후레바","청포도향 FAC-04041","",NA,NA,NA,NA,NA,NA,NA,NA
