"ts1","ts2","ts3","ts4","ts5","ts101","ts102","ts103","ts104","ts105","ts201","ts202","ts203","ts204","ts205","ts301","ts302","ts303","ts304","ts305","ts401","ts402","ts403","ts404","ts405","ts501","ts502","ts503","ts504","ts505"
28.7812,24.8923,31.3987,25.774,27.1798,35.7709,24.9706,35.5351,24.2104,31.5555,31.3987,31.8423,33.786,24.9438,28.1121,34.7577,24.672,25.5915,27.6792,30.6959,35.1132,33.6538,31.4057,25.3132,34.6259,35.3258,28.2421,25.2155,34.9791,28.9736
34.4632,25.741,30.6316,30.5262,29.2498,34.396,33.8315,41.7067,41.7679,33.8108,24.9653,33.3021,29.4283,31.2313,36.3293,27.2329,35.2611,29.951,33.5059,32.6666,27.1904,30.231,25.2827,29.4558,29.5667,27.6795,28.916,34.8513,24.3371,29.0261
31.3381,27.5532,26.3983,35.4209,33.6928,35.2249,46.9423,39.1705,45.2228,47.7598,28.7758,32.3712,27.3768,27.1868,29.4486,29.6962,30.4858,34.1883,23.5936,34.2234,32.3818,35.9104,27.6296,27.8929,32.0502,31.4366,26.0876,30.5831,32.2926,31.4039
31.2834,32.8217,24.2905,25.6033,25.6264,46.2393,42.5033,48.3964,43.7762,40.4056,28.0515,30.4253,37.3424,29.4919,36.2299,25.8851,34.4466,25.658,29.5401,33.1828,35.2564,33.0079,25.0763,26.3983,35.3662,24.8255,26.2705,27.609,32.4824,27.894
28.9207,27.8789,27.8613,27.97,24.6555,44.4036,40.0592,38.6103,48.8175,34.2128,29.2066,31.1032,26.0134,32.5623,36.3084,26.5402,27.4694,26.8874,31.2456,34.8351,28.9799,28.2796,35.6963,24.3474,32.9495,26.8885,28.6475,35.7995,25.0987,35.9853
33.7596,31.5926,28.5491,25.2702,28.9446,41.0473,38.257,34.5755,42.4056,26.8555,27.7721,27.9209,36.2028,27.9714,27.1836,31.134,33.1785,23.5727,31.7891,33.391,30.1395,25.9408,35.9387,35.1044,24.4616,31.2295,24.5306,31.2794,34.0783,35.848
25.3969,31.4861,24.9717,28.132,35.798,37.5561,30.9737,39.4181,33.754,30.1153,37.1089,28.0685,31.0243,32.5903,33.3193,25.0374,32.2803,34.0696,29.9296,33.1745,33.341,30.4197,26.5382,28.0067,34.4529,24.7069,34.5803,33.399,33.1805,27.6997
27.7849,35.5469,32.4358,29.4268,34.9446,26.6758,24.2685,29.1601,27.3527,13.082,28.8364,31.6294,37.7853,32.2162,30.7454,20.5822,31.6116,32.1339,27.1186,32.8038,28.367,30.5101,28.4367,31.3058,28.3762,24.8145,33.2326,29.5344,28.2513,24.6584
35.2479,27.9516,25.2239,31.4549,24.5596,25.0044,19.5559,21.1805,21.9765,19.8027,30.3375,30.8263,35.7543,34.9671,27.2486,27.2156,33.2145,24.2264,32.8661,24.1163,33.5965,26.0542,36.0022,29.1561,24.4285,28.5994,35.5898,26.846,28.8873,29.0643
27.1159,31.6595,27.3068,27.32,34.2366,17.2235,14.9595,20.4808,22.2249,19.3834,32.244,31.6236,36.953,40.1439,35.6898,21.9477,30.1445,32.835,28.0952,25.1895,28.3666,33.0288,32.0851,24.7183,32.482,29.3596,26.0965,31.972,30.0837,32.8158
