"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호2823","품목보고번호19890449002187","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명아몬드데이 언스위트","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","혼합음료","젤란검","정제소금","산도조절제","칼슘혼합제제","비타민E혼합제제","향료","정제수","유화제","아몬드추출액(아몬드고형분2.3%이상)","","","","Solfa Ca-1200","","아몬드향","","자당지방산에스테르",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2822","품목보고번호19890449002186","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명아몬드데이 오리지널","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","혼합음료","설탕","액상과당","벌꿀","젤란검","정제소금","산도조절제","칼슘혼합제제","비타민E혼합제제","아몬드추출액(아몬드고형분2.3%이상)","","F55","사양벌꿀","","","","Solfa Ca-1200","","10","11","12","향료","정제수","유화제","아몬드향","","자당지방산에스테르",NA,NA,NA,NA,NA,NA
"3","번호2821","품목보고번호20080395120702","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드데이 오리지널","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","혼합음료","액상과당","설탕","사양벌꿀","칼슘혼합제제","자당지방산에스테르","정제소금","구연산칼륨","향료","아몬드추출액","","","","","","","","","10","11","12","향료","젤란검","구연산삼나트륨","","","","13","14","비타민E혼합제제","정제수","",""
"4","번호2820","품목보고번호19890449002189","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명아몬드데이 초코","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","기타가공품","설탕","코코아분말","젤란검","정제소금","산도조절제","칼슘혼합제제","비타민E혼합제제","향료","아몬드추출액 (고형분 2.5%이상)","","","","","","Solfa Ca-1200","","아몬드향","10","11","12","향료","정제수","초콜릿","초코향","","","13",NA,"유화제",NA,"해바라기레시틴",NA
"5","번호2819","품목보고번호20070464034189","업소명농업회사법인 논산딸기랜드(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명아몬드를 듬뿍넣은 하루견과유","분류식품","업체명","농업회사법인 논산딸기랜드(주)","소재지","충청남도 논산시 은진면 득안대로 892","1","2","3","4","5","6",NA,NA,NA,"땅콩 또는 견과류가공품","설탕","기타가공품","천일염","해바라기유","정제수",NA,NA,NA,"아몬드외 5종 견과액","유기농밝은갈색설탕","해조분말","","고올레산해바라기유","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2818","품목보고번호20190456640178","업소명주식회사새롬웰푸드","품목유형혼합음료","유통/소비기한10일","제품명아몬드밀크","분류식품","업체명","주식회사새롬웰푸드","소재지","충청남도 천안시 동남구 성남면 대흥1길 153-50","1","2","3","4","5","6","7",NA,NA,"정제수","땅콩 또는 견과류가공품","물엿","레시틴","로커스트콩검","주정","정제소금",NA,NA,"","백아몬드페이스트","청정원조청쌀엿","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2817","품목보고번호19810227007466","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 뉴트리플러스 식이섬유","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","혼합음료","이눌린/치커리추출물(고시형)","설탕","귀리페이스트","탄산칼슘","식염","합성향료","합성향료","레시틴","아몬드액(아몬드고형분 2.1%이상 미국 캘리포니아산)","","","","영양강화제","","아몬드향","볶은콩향","유화제","10","11","12","젤란검","dl-α-토코페릴아세테이트","정제수","","영양강화제","",NA,NA,NA,NA,NA,NA
"8","번호2816","품목보고번호19810227007452","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한12개월","제품명아몬드브리즈 뉴트리플러스 프로틴","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","혼합음료","정제수","설탕","아몬드분말","완두단백","탄산칼슘","고올레산해바라기유","합성향료","식염","아몬드액(아몬드고형분 2.0% 이상, 미국 캘리포니아산)","","","아몬드단백분말","완두단백분말","영양강화제","","아몬드향","","10","11","12","레시틴","젤란검","dl-α-토코페릴아세테이트","유화제","","영양강화제","13",NA,"비타민B6염산염",NA,"영양강화제",NA
"9","번호2815","품목보고번호20000441043219","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아몬드브리즈 뉴트리플러스 프로틴","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","혼합음료","정제수","설탕","아몬드분말","완두분말","탄산칼슘","고올레산해바라기유","아몬드향","식염","아몬드액(아몬드고형분 2.0% 이상, 미국 캘리포니아산)","","","아몬드단백분말","완두단백분말","영양강화제","","","","10","11","12","레시틴","젤란검","dl-α-토코페릴아세테이트","유화제","","영양강화제","13",NA,"비타민B6염산염",NA,"영양강화제",NA
"10","번호2814","품목보고번호19810227007208","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한12개월","제품명아몬드브리즈 바나나","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","혼합음료","백설탕","바나나퓌레","탄산칼슘","DL-ALPHA 토코페릴 아세테이트","식염","레시틴","젤란검","에틸바닐린","아몬드액, 아몬드고형분 2.2%이상, 미국 캘리포니아산","","필리핀산","영양강화제","영양강화제","","유화제","","합성착향료","10","11","12","인공 아몬드향","인공바나나향","정제수","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA
