"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","성분 및 원료18","비고18","번호19","번호20","번호21","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고19","비고20","비고21","번호22","번호23","번호24","번호25","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고22","비고23","비고24","비고25"
"1","번호4632","품목보고번호20060445110707","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리볼드 아르기닌 7000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","L-아르지닌","구연산","DL-사과산","시클로덱스트린시럽","오렌지향","효소처리스테비아","마카추출분말","맥아추출액","감귤추출물","글루콘산아연","헛개나무열매추출분말","타우린","복분자딸기과즙분말","아미노산혼합분말","프락토올리고당","수크랄로스","","","","","","","","(뿌리)","맥아추출물","감귤류추출물","","헛개나무열매추출물분말","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4631","품목보고번호20070464094472","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터7개월","제품명리얼 돌체 라떼 아이스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","우유","가당연유","식물성크림","설탕","글리세린지방산에스테르","탄산수소나트륨","정제소금",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4630","품목보고번호20070464094470","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리얼 바닐라 라떼 아이스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"우유","설탕","당류가공품","혼합분유","자당지방산에스테르","가공소금","식물성크림","혼합제제","젤란검","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4629","품목보고번호20110084489343","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리얼 아르기닌 5000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","L-아르지닌","구연산(무수)","Red grape주스","레몬농축액","효소처리스테비아","비타민C","블루베리주스농축액","아미드펙틴","레몬향","글루콘산아연","블루베리향","기타가공품","니코틴산아미드","비타민B1염산염","마카추출분말","비타민B12","","","","적포도주스농축액","","","","","","천연레몬향","","혼합제제","복합황금추출물","","","마카추출물분말","","18","엽산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4628","품목보고번호20110084489393","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명리얼 아르기닌 파워업 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","L-아르지닌","구연산","Red grape농축액","레몬농축액","효소처리스테비아","블루베리주스농축액","오르니틴염산염","아미드펙틴","타우린","향료","혼합제제","기타가공품","비타민B1염산염","비타민B6염산염","비타민B2","글루콘산아연","","","함수구연산","적포도주스농축액","","","","","","","천연레몬향","블루베리향","복합황금추출물","","","","","18","혼합제제","아미노산혼합제제","19","20","21","니코틴산아미드","마카뿌리분말","비타민C","","블랙마카분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4627","품목보고번호19980308080348","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일부터 8개월","제품명리얼 아몬드 95.5","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"아몬드","레시틴","탄산칼슘","정제소금","젤란검","액상과당","과.채가공품","당류가공품","땅콩페이스트","아몬드향","볶은아몬드향","정제수",NA,NA,NA,NA,NA,"아몬드유, 고형분2.1%이상","대두레시틴","","","","","코코넛크림","메이플시럽혼합페이스트","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4626","품목보고번호20070464094471","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리얼 초코라떼 아이스","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"우유","설탕","기타코코아가공품","코코아분말","혼합분유","식물성크림","자당지방산에스테르","가공소금","혼합제제","젤란검","혼합제제","초코향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4625","품목보고번호20070464094267","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명리얼 코코넛 밀크","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"과.채가공품","설탕","자당지방산에스테르","글리세린지방산에스테르","혼합제제","젤란검","탄산칼슘혼합제제","정제소금","제이인산나트륨","코코넛향","코코넛향","정제수",NA,NA,NA,NA,NA,"코코넛 밀크","","","","글리세린유기산지방산에스테르","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4624","품목보고번호20100182349117","업소명(주)일동플러스팜","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명리얼곤약깔라만시","분류식품","업체명","(주)일동플러스팜","소재지","대구광역시 달서구 성서서로48길 6(지상1층 갈산동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","칼라만시원액","백설탕","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4623","품목보고번호200703582241238","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명리얼닥터 아르기닌 부스트 6600","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","L-아르지닌","정제수","DL-사과산","구연산(무수)","타우린","효소처리스테비아","천연향료","오르니틴염산염","오렌지농축액","기타가공품","기타가공품","비타민B6염산염","혼합제제","기타가공품","기타가공품","홍삼농축액(고시형)","기타가공품","","","","","","","오렌지향","","","오자추출분말","과라나추출물분말","","비타민 B12 혼합제제분말","","황금혼합추출물","진세노사이드 Rg1,Rb1및Rg3의 합 7.0mg/g","감초농축액(제한적사용가능부위 : 뿌리 및 뿌리줄기※(감초))","18","대추추출농축액","","19","20","21","기타가공품","기타가공품","L-카르니틴","민들레추출물분말(민들레엑기스분말)","마카추출분말","","22","23","24","25","과.채가공품","과.채가공품","수크랄로스","글루콘산아연","마늘추출농축분말","생강추출분말","",""
