"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19"
"1","번호3250","품목보고번호19960458039602","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명소프트워터 상큼한 청포도","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","정제수","설탕","청포도농축액","구연산","혼합제제","혼합제제","구연산삼나트륨","비타민C","히알루론산","","","고형분 68%","","청포도향 K-181945","청포도향 1112030","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3249","품목보고번호20190575042171","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명소프트워터 상큼한 청포도","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","정제수","백설탕","청포도농축액","구연산","식품첨가물혼합제제","식품첨가물혼합제제","구연산삼나트륨","비타민C","히알루론산","","","칠레산","","청포도향","청포도향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3248","품목보고번호2016052105325","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명소피루비 포도","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","적포도발효농축액(기능성원료인정제2014-30호)","설탕","구연산(무수)","젖산칼슘","비타민D3 분말","비타민C","덱스트린","수크랄로스","액상과당","","","","","","","","","","10","11","합성향료","정제수","포도향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3247","품목보고번호2015051802398","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명소화가 잘되는 프로틴워터 파인애플","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","파인애플농축액","결정과당","알룰로오스","구연산","비타민B6염산염","비타민B12혼합제제분말","비타민D3","","분리유청단백","","","","","","","","10","11","비타민C","유산균혼합분말","","식물성 유산균 사균체","12","13","14","15","스테비올배당체","자몽종자추출물","글리세린지방산에스테르","파인애플향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3246","품목보고번호2015051802399","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한365일(12개월, 1년)","제품명소화가 잘되는 프로틴워터 포도","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","5","6","7","8","9","정제수","유청단백분말","포도농축액","결정과당","알룰로오스","포도향","글리세린지방산에스테르","비타민C","스테비올배당체","","분리유청단백","","","","","","","","10","11","자몽종자추출물","유산균혼합분말","","식물성 유산균 사균체","12","13","14","15","비타민B12혼합제제분말","비타민D3","비타민B6염산염","구연산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3245","품목보고번호19780368002547","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명속까지부드러운꿀배","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","배농축액","백설탕","벌꿀","구연산","구연산삼나트륨","효소처리루틴","합성착향료","합성착향료","정제수","배청징농축액","","","","","","배향1","배향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3244","품목보고번호19780614001413","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명속까지부드러운꿀배","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","배농축액","백설탕","벌꿀","구연산","구연산삼나트륨","효소처리루틴","합성착향료","합성착향료","정제수","배청징농축액","","","","","","배향1","배향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3243","품목보고번호2006055613210","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12월까지","제품명속리산알카리수","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2",NA,NA,NA,NA,NA,NA,NA,"황산마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3242","품목보고번호19970464172100","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명속시원","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","액상과당","건강농축액","귤껍질농축액","계피농축액","창출농축액","사철쑥농축액","감초농축액","대추농축액","배농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","구연산","구연산삼나트륨",NA,NA,"12","13","14","15","l-멘톨","주정","L-카르니틴","황금복합추출물",NA,NA,NA,NA,"16","17","18","19","수크랄로스","멘톨향(M24070)","레몬라임향(L12007)","정제수",NA,NA,NA,NA
"10","번호3241","품목보고번호20020623009201","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명속이 부드러운 꿀물","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","사양벌꿀","국화추출액","로얄젤리추출물","액상과당","대추농축액","스테비올배당체","수크랄로스","폴리소르베이트80","구연산","","","","","68brix","","합성감미료","","산도조절제","10","11","카라멜색소","허니향","","합성착향료","12","13",NA,NA,"허브향","정제수",NA,NA,"합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
