"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호5062","품목보고번호200306143071233","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명달고나 라떼","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","정제수","설탕","혼합분유","당시럽류","혼합제제","합성향료","합성향료","정제소금","탄산수소나트륨","","","스킴밀크프리퍼레이션 8515","당밀","검믹스 MIE-71100","달고나향 20024041","밀크향엠에프-170422","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5061","품목보고번호2012048744321","업소명선화골전통발효식품영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 7일","제품명달골토끼 전통식혜","분류식품","업체명","선화골전통발효식품영농조합법인","소재지","전라북도 익산시 황금로 714-11","1","2","3","4",NA,NA,NA,NA,NA,"멥쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,"국내산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5060","품목보고번호2012048744340","업소명선화골전통발효식품영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 365일","제품명달골토끼수제식혜","분류식품","업체명","선화골전통발효식품영농조합법인","소재지","전라북도 익산시 황금로 714-11","1","2","3","4",NA,NA,NA,NA,NA,"쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5059","품목보고번호2008033218010","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명달금머금식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5058","품목보고번호200803321805","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한제조일로부터 150일 (냉장)","제품명달금머금식혜 5L","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,"대맥70%국산,소맥30%미국산","","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5057","품목보고번호19950433026594","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명달달한 단팥 한끼","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","팥앙금","백설탕","팥","볶음팥분말","변성전분","잔탄검","탈지분유","팥향","정제수","","","팥배지","","COLFLO 67","","8812","SF-23481","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5056","품목보고번호202202893842","업소명응쿡","품목유형혼합음료","유통/소비기한제조일로부터 3개월 (냉동)","제품명달달혜단호박식혜","분류식품","업체명","응쿡","소재지","광주광역시 남구 광복마을길 105-2(주월동)","1","2","3","4","5",NA,NA,NA,NA,"엿기름","호박","설탕","찹쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5055","품목보고번호202202893841","업소명응쿡","품목유형혼합음료","유통/소비기한제조일로부터90일 (냉동)","제품명달달혜식혜","분류식품","업체명","응쿡","소재지","광주광역시 남구 광복마을길 105-2(주월동)","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5054","품목보고번호20040275056820","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명달바 더 프리미엄 멀티 비타 콜라겐 3270","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","정제수","생선콜라겐펩타이드","오렌지농축액","프락토올리고당","라임농축액","레몬농축액","비타민C","글루콘산아연","식품첨가물혼합제제","","피쉬콜라겐펩타이드","","","","","","","오렌지향","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","식품첨가물혼합제제","기타가공품","엘라스틴가수분해물","식품첨가물혼합제제","니코틴산아미드","기타가공품","효모식품","판토텐산칼슘","비타민B6염산염","분말비타민A혼합제제","비타민E혼합제제분말","황산망간","L-시스틴","엽산","비타민D3혼합제제","비오틴","자몽종자추출물","레몬라임향","밀크세라마이드","프로라스틴","히알루론산혼합제제","","병풀추출분말","랄민 에스 1000","","","","","","","","","",""
"10","번호5053","품목보고번호20030211151161","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명달바 비거너리 식물성 콜라겐 3270","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","정제수","흰목이버섯추출분말","프락토올리고당","레몬농축액","오렌지농축액","검 베이스 혼합제제","천연오렌지향","히알루론산","효소처리스테비아","","식물성콜라겐펩타이드","","","","잔탄검,한천,카라기난,로커스트콩검,타마린드검,덱스트린,타라검","","","","10","11","12","13","14","15","16","17","18","19","20","21",NA,NA,NA,NA,NA,"비타민C","구연산삼나트륨","구연산","곤약감자추출물(고시형)","치자청색소","비타민B2","비타민D3혼합제제분말","비타민혼합제제","병풀잎추출물분말","사과농축액","포도추출물","글루콘산아연",NA,NA,NA,NA,NA,"","","","","","","비타민D3 0.25%","","","청사과","샤인머스캣혼합농축액(BRIX;60)","",NA,NA,NA,NA,NA
